bu_code;Buurt;Wijk;Gemeente;Aantal aansluitingen;Uitkomst_SA;Uitkomst_gecheckt
BU03760101;Bijvanck;Blaricum;Blaricum;1912;All-electric;Warmtenet
BU03760102;Blaricum-Dorp;Blaricum;Blaricum;2434;Groengas;Groengas
BU03760103;Blaricummer Heide;Blaricum;Blaricum;4;All-electric;All-electric
BU03760104;Blaricummermeent;Blaricum;Blaricum;1056;Warmtenet;Warmtenet
BU03760105;Crailo;Blaricum;Blaricum;61;All-electric;Groengas
BU03760106;De Kampen;Blaricum;Blaricum;1;Groengas;Groengas
BU03760107;Eemmeer-Blaricum;Blaricum;Blaricum;0;#N/B;
BU03760108;Stichtsebrug;Blaricum;Blaricum;0;#N/B;
BU03760109;Warandepark-De Eng;Blaricum;Blaricum;2;Groengas;Groengas
BU04060001;De Noord;Wijk 00 Oude Dorp;Huizen;1914;All-electric;All-electric
BU04060002;De Zuid;Wijk 00 Oude Dorp;Huizen;1327;Groengas;Groengas
BU04060103;Westereng;Wijk 01 Westereng;Huizen;1042;Groengas;Groengas
BU04060204;Flevo;Wijk 02 Buitenwijken;Huizen;96;Groengas;Groengas
BU04060205;Bikbergen;Wijk 02 Buitenwijken;Huizen;113;Groengas;Groengas
BU04060206;Crailo;Wijk 02 Buitenwijken;Huizen;166;Groengas;Groengas
BU04060307;Thames;Wijk 03 Erica en Tafelberg;Huizen;35;Groengas;Groengas
BU04060308;IJzeren veld;Wijk 03 Erica en Tafelberg;Huizen;69;Groengas;Groengas
BU04060327;Parrewijn;Wijk 03 Erica en Tafelberg;Huizen;9;Groengas;Groengas
BU04060328;Tafelberger Heide;Wijk 03 Erica en Tafelberg;Huizen;2;All-electric;All-electric
BU04060329;Rijsbergen;Wijk 03 Erica en Tafelberg;Huizen;7;All-electric;All-electric
BU04060330;Huizerhoogt;Wijk 03 Erica en Tafelberg;Huizen;44;Groengas;Groengas
BU04060409;Sijsjesberg;Wijk 04 Staatslieden en Componistenbuurt;Huizen;247;Groengas;Groengas
BU04060410;Zuidereng;Wijk 04 Staatslieden en Componistenbuurt;Huizen;1029;Groengas;Groengas
BU04060511;Gooierhoofd;Wijk 05 Havengebied;Huizen;378;Warmtenet;Warmtenet
BU04060512;Wolfskamer;Wijk 05 Havengebied;Huizen;65;All-electric;All-electric
BU04060513;Industriewijk 't Plaveen;Wijk 05 Havengebied;Huizen;359;All-electric;All-electric
BU04060614;Bovenweg;Wijk 06 Zenderwijk en Bovenweg;Huizen;1429;Warmtenet;Warmtenet
BU04060615;Zenderwijk;Wijk 06 Zenderwijk en Bovenweg;Huizen;604;All-electric;All-electric
BU04060716;Stad en Lande;Wijk 07 Stad en Lande;Huizen;1901;All-electric;All-electric
BU04060817;Huizermaat West;Wijk 08 Huizermaat West en Zuid;Huizen;1620;All-electric;All-electric
BU04060818;Huizermaat Zuid;Wijk 08 Huizermaat West en Zuid;Huizen;1446;All-electric;All-electric
BU04060919;Huizermaat Noord;Wijk 09 Huizermaat Noord;Huizen;1509;Groengas;Warmtenet
BU04061020;Bijvanck Noord;Wijk 10 Bijvanck;Huizen;778;Groengas;Warmtenet
BU04061021;Bijvanck West;Wijk 10 Bijvanck;Huizen;233;Groengas;Warmtenet
BU04061123;Bovenmaat Noord;Wijk 11 Bovenmaten;Huizen;1513;Warmtenet;Warmtenet
BU04061124;Bovenmaat West;Wijk 11 Bovenmaten;Huizen;879;Warmtenet;Warmtenet
BU04061125;Bovenmaat-Oost;Wijk 11 Bovenmaten;Huizen;601;Warmtenet;Warmtenet
BU04061226;Filosofenbuurt;Wijk 12 Hogemaat;Huizen;811;All-electric;All-electric
BU04061231;De Tuit;Wijk 12 Hogemaat;Huizen;120;Groengas;Warmtenet
BU04170320;Laren-Centrum;Laren;Laren;1371;All-electric;Groengas
BU04170321;Laren-Natuurgebied;Laren;Laren;11;All-electric;All-electric
BU04170322;Omloop;Laren;Laren;624;Groengas;Groengas
BU04170323;Oostereng;Laren;Laren;553;Groengas;Groengas
BU04170324;Postiljon;Laren;Laren;173;All-electric;All-electric
BU04170325;Rijksweg-Noord;Laren;Laren;158;Groengas;Groengas
BU04170326;Rijksweg-Zuid;Laren;Laren;117;Groengas;Groengas
BU04170327;Steenbergen;Laren;Laren;357;Groengas;Groengas
BU04170328;Zevenend;Laren;Laren;2419;All-electric;Groengas
BU04170329;Zwarte Berg;Laren;Laren;315;Groengas;Groengas
BU16960000;'s-Graveland;Wijk 00 's-Graveland;Wijdemeren;800;All-electric;All-electric
BU16960100;Oud-Kortenhoef;Wijk 01 Kortenhoef;Wijdemeren;185;Groengas;Groengas
BU16960101;Rade  Oranjebuurt  Munniksveen en omgeving;Wijk 01 Kortenhoef;Wijdemeren;3040;All-electric;All-electric
