BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nrAansl_gas;nrAansl_mWKK;nrAansl_eWP;nrAansl_HWP;nrAansl_EWV;nrAansl_RestWarmte;nrAansl_GeoThermie;nrAansl_WijkWKK;nrAansl_BioWKK;nrAansl_WKO;nrAansl_Lt15_30;nrAansl_Lt15_50;nrAansl_Lt15_70;nrAansl_Lt30_30;nrAansl_Lt30_50;nrAansl_Lt30_70;nrAansl_TEO;nr_OrgEntity
BU03760101;BU03760101;Bijvanck;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1815;98;1894;False;39;0;9;2;28;0;726;2;13;4024;3113251;1317966;328;696;0;0;0;0;0;0;1913;0;0;0;0;0;0;0;0;0;0;2115
BU03760102;BU03760102;Blaricum-Dorp;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;2235;187;2568;False;59;0;15;4;40;0;393;2;18;8659;8085177;4407982;509;1717;0;0;0;0;0;0;2422;0;0;0;0;0;0;0;0;0;0;2116
BU03760103;BU03760103;Blaricummer Heide;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;3;9;False;65;0;24;6;35;0;7;10;34;49;41577;17319;352;2000;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2117
BU03760104;BU03760104;Blaricummermeent;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;816;116;912;False;35;0;7;1;27;0;455;2;12;1616;1114946;342811;212;376;0;0;0;0;0;0;932;0;0;0;0;0;0;0;0;0;0;2118
BU03760105;BU03760105;Crailo;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;56;5;355;False;78;0;17;4;57;0;767;1;31;1284;945545;370395;289;1045;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;2119
BU03760106;BU03760106;De Kampen;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;0;1;False;82;0;20;5;57;0;0;3;15;5;11433;10051;2193;10051;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2120
BU03760107;BU03760107;Eemmeer-Blaricum;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;0;0;0;False;0;0;0;0;0;0;0;0;0;0;3652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2121
BU03760108;BU03760108;Stichtsebrug;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;0;2;1;False;10;0;3;1;6;0;0;113;132;0;10614;7384;134127;95992;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2122
BU03760109;BU03760109;Warandepark-De Eng;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;1;2;False;64;0;21;5;38;0;1;10;24;9;16742;9022;1054;5213;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2123
BU04020101;BU04020101;Centrum;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1893;546;3736;False;36;0;10;3;23;0;3386;2;37;9284;9672466;3475052;374;930;0;0;0;0;0;0;2439;0;0;0;0;0;0;0;0;0;0;5229
BU04020102;BU04020102;Havenstraatbuurt;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1522;203;1737;False;37;0;10;2;25;0;2933;2;18;4027;3241972;1396194;347;804;0;0;0;0;0;0;1725;0;0;0;0;0;0;0;0;0;0;5230
BU04020103;BU04020103;Sint Vitusbuurt;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;836;58;1014;False;41;0;11;3;27;0;2048;1;16;2636;2009884;919057;349;907;0;0;0;0;0;0;894;0;0;0;0;0;0;0;0;0;0;5231
BU04020104;BU04020104;Langgewenstbuurt;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;936;263;1741;False;33;0;10;2;21;0;2793;2;34;4072;4476270;1797863;442;1033;0;0;0;0;0;0;1199;0;0;0;0;0;0;0;0;0;0;5232
BU04020201;BU04020201;Boomberg;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1530;211;2209;False;48;0;14;4;30;0;1171;2;23;7274;5959714;2776705;382;1257;0;0;0;0;0;0;1741;0;0;0;0;0;0;0;0;0;0;5233
BU04020202;BU04020202;Raadhuiskwartier;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;641;89;1018;False;56;0;17;4;35;0;1261;2;30;4060;3129236;1277228;315;1255;0;0;0;0;0;0;730;0;0;0;0;0;0;0;0;0;0;5234
BU04020203;BU04020203;Trompenberg-Zuid;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;471;58;1178;False;49;0;15;4;30;0;1960;1;41;4117;3298300;995807;242;845;0;0;0;0;0;0;529;0;0;0;0;0;0;0;0;0;0;5235
BU04020204;BU04020204;Villaparken;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;577;57;850;False;53;0;14;4;35;0;365;2;22;2799;2737324;1416655;506;1667;0;0;0;0;0;0;634;0;0;0;0;0;0;0;0;0;0;5236
BU04020205;BU04020205;Trompenberg-Noord;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;286;24;365;False;59;0;16;4;39;0;575;2;23;1349;1013385;424756;315;1166;0;0;0;0;0;0;310;0;0;0;0;0;0;0;0;0;0;5237
BU04020206;BU04020206;Media Park;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;7;102;2444;False;48;0;15;4;29;0;2048;1;53;7929;7480414;2088098;263;855;0;0;0;0;0;0;109;0;0;0;0;0;0;0;0;0;0;5238
BU04020301;BU04020301;Havenkwartier;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;16;119;727;False;27;0;7;2;18;0;317;1;43;1179;2192445;902417;765;1242;0;0;0;0;0;0;135;0;0;0;0;0;0;0;0;0;0;5239
BU04020302;BU04020302;Het Rode Dorp;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;616;9;624;False;45;0;11;3;31;0;2213;1;13;1609;1226053;597898;372;959;0;0;0;0;0;0;625;0;0;0;0;0;0;0;0;0;0;5240
BU04020303;BU04020303;Zeverijn;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;845;80;972;False;36;0;9;2;25;0;1395;2;15;2115;1810590;874352;414;900;0;0;0;0;0;0;925;0;0;0;0;0;0;0;0;0;0;5241
BU04020304;BU04020304;Kerkelanden;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;3034;488;3909;False;34;0;8;2;24;0;951;2;19;7827;7181808;3035924;388;777;0;0;0;0;0;0;3522;0;0;0;0;0;0;0;0;0;0;5242
BU04020401;BU04020401;Bloemenkwartier Noord;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1300;216;1471;False;43;0;11;3;29;0;2315;2;18;3947;3185945;1528036;387;1039;0;0;0;0;0;0;1516;0;0;0;0;0;0;0;0;0;0;5243
BU04020402;BU04020402;Bloemenkwartier Zuid;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;2307;156;2495;False;42;0;10;3;29;0;1785;1;16;6165;5125606;2500975;406;1003;0;0;0;0;0;0;2463;0;0;0;0;0;0;0;0;0;0;5244
BU04020403;BU04020403;Schrijverskwartier;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;810;127;853;False;51;0;13;3;35;0;1340;2;16;2631;2106943;1066881;406;1252;0;0;0;0;0;0;937;0;0;0;0;0;0;0;0;0;0;5245
BU04020404;BU04020404;Staatsliedenkwartier;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1620;256;1745;False;44;0;11;3;30;0;1821;2;15;4574;3670737;1793785;392;1029;0;0;0;0;0;0;1876;0;0;0;0;0;0;0;0;0;0;5246
BU04020405;BU04020405;Zeeheldenkwartier;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;2277;429;2422;False;36;0;9;2;25;0;1592;2;13;5051;4135941;1957536;388;808;0;0;0;0;0;0;2706;0;0;0;0;0;0;0;0;0;0;5247
BU04020501;BU04020501;Schilderskwartier;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1437;247;2061;False;51;0;14;4;33;0;1212;2;23;6747;5935764;2911641;432;1413;0;0;0;0;0;0;1684;0;0;0;0;0;0;0;0;0;0;5248
BU04020502;BU04020502;t Hoogt van t Kruis;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;624;51;676;False;50;0;12;3;35;0;244;3;15;1896;1585376;771370;407;1141;0;0;0;0;0;0;675;0;0;0;0;0;0;0;0;0;0;5249
BU04020503;BU04020503;Arenaparkkwartier;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;240;155;1621;False;45;0;10;3;32;0;1465;1;48;3449;4545761;1421686;412;877;0;0;0;0;0;0;395;0;0;0;0;0;0;0;0;0;0;5250
BU04020504;BU04020504;West-Indiëkwartier;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;97;4;122;False;75;0;20;5;50;0;288;2;19;566;431947;199401;352;1646;0;0;0;0;0;0;101;0;0;0;0;0;0;0;0;0;0;5251
BU04020505;BU04020505;Van Riebeeckkwartier;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1933;209;2148;False;33;0;8;2;23;0;1669;1;13;4149;3555516;1705756;411;794;0;0;0;0;0;0;2142;0;0;0;0;0;0;0;0;0;0;5252
BU04020506;BU04020506;Egelshoek;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;0;2;3;False;16;0;3;1;12;0;9;8;65;2;27828;10133;5101;3639;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;5253
BU04020601;BU04020601;Geuzenbuurt;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1200;111;1560;False;40;0;11;3;26;0;2255;1;19;3938;3329426;1540716;391;988;0;0;0;0;0;0;1311;0;0;0;0;0;0;0;0;0;0;5254
BU04020602;BU04020602;Electrobuurt;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1066;47;1289;False;39;0;10;3;26;0;2168;1;18;3092;2571845;1164191;377;903;0;0;0;0;0;0;1113;0;0;0;0;0;0;0;0;0;0;5255
BU04020603;BU04020603;Kleine Driftbuurt;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1916;142;2269;False;36;0;9;2;25;0;1753;1;18;4989;4175957;1808815;363;797;0;0;0;0;0;0;2058;0;0;0;0;0;0;0;0;0;0;5256
BU04020604;BU04020604;Liebergen;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;2251;84;2464;False;37;0;9;2;26;0;1850;1;15;5379;4259190;1898908;353;771;0;0;0;0;0;0;2335;0;0;0;0;0;0;0;0;0;0;5257
BU04020605;BU04020605;Astronomische Buurt;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;2403;226;2859;False;43;0;11;3;29;0;1616;2;20;7686;6295420;2764454;360;967;0;0;0;0;0;0;2629;0;0;0;0;0;0;0;0;0;0;5258
BU04020606;BU04020606;Annas Hoeve;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;204;4;217;False;38;0;8;2;28;0;454;2;12;415;358057;145238;350;670;0;0;0;0;0;0;208;0;0;0;0;0;0;0;0;0;0;5259
