BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nr_OrgEntity
BU03760101;BU03760101;Bijvanck;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1815;98;1894;False;33;0;9;-4;28;0;614;2;7;4024;4568730;2773445;689;1465;2115
BU03760102;BU03760102;Blaricum-Dorp;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;2235;187;2568;False;49;0;15;-6;40;0;326;2;8;8659;10949604;7272409;840;2832;2116
BU03760103;BU03760103;Blaricummer Heide;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;3;9;False;49;0;24;-10;35;0;5;10;18;49;47521;23263;473;2686;2117
BU03760104;BU03760104;Blaricummermeent;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;816;116;912;False;32;0;7;-2;27;0;416;2;9;1616;1484642;712507;441;781;2118
BU03760105;BU03760105;Crailo;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;56;5;355;False;67;0;17;-7;57;0;659;1;20;1284;1439666;864516;673;2438;2119
BU03760106;BU03760106;De Kampen;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;0;1;False;68;0;20;-9;57;0;0;3;1;5;13153;11771;2569;11771;2120
BU03760107;BU03760107;Eemmeer-Blaricum;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;0;0;0;False;0;0;0;0;0;0;0;0;0;0;3652;0;0;0;2121
BU03760108;BU03760108;Stichtsebrug;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;0;2;1;False;8;0;3;-1;6;0;0;113;130;0;10599;7369;133854;95797;2122
BU03760109;BU03760109;Warandepark-De Eng;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;1;2;False;50;0;21;-9;38;0;1;10;10;9;18348;10628;1241;6141;2123
BU04020101;BU04020101;Centrum;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1893;546;3736;False;28;0;10;-5;23;0;2633;2;30;9284;11393473;5196059;560;1391;5229
