BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nrAansl_gas;nrAansl_mWKK;nrAansl_eWP;nrAansl_HWP;nrAansl_EWV;nrAansl_RestWarmte;nrAansl_GeoThermie;nrAansl_WijkWKK;nrAansl_BioWKK;nrAansl_WKO;nrAansl_Lt15_30;nrAansl_Lt15_50;nrAansl_Lt15_70;nrAansl_Lt30_30;nrAansl_Lt30_50;nrAansl_Lt30_70;nrAansl_TEO;nr_OrgEntity
BU03760101;BU03760101;Bijvanck;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1815;98;1894;False;49;0;0;23;0;26;912;2;34;4024;3224353;1429068;355;755;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;1833;0;2115
BU03760102;BU03760102;Blaricum-Dorp;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;2235;187;2568;False;59;0;0;28;0;31;393;2;43;8659;7051081;3373886;390;1314;0;0;771;0;0;0;0;0;0;0;0;0;0;0;0;1651;0;2116
BU03760103;BU03760103;Blaricummer Heide;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;3;9;False;39;0;0;20;0;19;4;10;48;49;29664;5406;110;624;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2117
BU03760104;BU03760104;Blaricummermeent;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;816;116;912;False;19;0;3;4;11;1;247;2;16;1616;1123546;351411;217;385;0;0;885;0;0;0;0;0;0;0;0;0;0;0;0;47;0;2118
BU03760105;BU03760105;Crailo;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;56;5;355;False;9;0;0;9;0;0;88;1;37;1284;639775;64625;50;182;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2119
BU03760106;BU03760106;De Kampen;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;0;1;False;15;0;0;15;0;0;0;3;27;5;2553;1171;256;1171;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2120
BU03760107;BU03760107;Eemmeer-Blaricum;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;0;0;0;False;0;0;0;0;0;0;0;0;0;0;3652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2121
BU03760108;BU03760108;Stichtsebrug;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;0;2;1;False;1;0;0;1;0;0;0;113;146;0;4212;982;17838;12766;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122
BU03760109;BU03760109;Warandepark-De Eng;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;1;2;False;10;0;0;10;0;0;0;10;30;9;9501;1781;208;1029;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2123
BU04020101;BU04020101;Centrum;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1893;546;3736;False;7;0;0;6;0;1;658;2;41;9284;8557663;2360249;254;632;0;0;2298;0;0;0;0;0;0;0;0;0;0;0;0;141;0;5229
BU04020102;BU04020102;Havenstraatbuurt;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1522;203;1737;False;44;0;0;20;0;24;3488;2;36;4027;3219794;1374016;341;791;0;0;140;0;0;0;0;0;0;0;0;0;0;0;0;1585;0;5230
BU04020103;BU04020103;Sint Vitusbuurt;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;836;58;1014;False;7;0;0;7;0;0;350;1;22;2636;2068879;978052;371;965;0;0;894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5231
BU04020104;BU04020104;Langgewenstbuurt;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;936;263;1741;False;5;0;0;5;0;0;423;2;37;4072;4087575;1409168;346;809;0;0;1199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5232
BU04020201;BU04020201;Boomberg;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1530;211;2209;False;22;0;0;13;0;9;537;2;33;7274;5265359;2082350;286;943;0;0;1208;0;0;0;0;0;0;0;0;0;0;0;0;533;0;5233
BU04020202;BU04020202;Raadhuiskwartier;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;641;89;1018;False;9;0;0;9;0;0;203;2;36;4060;2818516;966508;238;950;0;0;730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5234
BU04020203;BU04020203;Trompenberg-Zuid;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;471;58;1178;False;6;0;0;6;0;0;240;1;44;4117;2772033;469540;114;399;0;0;529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5235
BU04020204;BU04020204;Villaparken;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;577;57;850;False;9;0;0;9;0;0;62;2;28;2799;2151158;830489;297;977;0;0;634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5236
BU04020205;BU04020205;Trompenberg-Noord;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;286;24;365;False;10;0;0;10;0;0;97;2;30;1349;923627;334998;248;920;0;0;310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5237
BU04020206;BU04020206;Media Park;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;7;102;2444;False;5;0;0;5;0;0;213;1;55;7929;5750491;358175;45;147;0;0;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5238
BU04020301;BU04020301;Havenkwartier;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;16;119;727;False;12;0;0;7;0;5;141;1;48;1179;1713314;423286;359;582;0;0;118;0;0;0;0;0;0;0;0;0;0;0;0;17;0;5239
BU04020302;BU04020302;Het Rode Dorp;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;616;9;624;False;56;0;0;26;0;30;2755;1;36;1609;1327196;699041;434;1121;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;614;0;5240
BU04020303;BU04020303;Zeverijn;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;845;80;972;False;24;0;0;13;0;11;930;2;26;2115;1843006;906768;429;934;0;0;649;0;0;0;0;0;0;0;0;0;0;0;0;276;0;5241
BU04020304;BU04020304;Kerkelanden;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;3034;488;3909;False;28;0;0;14;0;14;783;2;31;7827;7102160;2956276;378;756;0;0;1565;0;0;0;0;0;0;0;0;0;0;0;0;1957;0;5242
BU04020401;BU04020401;Bloemenkwartier Noord;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1300;216;1471;False;38;0;0;19;0;19;2046;2;34;3947;3340538;1682629;426;1144;0;0;621;0;0;0;0;0;0;0;0;0;0;0;0;895;0;5243
BU04020402;BU04020402;Bloemenkwartier Zuid;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;2307;156;2495;False;8;0;0;8;0;0;340;1;22;6165;5176008;2551377;414;1023;0;0;2463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5244
BU04020403;BU04020403;Schrijverskwartier;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;810;127;853;False;57;0;0;27;0;30;1498;2;40;2631;2233543;1193481;454;1400;0;0;240;0;0;0;0;0;0;0;0;0;0;0;0;697;0;5245
