BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nrAansl_gas;nrAansl_mWKK;nrAansl_eWP;nrAansl_HWP;nrAansl_EWV;nrAansl_RestWarmte;nrAansl_GeoThermie;nrAansl_WijkWKK;nrAansl_BioWKK;nrAansl_WKO;nrAansl_Lt15_30;nrAansl_Lt15_50;nrAansl_Lt15_70;nrAansl_Lt30_30;nrAansl_Lt30_50;nrAansl_Lt30_70;nrAansl_TEO;nr_OrgEntity
BU03760101;BU03760101;Bijvanck;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1815;98;1894;False;22;0;20;2;0;0;410;2;14;4024;3127956;1332671;331;704;0;0;0;1913;0;0;0;0;0;0;0;0;0;0;0;0;0;2115
BU03760102;BU03760102;Blaricum-Dorp;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;2235;187;2568;False;29;0;25;4;0;0;193;2;19;8659;6733589;3056394;353;1190;0;0;0;2422;0;0;0;0;0;0;0;0;0;0;0;0;0;2116
BU03760103;BU03760103;Blaricummer Heide;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;3;9;False;24;0;20;4;0;0;2;10;32;49;32820;8562;174;989;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2117
BU03760104;BU03760104;Blaricummermeent;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;816;116;912;False;26;0;13;2;11;0;338;2;13;1616;1070286;298151;184;327;0;0;0;932;0;0;0;0;0;0;0;0;0;0;0;0;0;2118
BU03760105;BU03760105;Crailo;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;56;5;355;False;36;0;30;6;0;0;354;1;33;1284;1024356;449206;350;1267;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;2119
BU03760106;BU03760106;De Kampen;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;0;1;False;40;0;34;6;0;0;0;3;16;5;2831;1449;316;1449;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2120
BU03760107;BU03760107;Eemmeer-Blaricum;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;0;0;0;False;0;0;0;0;0;0;0;0;0;0;3652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2121
BU03760108;BU03760108;Stichtsebrug;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;0;2;1;False;4;0;3;1;0;0;0;113;138;0;3310;80;1453;1040;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2122
BU03760109;BU03760109;Warandepark-De Eng;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;1;2;False;27;0;23;4;0;0;0;10;23;9;9349;1629;190;941;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2123
BU04020101;BU04020101;Centrum;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1893;546;3736;False;16;0;14;2;0;0;1505;2;37;9284;9047755;2850341;307;763;0;0;0;2439;0;0;0;0;0;0;0;0;0;0;0;0;0;5229
BU04020102;BU04020102;Havenstraatbuurt;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1522;203;1737;False;19;0;17;2;0;0;1506;2;18;4027;3271367;1425589;354;821;0;0;0;1725;0;0;0;0;0;0;0;0;0;0;0;0;0;5230
BU04020103;BU04020103;Sint Vitusbuurt;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;836;58;1014;False;20;0;18;2;0;0;999;1;16;2636;2012440;921613;350;910;0;0;0;894;0;0;0;0;0;0;0;0;0;0;0;0;0;5231
BU04020104;BU04020104;Langgewenstbuurt;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;936;263;1741;False;15;0;13;2;0;0;1270;2;34;4072;4213108;1534701;377;882;0;0;0;1199;0;0;0;0;0;0;0;0;0;0;0;0;0;5232
BU04020201;BU04020201;Boomberg;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1530;211;2209;False;22;0;19;3;0;0;537;2;23;7274;5511655;2328646;320;1055;0;0;0;1741;0;0;0;0;0;0;0;0;0;0;0;0;0;5233
BU04020202;BU04020202;Raadhuiskwartier;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;641;89;1018;False;24;0;21;3;0;0;540;2;30;4060;2962442;1110434;273;1091;0;0;0;730;0;0;0;0;0;0;0;0;0;0;0;0;0;5234
BU04020203;BU04020203;Trompenberg-Zuid;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;471;58;1178;False;19;0;16;3;0;0;760;1;41;4117;3163838;861345;209;731;0;0;0;529;0;0;0;0;0;0;0;0;0;0;0;0;0;5235
BU04020204;BU04020204;Villaparken;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;577;57;850;False;24;0;21;3;0;0;165;2;22;2799;2313500;992831;355;1168;0;0;0;634;0;0;0;0;0;0;0;0;0;0;0;0;0;5236
BU04020205;BU04020205;Trompenberg-Noord;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;286;24;365;False;28;0;24;4;0;0;273;2;23;1349;953146;364517;270;1001;0;0;0;310;0;0;0;0;0;0;0;0;0;0;0;0;0;5237
BU04020206;BU04020206;Media Park;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;7;102;2444;False;17;0;14;3;0;0;725;1;53;7929;7357854;1965538;248;804;0;0;0;109;0;0;0;0;0;0;0;0;0;0;0;0;0;5238
BU04020301;BU04020301;Havenkwartier;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;16;119;727;False;11;0;9;2;0;0;129;1;44;1179;1935554;645526;547;888;0;0;0;135;0;0;0;0;0;0;0;0;0;0;0;0;0;5239
BU04020302;BU04020302;Het Rode Dorp;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;616;9;624;False;24;0;21;3;0;0;1181;1;14;1609;1284695;656540;408;1053;0;0;0;625;0;0;0;0;0;0;0;0;0;0;0;0;0;5240
BU04020303;BU04020303;Zeverijn;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;845;80;972;False;19;0;17;2;0;0;736;2;15;2115;1731197;794959;376;818;0;0;0;925;0;0;0;0;0;0;0;0;0;0;0;0;0;5241
BU04020304;BU04020304;Kerkelanden;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;3034;488;3909;False;18;0;16;2;0;0;503;2;19;7827;6779036;2633152;336;674;0;0;0;3522;0;0;0;0;0;0;0;0;0;0;0;0;0;5242
