BU_CODE,I01_buurtcode,I02_buurtnaam,I03_wijkcode,I04_wijknaam,I05_gemeentecode,I06_gemeentenaam,I07_energieregionaam,I08_provincienaam,I09_aantal_woningen,I10_aantal_utiliteit,I11_woningequivalenten,I12_opp_woningen,I13_opp_utiliteit,Uitgesloten,Woning_H01_Vraag_Warmte_Totaal,Woning_H02_Vraag_Ruimteverwarming,Woning_H03_Vraag_Tapwater,Woning_H04_Vraag_Ventilatie,Woning_H05_Vraag_Koude,Woning_H06_Vraag_Apparaten,Woning_H07_Vraag_perhectare,Woning_H08_Input_Totaal,Woning_H09_Input_Aardgas,Woning_H10_Input_Duurzaamgas,Woning_H11_Input_Elektriciteit,Woning_H12_Input_MTwarmte,Woning_H13_Input_LTwarmte,Woning_H14_Saldo_Omgevingswarmte,Woning_H19_Waarde_hernieuwbaar_gas,Woning_H21_CapaciteitsvraagE,Woning_H22_AantalNieuweMSR,Woning_A01_Aansl_aardgas,Woning_A02_Aansl_groengas,Woning_A03_Aansl_waterstof,Woning_A04_Aansl_Gasketel,Woning_A05_Aansl_eWP_lucht,Woning_A05_Aansl_eWP_bodem,Woning_A06_Aansl_Rest70_collGGheater,Woning_A07_Aansl_Geo70_collGGheater,Woning_A08_Aansl_Rest30_eWPlucht,Woning_A09_Aansl_Rest30_colleWP70,Woning_A10_Aansl_WKO15_colleWP70,Woning_A11_Aansl_WKO15_colleWP50_beWP,Woning_A12_Aansl_WKO15_TEO15_colleWP70,Woning_A13_Aansl_hWP,Woning_A14_Aansl_h2WP,Woning_A15_Aansl_h2R,Woning_A16_Aansl_naarA,Woning_A17_Aansl_naarB,Woning_A18_Aansl_naarC,Woning_A19_Aansl_naarD,Woning_G01_Aansl_LT15_50,Woning_G02_Aansl_LT15_70,Woning_G03_Aansl_LT30_30,Woning_G04_Aansl_LT30_70,Woning_G05_Aansl_TEO,Woning_G06_Aansl_WKO,Woning_G07_Aansl_WijkWKK,Woning_G08_Aansl_BioWKK,Woning_G09_Aansl_BuurtWKO,Woning_G10_Aansl_Restwarmte,Woning_G11_Aansl_Geothermie,Woning_G12_Aansl_WaterstofHR,Woning_G13_Aansl_WaterstofWP,Woning_L01_Aansl_LabelAppp,Woning_L02_Aansl_LabelA,Woning_L03_Aansl_LabelB,Woning_L04_Aansl_LabelC,Woning_L05_Aansl_LabelD,Woning_L06_Aansl_LabelE,Woning_L07_Aansl_LabelF,Util_H01_Vraag_Warmte_Totaal,Util_H02_Vraag_Ruimteverwarming,Util_H03_Vraag_Tapwater,Util_H04_Vraag_Ventilatie,Util_H05_Vraag_Koude,Util_H06_Vraag_Apparaten,Util_H07_Vraag_perhectare,Util_H08_Input_Totaal,Util_H09_Input_Aardgas,Util_H10_Input_Duurzaamgas,Util_H11_Input_Elektriciteit,Util_H12_Input_MTwarmte,Util_H13_Input_LTwarmte,Util_H14_Saldo_Omgevingswarmte,Util_H19_Waarde_hernieuwbaar_gas,Util_H21_CapaciteitsvraagE,Util_H22_AantalNieuweMSR,Util_A01_Aansl_aardgas,Util_A02_Aansl_groengas,Util_A03_Aansl_waterstof,Util_A04_Aansl_gasketel,Util_A05_Aansl_eWP_lucht,Util_A05_Aansl_eWP_bodem,Util_A06_Aansl_Rest70_collGGheater,Util_A07_Aansl_Geo70_collGGheater,Util_A08_Aansl_Rest30_eWPlucht,Util_A09_Aansl_Rest30_colleWP70,Util_A10_Aansl_WKO15_colleWP70,Util_A11_Aansl_WKO15_colleWP50_beWP,Util_A12_Aansl_WKO15_TEO15_colleWP70,Util_A13_Aansl_hWP,Util_A14_Aansl_h2WP,Util_A15_Aansl_h2R,Util_A17_Aansl_naarB,Util_A18_Aansl_naarC,Util_A19_Aansl_naarD,Util_G01_Aansl_LT15_50,Util_G02_Aansl_LT15_70,Util_G03_Aansl_LT30_30,Util_G04_Aansl_LT30_70,Util_G05_Aansl_TEO,Util_G06_Aansl_WKO,Util_G07_Aansl_WijkWKK,Util_G08_Aansl_BioWKK,Util_G09_Aansl_BuurtWKO,Util_G10_Aansl_Restwarmte,Util_G11_Aansl_Geothermie,Util_G12_Aansl_WaterstofHR,Util_G13_Aansl_WaterstofWP,Util_L01_Aansl_LabelAppp,Util_L02_Aansl_LabelA,Util_L03_Aansl_LabelB,Util_L04_Aansl_LabelC,Util_L05_Aansl_LabelD,Util_L06_Aansl_LabelE,Util_L07_Aansl_LabelF,H15_CO2_uitstoot,H16_Nat_meerkost,H17_Nat_meerkost_CO2,H18_Nat_meerkost_WEQ,H23_Capaciteit_huidig,nr_OrgEntity
BU03760101,BU03760101,Bijvanck,WK037601,Blaricum,GM0376,Blaricum,Noord-Holland Zuid,Noord-Holland,1814,98,1893,219392,10188,FALSE,53945.9678,39669.3678,14276.6,910.57069,0,17406.65,530,72263.1885,0,57972.234,19120.0921,0,0,-4829.13763,0,2721,0,0,1814,0,1814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,1473,0,0,0,0,1802.94198,1674.06383,128.878158,0,881.154164,3008.334,18,5692.43015,0,1788.6742,3300.06625,0,0,603.689698,0,290.358,0,0,98,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,1830079,487,967,3590,581
BU03760103,BU03760103,Blaricummer Heide,WK037601,Blaricum,GM0376,Blaricum,Noord-Holland Zuid,Noord-Holland,1,3,9,200,996,FALSE,53.4331766,44.9331766,8.5,1.3242554,0,9.7,1,64.457432,0,55.0105331,11.6433354,0,0,-2.19643646,0,1.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,233.73772,205.019129,28.7185911,0,248.453439,179.184,3,661.375159,0,237.02071,256.164937,0,0,168.189512,0,28.386,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10576,262,1175,29.886,582
BU03760105,BU03760105,Crailo,WK037601,Blaricum,GM0376,Blaricum,Noord-Holland Zuid,Noord-Holland,56,5,355,11012,38814,FALSE,2643.7445,2152.2445,491.5,70.7752945,0,527.3,73,3241.8198,0,2752.10476,631.542014,0,0,-141.826974,0,84,0,0,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,54,0,0,0,0,16363.8843,14886.311,1477.5732,0,1957.26744,9071.226,454,27392.3777,0,16365.9456,9868.36743,0,0,1158.06463,0,1106.199,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,349419,301,984,1190.199,583
BU04020101,BU04020101,Centrum,WK040201,Centrum,GM0402,Hilversum,Noord-Holland Zuid,Noord-Holland,1922,545,3836,174700,248751,FALSE,44130.0201,30566.9701,13563.05,592.93954,0,16682.8,1111,61405.7597,0,48228.8869,17902.4215,0,0,-4725.54875,0,2883,0,0,1922,0,1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,1529,0,0,0,0,36672.0226,34622.6,2049.42267,0,28180.822,112335.348,923,177188.193,0,36137.3819,121353.082,0,0,19697.729,0,7089.4035,0,0,545,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,0,3245597,417,846,9972.4035,929
BU04020102,BU04020102,Havenstraatbuurt,WK040201,Centrum,GM0402,Hilversum,Noord-Holland Zuid,Noord-Holland,1532,196,1744,128565,27500,FALSE,37854.4302,26259.4802,11594.95,676.64945,0,13906.24,1728,52437.3196,0,41353.5974,15096.8314,0,0,-4013.10918,0,2298,0,0,1532,0,1532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,1335,0,0,0,0,3450.88795,3206.4297,244.458252,0,3166.23472,12277.182,158,18894.3047,0,3422.63083,13287.0621,0,0,2184.61171,0,783.75,0,0,196,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,1619679,472,929,3081.75,930
BU04020103,BU04020103,Sint Vitusbuurt,WK040201,Centrum,GM0402,Hilversum,Noord-Holland Zuid,Noord-Holland,837,57,1022,72019,24048,FALSE,22555.922,16137.922,6418,457.222599,0,7816.59,1112,30829.7346,0,24431.1216,8571.80876,0,0,-2173.19574,0,1255.5,0,0,837,0,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,788,0,0,0,0,3405.92318,3173.32024,232.602936,0,2113.11687,5667.97,168,11187.01,0,3374.32909,6367.26404,0,0,1445.41691,0,685.368,0,0,57,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,1025202,450,1003,1940.868,931
BU04020104,BU04020104,Langgewenstbuurt,WK040201,Centrum,GM0402,Hilversum,Noord-Holland Zuid,Noord-Holland,994,261,1798,78864,104436,FALSE,22701.8485,15780.3485,6921.5,346.330652,0,8727.03,1104,31775.2091,0,24786.6065,9380.32297,0,0,-2391.72028,0,1491,0,0,994,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,841,0,0,0,0,13247.3916,12482.6552,764.73637,0,11488.5933,44537.456,644,69273.4408,0,13064.6869,48205.6896,0,0,8003.06429,0,2976.426,0,0,261,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,1749610,525,973,5210,932
BU04020201,BU04020201,Boomberg,WK040202,Noordwest,GM0402,Hilversum,Noord-Holland Zuid,Noord-Holland,1537,211,2217,194721,88380,FALSE,50823.3343,38928.3843,11894.95,1182.30438,0,13912.35,561,65917.9887,0,53951.9027,15743.8764,0,0,-3777.79034,0,2305.5,0,0,1537,0,1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1453,0,0,0,0,14050.9593,13153.4728,897.486438,0,8754.0486,27642.562,155,50447.5699,0,13894.079,30544.0051,0,0,6009.48583,0,2518.83,0,0,211,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,2685170,449,1211,4824.33,933
BU04020202,BU04020202,Raadhuiskwartier,WK040202,Noordwest,GM0402,Hilversum,Noord-Holland Zuid,Noord-Holland,643,89,1020,100253,48889,FALSE,26106.4781,20442.0281,5664.45,680.507277,0,6161.31,578,32948.2954,0,27523.0879,7171.93056,0,0,-1746.7231,0,964.5,0,0,643,0,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,559,0,0,0,0,9442.29935,9029.65867,412.640687,0,6337.46789,19538.286,209,35318.0532,0,9255.47617,21600.442,0,0,4462.13505,0,1393.3365,0,0,89,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,1317765,392,1292,3290,934
BU04020203,BU04020203,Trompenberg-Zuid,WK040202,Noordwest,GM0402,Hilversum,Noord-Holland Zuid,Noord-Holland,471,59,1177,52807,91755,FALSE,13135.7955,9752.29552,3383.5,253.385845,0,4106.45,446,17495.6314,0,14076.5128,4535.08616,0,0,-1115.96759,0,706.5,0,0,471,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,452,0,0,0,0,19918.1851,19301.0024,617.182671,0,11749.8865,39189.505,677,70857.5766,0,19415.8543,43023.3023,0,0,8418.42,0,2615.0175,0,0,59,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,1108093,335,941,3321.5175,935
