Bron_naam;bron_id;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;Bron_vol;Bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
newasco van houten b v   heemstede;;4.62949;52.3463;1999;1999;2;0.7;0.3;30;50;250;0;0.696510614;LT
lamme textielbeheer bv  nederhorst den berg;;5.04662;52.2731;1999;1999;2;0.7;0.3;30;50;250;0;0.0283845789;LT
martinez chocolade bv;;4.83918;52.2807;1999;1999;24;0.7;0.3;30;50;250;0;0.0614438882;LT
brouwerij  t ij bv;;4.92647;52.3667;1999;1999;24;0.7;0.3;30;50;250;0;0.104732625;LT
cargill bv;;4.76966;52.411;1999;1999;24;0.7;0.3;30;50;250;0;0.00135050329;LT
dutch cocoa bv;;4.75981;52.4095;1999;1999;24;0.7;0.3;30;50;250;0;0.00620611513;LT
expalkan v  bv;;4.91842;52.3773;1999;1999;24;0.7;0.3;30;50;250;0;0.214827237;LT
green egg bv;;4.90097;52.3798;1999;1999;24;0.7;0.3;30;50;250;0;0.188365359;LT
heartland sweeteners europe bv;;4.75425;52.4036;1999;1999;24;0.7;0.3;30;50;250;0;0.00642094079;LT
klas doner production bv;;4.89457;52.3824;1999;1999;24;0.7;0.3;30;50;250;0;0.156227007;LT
lovechock bv;;4.90411;52.3909;1999;1999;24;0.7;0.3;30;50;250;0;0.109911503;LT
marleen kookt bv;;4.87555;52.3798;1999;1999;24;0.7;0.3;30;50;250;0;0.169379852;LT
udkvm bv;;4.78026;52.3905;1999;1999;24;0.7;0.3;30;50;250;0;0.00336447697;LT
winclove bv;;4.90797;52.3967;1999;1999;24;0.7;0.3;30;50;250;0;0.0509706678;LT
chocoladefabriek     de beemster     bv;;4.90261;52.5534;1999;1999;24;0.7;0.3;30;50;250;0;0.0376254112;LT
co1peratieve zuivelonderneming cono ba;;4.87435;52.5567;1999;1999;24;0.7;0.3;30;50;250;0;0.0104382928;LT
a f  stam bv;;4.95607;52.3409;1999;1999;24;0.7;0.3;30;50;250;0;0.0244810132;LT
freek schilder vissnacks bv;;5.08077;52.5069;1999;1999;24;0.7;0.3;30;50;250;0;0.0436493947;LT
platvis holland bv;;5.03914;52.5156;1999;1999;24;0.7;0.3;30;50;250;0;0.000518932749;LT
smilde bakery bv;;5.04057;52.5157;1999;1999;24;0.7;0.3;30;50;250;0;0.00467135526;LT
holland paling bv;;4.68165;52.4135;1999;1999;24;0.7;0.3;30;50;250;0;0.00807165789;LT
otelli bv;;4.66363;52.3989;1999;1999;24;0.7;0.3;30;50;250;0;0.00336200329;LT
a l  hoogesteger fresh specialist bv;;4.7384;52.3799;1999;1999;24;0.7;0.3;30;50;250;0;0.0103694243;LT
cargill meats holland bv;;4.74911;52.3035;1999;1999;24;0.7;0.3;30;50;250;0;0.0665599079;LT
gepo vleeswaren bv;;4.63473;52.254;1999;1999;24;0.7;0.3;30;50;250;0;0.00311736184;LT
kaaskeuken bv;;4.62661;52.2546;1999;1999;24;0.7;0.3;30;50;250;0;0.00802208882;LT
mccain foods holland bv;;4.7118;52.2917;1999;1999;24;0.7;0.3;30;50;250;0;0.431054089;LT
solina netherlands bv;;4.64693;52.2689;1999;1999;24;0.7;0.3;30;50;250;0;0.0214999901;LT
van maanen verkoop bv;;4.62084;52.3539;1999;1999;24;0.7;0.3;30;50;250;0;0.0924234967;LT
jan veerman vis bv;;5.24473;52.3061;1999;1999;24;0.7;0.3;30;50;250;0;0.00232772697;LT
adriaan goede bv;;4.90722;52.4239;1999;1999;24;0.7;0.3;30;50;250;0;0.0251450395;LT
royaan bv;;4.8635;52.4328;1999;1999;24;0.7;0.3;30;50;250;0;0.0217296382;LT
van der zee vlees bv;;4.9278;52.3282;1999;1999;24;0.7;0.3;30;50;250;0;0.0696762171;LT
hesseling vlees bv;;4.99724;52.5219;1999;1999;24;0.7;0.3;30;50;250;0;0.0145327171;LT
uitsnijderij dao bv;;4.988;52.5024;1999;1999;24;0.7;0.3;30;50;250;0;0.00222827961;LT
bakels senior nv;;5.02707;52.3147;1999;1999;24;0.7;0.3;30;50;250;0;0.175543174;LT
bracamonte daily foods bv;;5.02209;52.3139;1999;1999;24;0.7;0.3;30;50;250;0;0.00890137829;LT
gruma netherlands bv;;5.02308;52.3174;1999;1999;24;0.7;0.3;30;50;250;0;0.00104105592;LT
adm cocoa bv;;4.80651;52.4885;1999;1999;24;0.7;0.3;30;50;250;0;0.055400375;LT
cargill bv;;4.79552;52.4966;1999;1999;24;0.7;0.3;30;50;250;0;0.004912375;LT
aak netherlands bv;;4.80723;52.4773;1999;1999;24;0.7;0.3;30;50;250;0;0.0391291118;LT
ayal kaas bv;;4.81277;52.4293;1999;1999;24;0.7;0.3;30;50;250;0;0.0426452632;LT
bonbonatelier n  limmen bv;;4.80128;52.4295;1999;1999;24;0.7;0.3;30;50;250;0;0.00159570724;LT
cargill bv;;4.81653;52.4638;1999;1999;24;0.7;0.3;30;50;250;0;0.00350953947;LT
danisco zaandam bv;;4.82222;52.4472;1999;1999;24;0.7;0.3;30;50;250;0;0.048798875;LT
dp zaandam bv;;4.82799;52.4392;1999;1999;24;0.7;0.3;30;50;250;0;0.127367401;LT
duyvis production bv;;4.81639;52.4702;1999;1999;24;0.7;0.3;30;50;250;0;0.00529522697;LT
frites uit zuyd bv;;4.83082;52.4206;1999;1999;24;0.7;0.3;30;50;250;0;0.0179042237;LT
ioi loders croklaan oils bv;;4.8093;52.4842;1999;1999;24;0.7;0.3;30;50;250;0;0.0014895;LT
jan schoemaker bv;;4.82672;52.4716;1999;1999;24;0.7;0.3;30;50;250;0;0.0150426546;LT
loders croklaan bv;;4.8093;52.4842;1999;1999;24;0.7;0.3;30;50;250;0;0.0014895;LT
meneba wormerveer bv;;4.79303;52.5021;1999;1999;24;0.7;0.3;30;50;250;0;0.0139795395;LT
stepan specialty products bv;;4.80821;52.4679;1999;1999;24;0.7;0.3;30;50;250;0;0.0182490526;LT
tate   lyle netherlands bv;;4.81243;52.4655;1999;1999;24;0.7;0.3;30;50;250;0;0.0175798882;LT
twincon bv;;4.80763;52.4701;1999;1999;24;0.7;0.3;30;50;250;0;0.0373560395;LT
vers vlees voor hond en kat lotgering bv;;4.81572;52.4569;1999;1999;24;0.7;0.3;30;50;250;0;0.053811125;LT
albert heijn bv;;4.74648;52.2682;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.69561063;LT
albert heijn bv;;4.79481;52.2746;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.3516512;LT
hoogvliet bv;;4.76466;52.2533;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.14550098;LT
