BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_Vraag_totaal;H02_Vraag_Ruimteverwarming;H03_Vraag_Tapwater;H04_Vraag_Ventilatie;H05_Vraag_Koude;H06_Vraag_Apparaten;H07_Vraag_perhectare;H08_Input_totaal;H09_Input_aardgas;H10_Input_duurzaamgas;H11_Input_elektriciteit;H12_Input_MTwarmte;H13_Input_LTwarmte;H14_Saldo_Omgevingswarmte;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;H19_waarde_hernieuwbaar_gas;A01_Aansl_aardgas;A02_Aansl_eWP;A03_Aansl_MT;A04_Aansl_LT;A05_Aansl_hWP_HG;A06_Aansl_HR_HG;A10_Aansl_LT_WKO;A11_Aansl_LT_LT15_30;A12_Aansl_LT_LT15_50;A13_Aansl_LT_LT15_70;A14_Aansl_LT_LT30_30;A15_Aansl_LT_LT30_50;A16_Aansl_LT_LT30_70;A17_Aansl_LT_TEO;A18_Aansl_LT_BuurtWKO;A19_Aansl_MT_Restwarmte;A20_Aansl_MT_Geothermie;A21_Aansl_MT_WijkWKK;A22_Aansl_MT_BioWKK;A23_Aansl_H2;nr_OrgEntity
BU03631000;BU03631000;Coenhaven/Mercuriushaven;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;2574;229;4359;False;52;16;3;0;6;28;564;52;0;10;31;0;1;10;0;1709691;343;392;0;0;224;0;9;0;2570;0;0;0;0;0;0;9;0;0;0;0;0;0;0;126
BU03631001;BU03631001;Alfa-driehoek;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;349;48;833;False;69;24;2;0;10;34;527;69;0;7;41;2;0;19;0;457954;336;550;0;0;45;0;5;0;347;0;0;0;0;0;0;5;0;0;0;0;0;0;0;127
BU03631105;BU03631105;Teleport;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;3983;441;8871;False;65;22;3;0;9;32;2552;65;0;7;34;15;1;9;0;2794548;209;315;0;0;187;586;273;0;1486;0;0;0;0;0;0;273;0;0;586;0;0;0;0;138
BU03631306;BU03631306;Westergasfabriek;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;0;39;164;False;81;20;2;0;22;36;154;81;0;0;47;0;0;34;0;151114;270;924;0;0;38;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;149
BU03631307;BU03631307;Overbraker Binnenpolder;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1237;8;1365;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2;0;0;1035;0;0;0;0;0;0;0;0;0;2;0;0;0;0;150
BU03633600;BU03633600;Woon- en Groengebied Sloterdijk;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;226;14;650;False;75;24;3;0;13;35;337;75;0;0;46;0;10;19;0;271427;228;418;0;0;26;0;214;0;0;0;0;0;0;0;0;214;0;0;0;0;0;0;0;235
BU03633601;BU03633601;Bedrijventerrein Sloterdijk I;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;5534;91;6952;False;39;15;3;0;3;18;1812;39;0;13;20;0;1;5;0;3004931;302;432;0;0;85;0;20;0;5520;0;0;0;0;0;0;20;0;0;0;0;0;0;0;236
BU03636601;BU03636601;Oostzanerdijk;WK036366;Oostzanerwerf;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;241;46;333;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;0;0;0;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;365
BU03636602;BU03636602;Walvisbuurt;WK036366;Oostzanerwerf;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;546;7;579;False;41;20;7;0;1;13;328;41;0;0;21;0;1;19;0;350815;350;607;0;0;538;0;15;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;366
BU03636604;BU03636604;Noorder IJplas;WK036366;Oostzanerwerf;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;2;1;3;False;62;34;8;0;3;18;1;62;0;0;36;0;42;-16;0;17971;3054;7488;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;368
BU03637104;BU03637104;Cornelis Douwesterrein;WK036371;Noordelijke IJ-oevers West;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;640;59;1253;False;56;17;2;0;6;31;264;56;0;8;35;0;0;13;0;559287;382;447;0;0;58;0;1;0;640;0;0;0;0;0;0;1;0;0;0;0;0;0;0;392
