BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H15_CO2_uitstoot;Woning_H16_Nat_meerkost;Woning_H17_Nat_meerkost_CO2;Woning_H18_Nat_meerkost_WEQ;Woning_H19_Waarde_hernieuwbaar_gas;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H15_CO2_uitstoot;Util_H16_Nat_meerkost;Util_H17_Nat_meerkost_CO2;Util_H18_Nat_meerkost_WEQ;Util_H19_Waarde_hernieuwbaar_gas;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;nr_OrgEntity
BU03631000;BU03631000;Coenhaven/Mercuriushaven;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;14577;229;16362;1209968;232015;False;4;2;1;0;0;2;268;4;0;1;2;0;0;1;0;6570310;1318;402;0;0;0;0;0;14577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14575;2;0;0;0;0;10;2;0;0;2;6;271;10;0;2;6;0;0;2;0;6570310;1318;402;0;0;0;0;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1076
BU03631001;BU03631001;Alfa-driehoek;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1736;48;2220;144022;62814;False;4;2;1;0;0;2;129;4;0;1;2;0;0;1;0;1090608;800;491;0;0;0;0;0;1736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1736;0;0;0;0;0;22;7;0;0;4;11;373;22;0;5;13;0;0;4;0;1090608;800;491;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1077
BU03631100;BU03631100;Sloterdijk II;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;8;80;749;688;96293;False;0;0;0;0;0;0;4;0;0;2;14;7;0;-22;0;629048;368;840;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;8;0;0;0;0;102;28;1;0;18;56;462;102;0;18;63;7;0;14;0;629048;368;840;0;0;0;18;0;62;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;1084
BU03631105;BU03631105;Teleport;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;4275;441;9163;334868;635339;False;11;5;2;0;0;4;692;11;0;5;19;14;0;-28;0;3875543;290;423;0;0;0;339;0;1881;0;0;0;0;0;0;0;0;0;0;339;0;0;0;0;4215;60;0;0;0;0;53;16;1;0;10;26;1742;53;0;9;30;14;0;-1;0;3875543;290;423;0;0;0;247;0;194;0;0;0;0;0;0;0;0;0;0;247;0;0;0;0;1088
BU03631200;BU03631200;Houthavens West;WK036312;Houthavens;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1265;60;1751;131503;63140;False;19;8;6;0;0;6;780;19;0;9;10;3;0;-2;0;678718;342;388;0;0;0;190;0;1075;0;0;0;0;0;0;0;0;0;0;190;0;0;0;0;1264;1;0;0;0;0;21;4;0;0;4;12;254;21;0;4;14;3;0;0;0;678718;342;388;0;0;0;9;0;51;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;1091
BU03631305;BU03631305;Spaarndammerbuurt Noordwest;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1074;6;1158;71680;10897;False;27;12;7;0;0;8;1857;27;0;12;11;0;0;4;0;900824;474;778;0;0;0;0;0;1074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;998;0;0;0;0;6;2;0;0;2;1;267;6;0;2;2;0;0;2;0;900824;474;778;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1098
BU03631306;BU03631306;Westergasfabriek;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;0;39;164;0;21269;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147439;264;901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;19;2;0;25;36;147;82;0;17;44;0;0;21;0;147439;264;901;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1099
BU03631307;BU03631307;Overbraker Binnenpolder;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1237;8;1365;102894;16611;False;23;10;3;0;0;9;295;23;0;7;11;3;0;3;0;538764;410;395;0;0;0;1;0;1039;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1233;4;0;0;0;0;8;1;0;0;2;5;21;8;0;1;6;3;0;-2;0;538764;410;395;0;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1100
BU03633600;BU03633600;Woon- en Groengebied Sloterdijk;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;226;14;650;17195;55018;False;10;5;2;0;0;3;83;10;0;4;4;0;0;2;0;536505;451;826;0;0;0;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;225;0;0;0;0;64;17;1;0;15;32;219;64;0;13;37;0;0;14;0;536505;451;826;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1185
BU03633601;BU03633601;Bedrijventerrein Sloterdijk I;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;5534;91;6952;459533;184233;False;20;9;3;0;0;8;1218;20;0;6;10;0;0;4;0;2967855;299;427;0;0;0;0;0;5534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5522;12;0;0;0;0;19;5;0;0;3;10;518;19;0;4;11;0;0;3;0;2967855;299;427;0;0;0;0;0;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1186
BU03636601;BU03636601;Oostzanerdijk;WK036366;Oostzanerwerf;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;241;46;333;21368;11856;False;24;12;5;0;0;7;127;24;0;9;10;0;0;5;0;248649;410;748;0;0;0;0;0;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;118;0;0;0;0;20;6;0;0;5;9;47;20;0;5;11;0;0;5;0;248649;410;748;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1315
BU03636602;BU03636602;Walvisbuurt;WK036366;Oostzanerwerf;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;973;7;1006;88503;4187;False;20;10;4;0;0;5;299;20;0;8;8;0;0;4;0;555015;554;552;0;0;0;0;0;973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;512;461;0;0;0;0;3;1;0;0;1;2;16;3;0;1;2;0;0;1;0;555015;554;552;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1316
