BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_Vraag_totaal;H02_Vraag_Ruimteverwarming;H03_Vraag_Tapwater;H04_Vraag_Ventilatie;H05_Vraag_Koude;H06_Vraag_Apparaten;H07_Vraag_perhectare;H08_Input_totaal;H09_Input_aardgas;H10_Input_duurzaamgas;H11_Input_elektriciteit;H12_Input_MTwarmte;H13_Input_LTwarmte;H14_Saldo_Omgevingswarmte;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;H19_waarde_hernieuwbaar_gas;A01_Aansl_aardgas;A02_Aansl_eWP;A03_Aansl_MT;A04_Aansl_LT;A05_Aansl_hWP_HG;A06_Aansl_HR_HG;A10_Aansl_LT_WKO;A11_Aansl_LT_LT15_30;A12_Aansl_LT_LT15_50;A13_Aansl_LT_LT15_70;A14_Aansl_LT_LT30_30;A15_Aansl_LT_LT30_50;A16_Aansl_LT_LT30_70;A17_Aansl_LT_TEO;A18_Aansl_LT_BuurtWKO;A19_Aansl_MT_Restwarmte;A20_Aansl_MT_Geothermie;A21_Aansl_MT_WijkWKK;A22_Aansl_MT_BioWKK;A23_Aansl_H2;nr_OrgEntity
BU03631000;BU03631000;Coenhaven/Mercuriushaven;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;4;229;1789;False;90;22;1;0;15;53;286;90;0;21;62;0;0;8;0;1048892;403;586;0;0;0;0;0;0;233;0;0;0;0;0;0;0;0;0;0;0;0;0;233;126
BU03631001;BU03631001;Alfa-driehoek;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;2;48;486;False;100;32;1;0;16;51;394;100;0;30;61;0;0;9;0;440448;423;908;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;50;127
BU03631105;BU03631105;Teleport;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;605;441;5493;False;90;28;2;0;15;45;1937;90;0;17;52;18;0;3;0;3140221;307;572;0;0;0;586;0;0;460;0;0;0;0;0;0;0;0;0;586;0;0;0;460;138
BU03631306;BU03631306;Westergasfabriek;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;0;39;164;False;81;20;2;0;22;36;154;81;0;21;50;0;0;10;0;141432;253;864;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;39;149
BU03631307;BU03631307;Overbraker Binnenpolder;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;5;8;133;False;82;11;1;0;16;54;25;82;0;10;63;2;0;7;0;141161;820;1063;0;0;0;2;0;0;11;0;0;0;0;0;0;0;0;0;2;0;0;0;11;150
BU03633600;BU03633600;Woon- en Groengebied Sloterdijk;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;226;14;650;False;73;22;3;0;13;35;316;73;0;25;43;0;0;6;0;584146;491;900;0;0;0;0;0;0;240;0;0;0;0;0;0;0;0;0;0;0;0;0;240;235
BU03633601;BU03633601;Bedrijventerrein Sloterdijk I;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;14;91;1432;False;90;25;1;0;15;49;551;90;0;24;58;0;0;8;0;1237358;257;865;0;0;0;0;0;0;105;0;0;0;0;0;0;0;0;0;0;0;0;0;105;236
BU03636601;BU03636601;Oostzanerdijk;WK036366;Oostzanerwerf;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;134;46;226;False;54;23;6;0;6;19;145;54;0;29;24;0;0;2;0;234380;462;1041;0;0;0;0;0;0;180;0;0;0;0;0;0;0;0;0;0;0;0;0;180;365
BU03636602;BU03636602;Walvisbuurt;WK036366;Oostzanerwerf;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;546;7;579;False;41;20;7;0;1;13;327;41;0;29;14;0;0;-1;0;473643;473;819;0;0;0;0;0;0;553;0;0;0;0;0;0;0;0;0;0;0;0;0;553;366
BU03636604;BU03636604;Noorder IJplas;WK036366;Oostzanerwerf;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;2;1;3;False;56;27;8;1;3;18;1;56;0;36;21;0;0;-1;0;2767;470;1153;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;368
BU03637104;BU03637104;Cornelis Douwesterrein;WK036371;Noordelijke IJ-oevers West;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;0;59;613;False;89;22;1;0;13;52;154;89;0;21;60;0;0;7;0;306979;353;501;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;59;392
