bron_naam;bron_id;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
Newasco Van Houten B V   HEEMSTEDE;21;4.62949;52.3463;1999;1999;2;0.7;0.3;30;50;250;0;0.704069147;LT
Lamme Textielbeheer BV  NEDERHORST DEN BERG;41;5.04662;52.2731;1999;1999;2;0.7;0.3;30;50;250;0;0.0251507368;LT
Martinez Chocolade BV;151;4.83918;52.2807;1999;1999;24;0.7;0.3;30;50;250;0;0.0615142105;LT
Brouwerij  t IJ BV;152;4.92647;52.3667;1999;1999;24;0.7;0.3;30;50;250;0;0.104758487;LT
Cargill BV;153;4.76966;52.411;1999;1999;24;0.7;0.3;30;50;250;0;0.00135050329;LT
Dutch Cocoa BV;154;4.75981;52.4095;1999;1999;24;0.7;0.3;30;50;250;0;0.00620611513;LT
Expalkan V  BV;155;4.91842;52.3773;1999;1999;24;0.7;0.3;30;50;250;0;0.214827237;LT
Green Egg BV;156;4.90097;52.3798;1999;1999;24;0.7;0.3;30;50;250;0;0.188196283;LT
Heartland Sweeteners Europe BV;157;4.75425;52.4036;1999;1999;24;0.7;0.3;30;50;250;0;0.00642094079;LT
Klas Doner Production BV;158;4.89457;52.3824;1999;1999;24;0.7;0.3;30;50;250;0;0.0950195296;LT
Lovechock BV;159;4.90411;52.3909;1999;1999;24;0.7;0.3;30;50;250;0;0.106371405;LT
Marleen Kookt BV;160;4.87555;52.3798;1999;1999;24;0.7;0.3;30;50;250;0;0.135803319;LT
Udkvm BV;161;4.78026;52.3905;1999;1999;24;0.7;0.3;30;50;250;0;0.00336447697;LT
Winclove BV;162;4.90797;52.3967;1999;1999;24;0.7;0.3;30;50;250;0;0.0509706678;LT
Chocoladefabriek     De Beemster     BV;185;4.90261;52.5534;1999;1999;24;0.7;0.3;30;50;250;0;0.0376254112;LT
Co1peratieve Zuivelonderneming Cono BA;186;4.87435;52.5567;1999;1999;24;0.7;0.3;30;50;250;0;0.0104382928;LT
A F  Stam BV;267;4.95607;52.3409;1999;1999;24;0.7;0.3;30;50;250;0;0.0245159934;LT
Freek Schilder Vissnacks BV;278;5.08077;52.5069;1999;1999;24;0.7;0.3;30;50;250;0;0.00577134211;LT
Platvis Holland BV;279;5.03914;52.5156;1999;1999;24;0.7;0.3;30;50;250;0;8.52664474E-05;LT
Smilde Bakery BV;280;5.04057;52.5157;1999;1999;24;0.7;0.3;30;50;250;0;0.00436171382;LT
Holland Paling BV;331;4.68165;52.4135;1999;1999;24;0.7;0.3;30;50;250;0;0.00807165789;LT
Otelli BV;332;4.66363;52.3989;1999;1999;24;0.7;0.3;30;50;250;0;0.00336200329;LT
A L  Hoogesteger Fresh Specialist BV;333;4.7384;52.3799;1999;1999;24;0.7;0.3;30;50;250;0;0.0103694243;LT
Cargill Meats Holland BV;334;4.74911;52.3035;1999;1999;24;0.7;0.3;30;50;250;0;0.0665599079;LT
Gepo Vleeswaren BV;335;4.63473;52.254;1999;1999;24;0.7;0.3;30;50;250;0;0.00311736184;LT
Kaaskeuken BV;336;4.62661;52.2546;1999;1999;24;0.7;0.3;30;50;250;0;0.00802208882;LT
Mccain Foods Holland BV;337;4.7118;52.2917;1999;1999;24;0.7;0.3;30;50;250;0;0.431054089;LT
Solina Netherlands BV;338;4.64693;52.2689;1999;1999;24;0.7;0.3;30;50;250;0;0.0214999901;LT
Van Maanen Verkoop BV;351;4.62084;52.3539;1999;1999;24;0.7;0.3;30;50;250;0;0.0731539309;LT
Jan Veerman Vis BV;392;5.24473;52.3061;1999;1999;24;0.7;0.3;30;50;250;0;0.00232772697;LT
Adriaan Goede BV;411;4.90722;52.4239;1999;1999;24;0.7;0.3;30;50;250;0;0.0251450395;LT
Royaan BV;501;4.8635;52.4328;1999;1999;24;0.7;0.3;30;50;250;0;0.0217296382;LT
Van der Zee Vlees BV;514;4.9278;52.3282;1999;1999;24;0.7;0.3;30;50;250;0;0.0453366678;LT
Hesseling Vlees BV;518;4.99724;52.5219;1999;1999;24;0.7;0.3;30;50;250;0;0.0145327171;LT
Uitsnijderij Dao BV;519;4.988;52.5024;1999;1999;24;0.7;0.3;30;50;250;0;0.00920215461;LT
Bakels senior NV;657;5.02707;52.3147;1999;1999;24;0.7;0.3;30;50;250;0;0.0108575197;LT
Bracamonte Daily Foods BV;658;5.02209;52.3139;1999;1999;24;0.7;0.3;30;50;250;0;0.00514875;LT
Gruma Netherlands BV;659;5.02308;52.3174;1999;1999;24;0.7;0.3;30;50;250;0;0.00104105592;LT
Adm Cocoa BV;678;4.80651;52.4885;1999;1999;24;0.7;0.3;30;50;250;0;0.055400375;LT
Cargill BV;679;4.79552;52.4966;1999;1999;24;0.7;0.3;30;50;250;0;0.004912375;LT
Aak Netherlands BV;680;4.80723;52.4773;1999;1999;24;0.7;0.3;30;50;250;0;0.0391291118;LT
Ayal Kaas BV;681;4.81277;52.4293;1999;1999;24;0.7;0.3;30;50;250;0;0.00932484539;LT
Bonbonatelier N  Limmen BV;682;4.80128;52.4295;1999;1999;24;0.7;0.3;30;50;250;0;0.00153728947;LT
Cargill BV;683;4.81653;52.4638;1999;1999;24;0.7;0.3;30;50;250;0;0.00350953947;LT
Danisco Zaandam BV;684;4.82222;52.4472;1999;1999;24;0.7;0.3;30;50;250;0;0.0300724441;LT
DP Zaandam BV;685;4.82799;52.4392;1999;1999;24;0.7;0.3;30;50;250;0;0.00870446711;LT
Duyvis Production BV;686;4.81639;52.4702;1999;1999;24;0.7;0.3;30;50;250;0;0.00529522697;LT
Frites uit Zuyd BV;687;4.83082;52.4206;1999;1999;24;0.7;0.3;30;50;250;0;0.0179042237;LT
Hansel Salades en Sauzen BV;688;4.84776;52.4188;1999;1999;24;0.7;0.3;30;50;250;0;0;LT
Ioi Loders Croklaan Oils BV;689;4.8093;52.4842;1999;1999;24;0.7;0.3;30;50;250;0;0.0014895;LT
Jan Schoemaker BV;690;4.82672;52.4716;1999;1999;24;0.7;0.3;30;50;250;0;0.0150426546;LT
Loders Croklaan BV;691;4.8093;52.4842;1999;1999;24;0.7;0.3;30;50;250;0;0.0014895;LT
Meneba Wormerveer BV;692;4.79303;52.5021;1999;1999;24;0.7;0.3;30;50;250;0;0.0139795395;LT
Stepan Specialty Products BV;693;4.80821;52.4679;1999;1999;24;0.7;0.3;30;50;250;0;0.0182906184;LT
Tate   Lyle Netherlands BV;694;4.81243;52.4655;1999;1999;24;0.7;0.3;30;50;250;0;0.0175798882;LT
Twincon BV;695;4.80763;52.4701;1999;1999;24;0.7;0.3;30;50;250;0;0.0373560395;LT
Vers Vlees voor Hond en Kat Lotgering BV;696;4.81572;52.4569;1999;1999;24;0.7;0.3;30;50;250;0;0.0550698586;LT
Albert Heijn BV;1278;4.74648;52.2682;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.69982242;LT
Albert Heijn BV;1279;4.79481;52.2746;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.3516512;LT
Hoogvliet BV;1280;4.76466;52.2533;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.14550098;LT
Hoogvliet BV;1281;4.78773;52.2783;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0.398937927;LT
Zaal Supermarkten BV;1282;4.76243;52.2644;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.0070159;LT
Albert Heijn BV;1388;4.86013;52.3033;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.03463567;LT
Albert Heijn BV;1389;4.8395;52.2889;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.91948696;LT
Albert Heijn BV;1390;4.86997;52.2888;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00173731;LT
Albert Heijn BV;1391;4.82651;52.2819;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0604334;LT
Albert Heijn BV;1392;4.86604;52.318;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.18663469;LT
Albert Heijn BV;1393;4.87535;52.312;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.16759675;LT
Albert Heijn BV;1394;4.85149;52.2813;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00253475;LT
Coop Supermarkten BV;1395;4.86227;52.2796;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00253475;LT
Deen Winkels BV;1396;4.87486;52.3021;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.03463567;LT
Jumbo Supermarkten BV;1397;4.86924;52.289;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00173731;LT
LIDL Nederland GmbH;1398;4.84756;52.3116;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Van der Linden Supermarkt BV;1399;4.84634;52.3071;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1400;4.85529;52.3641;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00358023;LT
