BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nrAansl_gas;nrAansl_mWKK;nrAansl_eWP;nrAansl_HWP;nrAansl_EWV;nrAansl_RestWarmte;nrAansl_GeoThermie;nrAansl_WijkWKK;nrAansl_BioWKK;nrAansl_WKO;nrAansl_Lt15_30;nrAansl_Lt15_50;nrAansl_Lt15_70;nrAansl_Lt30_30;nrAansl_Lt30_50;nrAansl_Lt30_70;nrAansl_TEO;nr_OrgEntity
BU01640000;BU01640000;Binnenstad-Centrum;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;684;402;1961;False;5;0;0;5;0;0;405;2;47;5347;5727910;1788702;335;912;0;0;1086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1067
BU01640001;BU01640001;Binnenstad-West;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;476;111;913;False;7;0;0;7;0;0;336;2;38;2604;2346250;769932;296;843;0;0;587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1068
BU01640002;BU01640002;Binnenstad-Oost;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;563;115;789;False;8;0;0;8;0;0;246;2;30;2309;2058683;842233;365;1068;0;0;678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1069
BU01640100;BU01640100;Hengelose Es-Noord;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1719;318;1895;False;8;0;0;8;0;0;169;2;22;4355;3921102;1653879;380;873;0;0;2037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1070
BU01640101;BU01640101;Tichelwerk;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1819;285;2422;False;8;0;0;8;0;0;305;2;25;6951;5894004;2699558;388;1115;0;0;2104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1071
BU01640102;BU01640102;t Wilbert;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1399;104;1511;False;10;0;0;10;0;0;257;2;22;4511;3723730;1784012;396;1181;0;0;1503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1072
BU01640103;BU01640103;Bedrijventerrein Timmersveld;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;28;22;172;False;5;0;0;5;0;0;47;2;59;491;668848;208895;425;1219;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1073
BU01640200;BU01640200;Noord;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;2038;416;2230;False;8;0;0;8;0;0;244;2;22;5504;4665409;2055549;373;922;0;0;2454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1074
BU01640201;BU01640201;Elsbeek;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;918;114;1072;False;10;0;0;10;0;0;278;2;26;3263;2748529;1250182;383;1167;0;0;1032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1075
BU01640202;BU01640202;De Noork;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;1184;151;1273;False;8;0;0;8;0;0;291;2;21;3172;2693726;1226505;387;964;0;0;1335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1076
BU01640203;BU01640203;Klein Driene;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;854;106;893;False;7;0;0;7;0;0;292;2;18;1623;1487302;674518;416;756;0;0;960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1077
BU01640204;BU01640204;t Rot;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;41;9;65;False;9;0;0;9;0;0;8;3;31;177;204264;49096;277;758;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1078
BU01640300;BU01640300;Bovenhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;926;10;954;False;9;0;0;9;0;0;158;2;20;2299;1884978;814067;354;853;0;0;936;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1079
BU01640301;BU01640301;Schothorsthoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;277;10;312;False;11;0;0;11;0;0;74;2;25;1052;819572;316256;301;1016;0;0;287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1080
BU01640302;BU01640302;Bartelinkshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;559;8;566;False;8;0;0;8;0;0;87;2;19;1367;1070558;465510;341;824;0;0;567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1081
BU01640303;BU01640303;Tijertshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;497;6;508;False;8;0;0;8;0;0;228;2;19;1223;974756;424637;347;836;0;0;503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1082
BU01640304;BU01640304;Sogtoenhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;725;58;891;False;7;0;0;7;0;0;273;2;27;1965;1902448;784618;399;881;0;0;783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1083
BU01640305;BU01640305;Bruninkshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;453;3;454;False;9;0;0;9;0;0;218;2;20;1177;916321;391058;332;863;0;0;456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1084
BU01640306;BU01640306;Middelhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;634;10;638;False;9;0;0;9;0;0;126;2;21;1712;1304836;548499;320;860;0;0;644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1085
BU01640307;BU01640307;Molendijkhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;687;17;718;False;9;0;0;9;0;0;215;2;21;1881;1515383;660105;351;920;0;0;704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1086
BU01640308;BU01640308;Weijinkshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;497;3;498;False;8;0;0;8;0;0;180;1;19;1196;952666;413721;346;832;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1087
BU01640309;BU01640309;Oosterveld;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;34;38;131;False;6;0;0;6;0;0;15;3;44;288;414111;104884;365;801;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1088
BU01640400;BU01640400;Zwavertshoek;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;531;145;567;False;8;0;0;8;0;0;169;3;22;1445;1301703;592986;410;1046;0;0;676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1089
BU01640401;BU01640401;Anninks-/Nijhofshoek;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;1101;258;1458;False;8;0;0;8;0;0;165;2;27;3960;3585796;1543195;390;1059;0;0;1359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1090
BU01640402;BU01640402;Groot Driene-Zuid;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;1064;97;1152;False;9;0;0;9;0;0;174;2;23;3383;2756228;1133686;335;985;0;0;1161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1091
BU01640403;BU01640403;Groot Driene-Noord;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;1640;342;2050;False;7;0;0;7;0;0;181;2;22;4827;4576850;2139861;443;1044;0;0;1982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1092
BU01640500;BU01640500;Bedrijventerrein Twentekanaal-Zuid II;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;2;8;81;False;4;0;0;4;0;0;6;1;31;136;224507;61707;454;768;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1093
BU01640501;BU01640501;Berflo Es Noord;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;1915;152;2181;False;8;0;0;8;0;0;256;2;22;5103;4430849;1922138;377;882;0;0;2067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1094
BU01640502;BU01640502;Berflo Es Zuid;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;721;92;772;False;9;0;0;9;0;0;249;2;22;2127;1695464;741414;349;960;0;0;813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1095
BU01640503;BU01640503;Bedrijventerrein Twentekanaal-Noord II;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;26;33;198;False;4;0;0;4;0;0;24;1;21;334;413746;165590;495;839;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1096
BU01640504;BU01640504;Veldwijk-Noord;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;520;39;602;False;7;0;0;7;0;0;154;1;20;1079;1121264;515496;478;857;0;0;559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1097
BU01640505;BU01640505;Veldwijk-Zuid;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;476;34;588;False;8;0;0;8;0;0;67;2;25;1574;1367060;530984;337;904;0;0;510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1098
BU01640506;BU01640506;Boeldershoek;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;7;4;13;False;10;0;0;10;0;0;1;5;45;62;82015;12827;206;1047;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1099
BU01640600;BU01640600;Bedrijventerrein Twentekanaal-Zuid I;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;26;122;1106;False;3;0;0;3;0;0;16;1;30;1706;2738911;1050975;616;950;0;0;148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1100
BU01640601;BU01640601;Tuindorp t Lansink;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;955;157;2288;False;7;0;0;7;0;0;267;1;29;6294;6030903;2817467;448;1232;0;0;1112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1101
BU01640602;BU01640602;Tuindorp-Zuid;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;1499;209;1701;False;8;0;0;8;0;0;243;2;24;4900;4004060;1724957;352;1014;0;0;1708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1102
BU01640603;BU01640603;Bedrijventerrein Twentekanaal-Noord I;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;11;46;151;False;4;0;0;4;0;0;16;3;39;390;545101;143677;368;952;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1103
BU01640604;BU01640604;Nijverheid;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;2265;253;2420;False;9;0;0;9;0;0;171;2;22;6523;5438312;2402327;368;993;0;0;2518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1104
BU01640605;BU01640605;Vikkerhoek;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;338;68;372;False;10;0;0;10;0;0;71;3;25;1130;975209;395776;350;1065;0;0;406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1105
