BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H19_Waarde_hernieuwbaar_gas;Woning_H21_CapaciteitsvraagE;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H19_Waarde_hernieuwbaar_gas;Util_H21_CapaciteitsvraagE;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;Util_A30_Aansl_LabelA;Util_A31_Aansl_LabelB;Util_A32_Aansl_LabelC;Util_A33_Aansl_LabelD;Util_A34_Aansl_LabelE;Util_A35_Aansl_LabelF;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;nr_OrgEntity
BU01640000;BU01640000;Binnenstad-Centrum;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;686;402;1923;65994;160794;False;23071;12078;4744;303;0;5946;695;23071;31226;0;6912;48187;0;-63253;0;1029;0;0;686;0;0;0;0;0;0;0;0;0;0;0;0;686;0;0;0;0;24;660;0;0;0;0;115035;25374;1634;0;18247;69780;1116;115035;39692;0;76073;48187;0;-48917;0;4583;0;0;402;0;0;0;0;0;0;0;0;0;0;0;0;402;0;0;0;0;0;402;0;0;0;0;3393;0;0;0;221
BU01640001;BU01640001;Binnenstad-West;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;476;111;914;47711;56820;False;19255;10917;3769;262;0;4307;773;19255;24083;0;5023;30898;0;-40749;0;714;0;0;476;0;0;0;0;0;0;0;0;0;0;0;0;476;0;0;0;0;21;455;0;0;0;0;43203;12979;444;0;6992;22788;707;43203;21448;0;25349;30898;0;-34491;0;1619;0;0;111;0;0;0;0;0;0;0;0;0;0;0;0;111;0;0;0;0;0;111;0;0;0;0;2145;0;0;0;222
BU01640002;BU01640002;Binnenstad-Oost;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;572;116;793;72890;28684;False;24644;14521;4495;393;0;5234;742;24644;27237;0;6108;26017;0;-34718;0;858;0;0;572;0;0;0;0;0;0;0;0;0;0;0;0;572;0;0;0;0;22;547;0;0;0;0;17315;4544;163;0;2303;10304;184;17315;11627;0;11314;26017;0;-31643;0;817;0;0;116;0;0;0;0;0;0;0;0;0;0;0;0;116;0;0;0;0;0;116;0;0;0;0;1814;0;0;0;223
BU01640100;BU01640100;Hengelose Es-Noord;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1727;318;1902;191115;22717;False;67099;37877;12462;714;0;16045;563;67099;69724;0;17999;59184;0;-79808;0;2591;0;0;1727;0;0;0;0;0;0;0;0;0;0;0;0;1727;0;0;0;0;261;1396;0;0;0;0;13842;3455;276;0;2181;7930;42;13842;19702;0;9172;59184;0;-74215;0;647;0;0;318;0;0;0;0;0;0;0;0;0;0;0;0;318;0;0;0;0;0;318;0;0;0;0;4157;0;0;0;224
BU01640101;BU01640101;Tichelwerk;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1854;285;2461;196599;78842;False;74309;41317;14904;993;0;17094;886;74309;80423;0;19478;73981;0;-99574;0;2781;0;0;1854;0;0;0;0;0;0;0;0;0;0;0;0;1854;0;0;0;0;67;1722;0;0;0;0;37364;10715;634;0;5185;20830;179;37364;31178;0;23277;73981;0;-91071;0;2247;0;0;285;0;0;0;0;0;0;0;0;0;0;0;0;285;0;0;0;0;0;285;0;0;0;0;5207;0;0;0;225
BU01640102;BU01640102;t Wilbert;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1411;103;1520;156467;14102;False;64237;36846;12366;1115;0;13910;837;64237;67738;0;16149;55997;0;-75648;0;2117;0;0;1411;0;0;0;0;0;0;0;0;0;0;0;0;1411;0;0;0;0;10;1401;0;0;0;0;5980;1844;124;0;834;3178;33;5980;17080;0;3970;55997;0;-71067;0;402;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;103;0;0;0;0;0;103;0;0;0;0;3945;0;0;0;226
BU01640103;BU01640103;Bedrijventerrein Timmersveld;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;28;22;172;4614;18663;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;227
BU01640200;BU01640200;Noord;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;2044;415;2234;202177;24700;False;78264;42243;15996;1213;0;18813;796;78264;81040;0;21398;67360;0;-91533;0;3066;0;0;2044;0;0;0;0;0;0;0;0;0;0;0;0;2044;0;0;0;0;319;1712;0;0;0;0;15706;3140;246;0;2525;9796;46;15706;21566;0;11212;67360;0;-84431;0;704;0;0;415;0;0;0;0;0;0;0;0;0;0;0;0;415;0;0;0;0;0;415;0;0;0;0;4786;0;0;0;228
BU01640201;BU01640201;Elsbeek;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;919;114;1075;120636;20232;False;43495;25849;8097;722;0;8827;882;43495;46919;0;10340;40027;0;-53790;0;1379;0;0;919;0;0;0;0;0;0;0;0;0;0;0;0;919;0;0;0;0;43;867;0;0;0;0;10518;2477;127;0;1038;6876;68;10518;13376;0;7601;40027;0;-50486;0;577;0;0;114;0;0;0;0;0;0;0;0;0;0;0;0;114;0;0;0;0;0;114;0;0;0;0;2803;0;0;0;229
BU01640202;BU01640202;De Noork;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;1184;151;1274;105647;11597;False;44220;23536;9154;694;0;10836;933;44220;45420;0;12280;37278;0;-50758;0;1776;0;0;1184;0;0;0;0;0;0;0;0;0;0;0;0;1184;0;0;0;0;8;1156;0;0;0;0;6951;1319;108;0;1121;4403;41;6951;11493;0;5099;37278;0;-46919;0;331;0;0;151;0;0;0;0;0;0;0;0;0;0;0;0;151;0;0;0;0;0;151;0;0;0;0;2654;0;0;0;230
