BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nrAansl_gas;nrAansl_mWKK;nrAansl_eWP;nrAansl_HWP;nrAansl_EWV;nrAansl_RestWarmte;nrAansl_GeoThermie;nrAansl_WijkWKK;nrAansl_BioWKK;nrAansl_WKO;nrAansl_Lt15_30;nrAansl_Lt15_50;nrAansl_Lt15_70;nrAansl_Lt30_30;nrAansl_Lt30_50;nrAansl_Lt30_70;nrAansl_TEO;nr_OrgEntity
BU01640000;BU01640000;Binnenstad-Centrum;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;684;402;1961;False;31;0;12;-5;24;0;2511;2;36;5347;6734621;2795413;523;1426;0;0;0;0;0;0;0;0;1086;0;0;0;0;0;0;0;0;1067
BU01640001;BU01640001;Binnenstad-West;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;476;111;913;False;39;0;13;-6;32;0;1874;2;25;2604;3050622;1474304;566;1615;0;0;0;0;0;0;0;0;587;0;0;0;0;0;0;0;0;1068
BU01640002;BU01640002;Binnenstad-Oost;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;563;115;789;False;37;0;13;-6;30;0;1139;2;15;2309;2644760;1428310;619;1811;0;0;0;0;0;0;0;0;678;0;0;0;0;0;0;0;0;1069
BU01640100;BU01640100;Hengelose Es-Noord;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1719;318;1895;False;34;0;10;-4;28;0;720;2;9;4355;5347683;3080460;707;1626;0;0;0;0;0;0;0;0;2037;0;0;0;0;0;0;0;0;1070
BU01640101;BU01640101;Tichelwerk;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1819;285;2422;False;35;0;12;-5;28;0;1335;2;11;6951;7456444;4261998;613;1760;0;0;0;0;0;0;0;0;2104;0;0;0;0;0;0;0;0;1071
BU01640102;BU01640102;t Wilbert;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1399;104;1511;False;41;0;13;-6;34;0;1053;2;6;4511;4989472;3049754;676;2019;0;0;0;0;0;0;0;0;1503;0;0;0;0;0;0;0;0;1072
BU01640103;BU01640103;Bedrijventerrein Timmersveld;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;28;22;172;False;31;0;13;-6;24;0;294;2;48;491;785204;325251;662;1898;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;1073
BU01640200;BU01640200;Noord;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;2038;416;2230;False;35;0;11;-5;29;0;1067;2;9;5504;6332200;3722340;676;1669;0;0;0;0;0;0;0;0;2454;0;0;0;0;0;0;0;0;1074
BU01640201;BU01640201;Elsbeek;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;918;114;1072;False;41;0;13;-6;34;0;1141;2;9;3263;3570016;2071669;635;1934;0;0;0;0;0;0;0;0;1032;0;0;0;0;0;0;0;0;1075
BU01640202;BU01640202;De Noork;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;1184;151;1273;False;34;0;11;-5;28;0;1235;2;8;3172;3615556;2148335;677;1689;0;0;0;0;0;0;0;0;1335;0;0;0;0;0;0;0;0;1076
BU01640203;BU01640203;Klein Driene;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;854;106;893;False;28;0;7;-3;24;0;1169;2;7;1623;2032675;1219891;752;1367;0;0;0;0;0;0;0;0;960;0;0;0;0;0;0;0;0;1077
BU01640204;BU01640204;t Rot;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;41;9;65;False;46;0;12;-5;39;0;39;3;15;177;308483;153315;866;2368;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;1078
BU01640300;BU01640300;Bovenhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;926;10;954;False;36;0;10;-5;31;0;633;2;6;2299;2615481;1544570;672;1619;0;0;0;0;0;0;0;0;936;0;0;0;0;0;0;0;0;1079
BU01640301;BU01640301;Schothorsthoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;277;10;312;False;53;0;15;-6;44;0;355;2;5;1052;1206513;703197;669;2258;0;0;0;0;0;0;0;0;287;0;0;0;0;0;0;0;0;1080
