BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H19_Waarde_hernieuwbaar_gas;Woning_H21_CapaciteitsvraagE;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H19_Waarde_hernieuwbaar_gas;Util_H21_CapaciteitsvraagE;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;Util_A30_Aansl_LabelA;Util_A31_Aansl_LabelB;Util_A32_Aansl_LabelC;Util_A33_Aansl_LabelD;Util_A34_Aansl_LabelE;Util_A35_Aansl_LabelF;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;nr_OrgEntity
BU01640000;BU01640000;Binnenstad-Centrum;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;686;402;1923;65994;160794;False;25249;14555;4744;4;0;5946;798;25249;34349;0;6637;50930;0;-66667;0;1029;0;0;686;0;0;0;0;0;0;0;0;0;0;0;0;686;0;0;0;0;24;40;116;416;0;0;115035;25374;1634;0;18247;69780;1116;115035;40433;0;76098;50930;0;-52425;0;4583;0;0;402;0;0;0;0;0;0;0;0;0;0;0;0;402;0;0;0;0;0;402;0;0;0;0;3560;0;0;0;221
BU01640001;BU01640001;Binnenstad-West;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;476;111;914;47711;56820;False;20974;12894;3769;5;0;4307;877;20974;26575;0;4786;33086;0;-43473;0;714;0;0;476;0;0;0;0;0;0;0;0;0;0;0;0;476;0;0;0;0;21;29;11;380;0;0;43203;12979;444;0;6992;22788;707;43203;22040;0;25368;33086;0;-37291;0;1619;0;0;111;0;0;0;0;0;0;0;0;0;0;0;0;111;0;0;0;0;0;111;0;0;0;0;2278;0;0;0;222
BU01640002;BU01640002;Binnenstad-Oost;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;572;116;793;72890;28684;False;26790;17054;4495;7;0;5234;841;26790;30430;0;5747;28821;0;-38208;0;858;0;0;572;0;0;0;0;0;0;0;0;0;0;0;0;572;0;0;0;0;22;12;21;390;0;0;17315;4544;163;0;2303;10304;184;17315;12385;0;11339;28821;0;-35230;0;817;0;0;116;0;0;0;0;0;0;0;0;0;0;0;0;116;0;0;0;0;0;116;0;0;0;0;1983;0;0;0;223
BU01640100;BU01640100;Hengelose Es-Noord;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1727;318;1902;191115;22717;False;71969;43411;12462;51;0;16045;625;71969;76700;0;17391;65310;0;-87432;0;2591;0;0;1727;0;0;0;0;0;0;0;0;0;0;0;0;1727;0;0;0;0;261;55;125;924;0;0;13842;3455;276;0;2181;7930;42;13842;21357;0;9228;65310;0;-82053;0;647;0;0;318;0;0;0;0;0;0;0;0;0;0;0;0;318;0;0;0;0;0;318;0;0;0;0;4531;0;0;0;224
BU01640101;BU01640101;Tichelwerk;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1854;285;2461;196599;78842;False;80109;48085;14904;26;0;17094;992;80109;88956;0;18579;81473;0;-108899;0;2781;0;0;1854;0;0;0;0;0;0;0;0;0;0;0;0;1854;0;0;0;0;67;183;199;1268;0;0;37364;10715;634;0;5185;20830;179;37364;33203;0;23344;81473;0;-100656;0;2247;0;0;285;0;0;0;0;0;0;0;0;0;0;0;0;285;0;0;0;0;0;285;0;0;0;0;5660;0;0;0;225
BU01640102;BU01640102;t Wilbert;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1411;103;1520;156467;14102;False;69241;42957;12366;9;0;13910;941;69241;75442;0;15104;62762;0;-84067;0;2117;0;0;1411;0;0;0;0;0;0;0;0;0;0;0;0;1411;0;0;0;0;10;9;141;1239;0;0;5980;1844;124;0;834;3178;33;5980;18908;0;4031;62762;0;-79721;0;402;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;103;0;0;0;0;0;103;0;0;0;0;4349;0;0;0;226
BU01640103;BU01640103;Bedrijventerrein Timmersveld;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;28;22;172;4614;18663;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;227
BU01640200;BU01640200;Noord;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;2044;415;2234;202177;24700;False;85507;50591;15996;107;0;18813;910;85507;91566;0;20375;76603;0;-103037;0;3066;0;0;2044;0;0;0;0;0;0;0;0;0;0;0;0;2044;0;0;0;0;319;51;113;1385;0;0;15706;3140;246;0;2525;9796;46;15706;24064;0;11295;76603;0;-96256;0;704;0;0;415;0;0;0;0;0;0;0;0;0;0;0;0;415;0;0;0;0;0;415;0;0;0;0;5348;0;0;0;228
BU01640201;BU01640201;Elsbeek;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;919;114;1075;120636;20232;False;46957;30026;8097;7;0;8827;990;46957;52185;0;9666;44652;0;-59546;0;1379;0;0;919;0;0;0;0;0;0;0;0;0;0;0;0;919;0;0;0;0;43;13;40;720;0;0;10518;2477;127;0;1038;6876;68;10518;14626;0;7643;44652;0;-56403;0;577;0;0;114;0;0;0;0;0;0;0;0;0;0;0;0;114;0;0;0;0;0;114;0;0;0;0;3080;0;0;0;229
BU01640202;BU01640202;De Noork;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;1184;151;1274;105647;11597;False;48765;28758;9154;18;0;10836;1082;48765;52003;0;11656;43059;0;-57952;0;1776;0;0;1184;0;0;0;0;0;0;0;0;0;0;0;0;1184;0;0;0;0;8;36;136;931;0;0;6951;1319;108;0;1121;4403;41;6951;13056;0;5151;43059;0;-54315;0;331;0;0;151;0;0;0;0;0;0;0;0;0;0;0;0;151;0;0;0;0;0;151;0;0;0;0;3006;0;0;0;230
