BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nrAansl_gas;nrAansl_mWKK;nrAansl_eWP;nrAansl_HWP;nrAansl_EWV;nrAansl_RestWarmte;nrAansl_GeoThermie;nrAansl_WijkWKK;nrAansl_BioWKK;nrAansl_WKO;nrAansl_Lt15_30;nrAansl_Lt15_50;nrAansl_Lt15_70;nrAansl_Lt30_30;nrAansl_Lt30_50;nrAansl_Lt30_70;nrAansl_TEO;nr_OrgEntity
BU01640000;BU01640000;Binnenstad-Centrum;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;684;402;1961;False;16;0;14;2;0;0;1296;2;44;5347;5524646;1585438;297;809;0;0;0;1086;0;0;0;0;0;0;0;0;0;0;0;0;0;1067
BU01640001;BU01640001;Binnenstad-West;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;476;111;913;False;22;0;19;3;0;0;1057;2;34;2604;2375104;798786;307;875;0;0;0;587;0;0;0;0;0;0;0;0;0;0;0;0;0;1068
BU01640002;BU01640002;Binnenstad-Oost;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;563;115;789;False;22;0;19;3;0;0;677;2;24;2309;2020205;803755;348;1019;0;0;0;678;0;0;0;0;0;0;0;0;0;0;0;0;0;1069
BU01640100;BU01640100;Hengelose Es-Noord;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1719;318;1895;False;22;0;19;3;0;0;466;2;16;4355;3735082;1467859;337;775;0;0;0;2037;0;0;0;0;0;0;0;0;0;0;0;0;0;1070
BU01640101;BU01640101;Tichelwerk;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1819;285;2422;False;21;0;18;3;0;0;801;2;19;6951;5698693;2504247;360;1034;0;0;0;2104;0;0;0;0;0;0;0;0;0;0;0;0;0;1071
BU01640102;BU01640102;t Wilbert;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1399;104;1511;False;26;0;23;3;0;0;668;2;15;4511;3687619;1747901;387;1157;0;0;0;1503;0;0;0;0;0;0;0;0;0;0;0;0;0;1072
BU01640103;BU01640103;Bedrijventerrein Timmersveld;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;28;22;172;False;15;0;12;3;0;0;142;2;56;491;650448;190495;388;1112;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;1073
BU01640200;BU01640200;Noord;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;2038;416;2230;False;23;0;20;3;0;0;701;2;17;5504;4521505;1911645;347;857;0;0;0;2454;0;0;0;0;0;0;0;0;0;0;0;0;0;1074
BU01640201;BU01640201;Elsbeek;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;918;114;1072;False;25;0;22;3;0;0;695;2;19;3263;2729167;1230820;377;1149;0;0;0;1032;0;0;0;0;0;0;0;0;0;0;0;0;0;1075
BU01640202;BU01640202;De Noork;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;1184;151;1273;False;23;0;20;3;0;0;835;2;15;3172;2646966;1179745;372;927;0;0;0;1335;0;0;0;0;0;0;0;0;0;0;0;0;0;1076
BU01640203;BU01640203;Klein Driene;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;854;106;893;False;19;0;17;2;0;0;793;2;13;1623;1418669;605885;373;679;0;0;0;960;0;0;0;0;0;0;0;0;0;0;0;0;0;1077
BU01640204;BU01640204;t Rot;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;41;9;65;False;27;0;23;4;0;0;23;3;25;177;208217;53049;300;819;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;1078
BU01640300;BU01640300;Bovenhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;926;10;954;False;24;0;21;3;0;0;422;2;14;2299;1867009;796098;346;835;0;0;0;936;0;0;0;0;0;0;0;0;0;0;0;0;0;1079
BU01640301;BU01640301;Schothorsthoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;277;10;312;False;31;0;27;4;0;0;207;2;17;1052;855333;352017;335;1130;0;0;0;287;0;0;0;0;0;0;0;0;0;0;0;0;0;1080
