BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H19_Waarde_hernieuwbaar_gas;Woning_H21_CapaciteitsvraagE;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H19_Waarde_hernieuwbaar_gas;Util_H21_CapaciteitsvraagE;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;Util_A30_Aansl_LabelA;Util_A31_Aansl_LabelB;Util_A32_Aansl_LabelC;Util_A33_Aansl_LabelD;Util_A34_Aansl_LabelE;Util_A35_Aansl_LabelF;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;nr_OrgEntity
BU01640000;BU01640000;Binnenstad-Centrum;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;686;402;1923;65994;160794;False;25249;14555;4744;4;0;5946;798;25249;20584;0;6179;0;0;-1514;0;1029;686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;40;116;416;0;0;115035;25374;1634;0;18247;69780;1116;115035;26668;0;75640;0;0;12728;0;4583;402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;402;0;0;0;0;2790;-37506;-22;-37506;221
BU01640001;BU01640001;Binnenstad-West;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;476;111;914;47711;56820;False;20974;12894;3769;5;0;4307;877;20974;17633;0;4489;0;0;-1147;0;714;476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;29;11;380;0;0;43203;12979;444;0;6992;22788;707;43203;13097;0;25070;0;0;5035;0;1619;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;0;0;0;0;1778;42516;91;42516;222
BU01640002;BU01640002;Binnenstad-Oost;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;572;116;793;72890;28684;False;26790;17054;4495;7;0;5234;841;26790;22641;0;5487;0;0;-1338;0;858;572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;12;21;390;0;0;17315;4544;163;0;2303;10304;184;17315;4596;0;11079;0;0;1639;0;817;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;0;0;0;0;1548;118734;271;118734;223
BU01640100;BU01640100;Hengelose Es-Noord;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1727;318;1902;191115;22717;False;71969;43411;12462;51;0;16045;625;71969;59049;0;16803;0;0;-3883;0;2591;1727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261;55;125;924;0;0;13842;3455;276;0;2181;7930;42;13842;3706;0;8640;0;0;1496;0;647;318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;318;0;0;0;0;3544;33296;72;33296;224
BU01640101;BU01640101;Tichelwerk;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1854;285;2461;196599;78842;False;80109;48085;14904;26;0;17094;992;80109;66936;0;17846;0;0;-4672;0;2781;1854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;183;199;1268;0;0;37364;10715;634;0;5185;20830;179;37364;11183;0;22611;0;0;3570;0;2247;285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;285;0;0;0;0;4429;361786;230;361786;225
BU01640102;BU01640102;t Wilbert;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1411;103;1520;156467;14102;False;69241;42957;12366;9;0;13910;941;69241;58479;0;14539;0;0;-3777;0;2117;1411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;9;141;1239;0;0;5980;1844;124;0;834;3178;33;5980;1946;0;3466;0;0;569;0;402;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;0;0;0;0;3400;314105;503;314105;226
BU01640103;BU01640103;Bedrijventerrein Timmersveld;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;28;22;172;4614;18663;False;1792;1277;242;2;0;270;84;1792;1565;0;288;0;0;-61;0;42;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;19;0;0;12831;2715;83;0;1473;8560;155;12831;2726;0;9049;0;0;1056;0;532;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;252;54010;364;54010;227
BU01640200;BU01640200;Noord;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;2044;415;2234;202177;24700;False;85507;50591;15996;107;0;18813;910;85507;70862;0;19685;0;0;-5041;0;3066;2044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;319;51;113;1385;0;0;15706;3140;246;0;2525;9796;46;15706;3360;0;10605;0;0;1741;0;704;415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;415;0;0;0;0;4190;200567;292;200567;228
BU01640201;BU01640201;Elsbeek;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;919;114;1075;120636;20232;False;46957;30026;8097;7;0;8827;990;46957;40117;0;9264;0;0;-2424;0;1379;919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;13;40;720;0;0;10518;2477;127;0;1038;6876;68;10518;2558;0;7241;0;0;719;0;577;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;0;0;0;0;2405;259152;505;259152;229
BU01640202;BU01640202;De Noork;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;1184;151;1274;105647;11597;False;48765;28758;9154;18;0;10836;1082;48765;40365;0;11268;0;0;-2868;0;1776;1184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;36;136;931;0;0;6951;1319;108;0;1121;4403;41;6951;1418;0;4764;0;0;769;0;331;151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151;0;0;0;0;2355;170642;377;170642;230
