BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nrAansl_gas;nrAansl_mWKK;nrAansl_eWP;nrAansl_HWP;nrAansl_EWV;nrAansl_RestWarmte;nrAansl_GeoThermie;nrAansl_WijkWKK;nrAansl_BioWKK;nrAansl_WKO;nrAansl_Lt15_30;nrAansl_Lt15_50;nrAansl_Lt15_70;nrAansl_Lt30_30;nrAansl_Lt30_50;nrAansl_Lt30_70;nrAansl_TEO;nr_OrgEntity
BU01640000;BU01640000;Binnenstad-Centrum;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;684;402;1961;False;24;0;24;0;0;0;1944;2;42;5347;5013409;1074201;201;548;1086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1067
BU01640001;BU01640001;Binnenstad-West;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;476;111;913;False;32;0;32;0;0;0;1538;2;31;2604;2327470;751152;288;823;587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1068
BU01640002;BU01640002;Binnenstad-Oost;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;563;115;789;False;31;0;31;0;0;0;954;2;22;2309;1982101;765651;332;971;678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1069
BU01640100;BU01640100;Hengelose Es-Noord;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1719;318;1895;False;29;0;29;0;0;0;614;2;14;4355;3727989;1460766;335;771;2037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1070
BU01640101;BU01640101;Tichelwerk;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1819;285;2422;False;29;0;29;0;0;0;1106;2;17;6951;5418707;2224261;320;919;2104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1071
BU01640102;BU01640102;t Wilbert;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1399;104;1511;False;35;0;35;0;0;0;899;2;13;4511;3754462;1814744;402;1201;1503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1072
BU01640103;BU01640103;Bedrijventerrein Timmersveld;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;28;22;172;False;23;0;23;0;0;0;218;2;54;491;594893;134940;275;787;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1073
BU01640200;BU01640200;Noord;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;2038;416;2230;False;31;0;31;0;0;0;945;2;15;5504;4577185;1967325;357;882;2454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1074
BU01640201;BU01640201;Elsbeek;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;918;114;1072;False;36;0;36;0;0;0;1001;2;16;3263;2763828;1265481;388;1181;1032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1075
BU01640202;BU01640202;De Noork;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;1184;151;1273;False;30;0;30;0;0;0;1089;2;13;3172;2660715;1193494;376;938;1335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1076
