BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H19_Waarde_hernieuwbaar_gas;Woning_H21_CapaciteitsvraagE;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H19_Waarde_hernieuwbaar_gas;Util_H21_CapaciteitsvraagE;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;Util_A30_Aansl_LabelA;Util_A31_Aansl_LabelB;Util_A32_Aansl_LabelC;Util_A33_Aansl_LabelD;Util_A34_Aansl_LabelE;Util_A35_Aansl_LabelF;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;nr_OrgEntity
BU01640000;BU01640000;Binnenstad-Centrum;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;686;402;1923;65994;160794;False;29523;18829;4744;4;0;5946;974;29523;24694;0;6179;0;0;-1349;0;0;686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;40;116;45;42;10;146175;64221;1634;0;10540;69780;2722;146175;64020;0;73438;0;0;8717;0;0;402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;16;0;252;0;5328;-1007574;0;0;221
BU01640001;BU01640001;Binnenstad-West;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;476;111;914;47711;56820;False;25359;17279;3769;5;0;4307;1108;25359;21849;0;4489;0;0;-978;0;0;476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;29;11;36;22;14;49941;22670;444;0;4039;22788;1217;49941;22415;0;24227;0;0;3299;0;0;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;17;0;50;0;2628;-361342;0;0;222
BU01640002;BU01640002;Binnenstad-Oost;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;572;116;793;72890;28684;False;32059;22323;4495;7;0;5234;1047;32059;27707;0;5487;0;0;-1135;0;0;572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;12;21;26;15;21;23336;11537;163;0;1330;10304;457;23336;11321;0;10801;0;0;1214;0;0;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;6;0;77;0;2253;-217332;0;0;223
BU01640100;BU01640100;Hengelose Es-Noord;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1727;318;1902;191115;22717;False;83801;55243;12462;51;0;16045;757;83801;70427;0;16803;0;0;-3428;0;0;1727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261;55;125;67;70;100;17095;7630;276;0;1259;7930;88;17095;7720;0;8376;0;0;998;0;0;318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;80;0;193;0;4483;-368567;0;0;224
BU01640101;BU01640101;Tichelwerk;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1854;285;2461;196599;78842;False;95462;63437;14904;26;0;17094;1234;95462;81697;0;17846;0;0;-4082;0;0;1854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;183;199;97;81;73;60952;36494;634;0;2994;20830;585;60952;35970;0;21985;0;0;2997;0;0;285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;70;0;125;0;6758;-553661;0;0;225
BU01640102;BU01640102;t Wilbert;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1411;103;1520;156467;14102;False;84313;58029;12366;9;0;13910;1197;84313;72971;0;14539;0;0;-3197;0;0;1411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;9;141;108;95;72;9448;5665;124;0;482;3178;98;9448;5619;0;3365;0;0;464;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;21;0;69;0;4471;-271269;0;0;226
BU01640103;BU01640103;Bedrijventerrein Timmersveld;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;28;22;172;4614;18663;False;2132;1618;242;2;0;270;103;2132;1892;0;288;0;0;-47;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2;0;0;15702;6209;83;0;850;8560;348;15702;6086;0;8871;0;0;745;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;0;10;0;477;-105665;0;0;227
BU01640200;BU01640200;Noord;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;2044;415;2234;202177;24700;False;101576;66660;15996;107;0;18813;1130;101576;86313;0;19685;0;0;-4423;0;0;2044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;319;51;113;163;82;42;20217;8717;246;0;1458;9796;123;20217;8724;0;10300;0;0;1193;0;0;415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;6;0;336;0;5443;-440042;0;0;228
BU01640201;BU01640201;Elsbeek;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;919;114;1075;120636;20232;False;56867;39936;8097;7;0;8827;1248;56867;49646;0;9264;0;0;-2043;0;0;919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;13;40;38;27;49;15199;7597;127;0;599;6876;201;15199;7481;0;7115;0;0;603;0;0;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;8;0;82;0;3258;-233564;0;0;229
BU01640202;BU01640202;De Noork;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;1184;151;1274;105647;11597;False;58766;38759;9154;18;0;10836;1368;58766;49982;0;11268;0;0;-2484;0;0;1184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;36;136;96;102;72;9935;4776;108;0;647;4403;139;9935;4743;0;4628;0;0;564;0;0;151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;30;0;115;0;3122;-232319;0;0;230
