BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H19_Waarde_hernieuwbaar_gas;Woning_H21_CapaciteitsvraagE;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H19_Waarde_hernieuwbaar_gas;Util_H21_CapaciteitsvraagE;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;Util_A30_Aansl_LabelA;Util_A31_Aansl_LabelB;Util_A32_Aansl_LabelC;Util_A33_Aansl_LabelD;Util_A34_Aansl_LabelE;Util_A35_Aansl_LabelF;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;nr_OrgEntity
BU01640000;BU01640000;Binnenstad-Centrum;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;686;402;1923;65994;160794;False;26685;15991;4744;4;0;5946;857;26685;21965;0;6179;0;0;-1459;0;1029;686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;40;116;45;42;10;144202;54541;1634;0;18247;69780;2322;144202;54713;0;75640;0;0;13849;0;4583;402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;16;0;252;0;4286;9733;51;9733;221
BU01640001;BU01640001;Binnenstad-West;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;476;111;914;47711;56820;False;22755;14674;3769;5;0;4307;971;22755;19344;0;4489;0;0;-1078;0;714;476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;29;11;36;22;14;49477;19253;444;0;6992;22788;1037;49477;19130;0;25070;0;0;5277;0;1619;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;17;0;50;0;2151;10998;119;10998;222
BU01640002;BU01640002;Binnenstad-Oost;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;572;116;793;72890;28684;False;28695;18958;4495;7;0;5234;915;28695;24472;0;5487;0;0;-1265;0;858;572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;12;21;26;15;21;22569;9798;163;0;2303;10304;389;22569;9648;0;11079;0;0;1841;0;817;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;6;0;77;0;1907;15735;201;15735;223
BU01640100;BU01640100;Hengelose Es-Noord;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1727;318;1902;191115;22717;False;75479;46921;12462;51;0;16045;664;75479;62424;0;16803;0;0;-3748;0;2591;1727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261;55;125;67;70;100;16867;6480;276;0;2181;7930;76;16867;6615;0;8640;0;0;1613;0;647;318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;80;0;193;0;3859;64144;441;64144;224
BU01640101;BU01640101;Tichelwerk;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1854;285;2461;196599;78842;False;85903;53878;14904;26;0;17094;1083;85903;72506;0;17846;0;0;-4449;0;2781;1854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;183;199;97;81;73;57643;30994;634;0;5185;20830;498;57643;30682;0;22611;0;0;4350;0;2247;285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;70;0;125;0;5769;55145;238;55145;225
BU01640102;BU01640102;t Wilbert;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1411;103;1520;156467;14102;False;75569;49285;12366;9;0;13910;1048;75569;64564;0;14539;0;0;-3534;0;2117;1411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;9;141;108;95;72;8947;4811;124;0;834;3178;84;8947;4798;0;3466;0;0;683;0;402;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;21;0;69;0;3878;45832;311;45832;226
BU01640103;BU01640103;Bedrijventerrein Timmersveld;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;28;22;172;4614;18663;False;1889;1374;242;2;0;270;89;1889;1658;0;288;0;0;-57;0;42;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2;0;0;15390;5274;83;0;1473;8560;296;15390;5186;0;9049;0;0;1155;0;532;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;0;10;0;383;-1293;-71;-1293;227
BU01640200;BU01640200;Noord;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;2044;415;2234;202177;24700;False;91532;56617;15996;107;0;18813;993;91532;76656;0;19685;0;0;-4809;0;3066;2044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;319;51;113;163;82;42;19971;7404;246;0;2525;9796;105;19971;7461;0;10605;0;0;1905;0;704;415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;6;0;336;0;4702;75559;433;75559;228
BU01640201;BU01640201;Elsbeek;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;919;114;1075;120636;20232;False;50848;33917;8097;7;0;8827;1091;50848;43859;0;9264;0;0;-2275;0;1379;919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;13;40;38;27;49;14493;6452;127;0;1038;6876;171;14493;6380;0;7241;0;0;872;0;577;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;8;0;82;0;2808;26628;242;26628;229
BU01640202;BU01640202;De Noork;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;1184;151;1274;105647;11597;False;52926;32918;9154;18;0;10836;1201;52926;44366;0;11268;0;0;-2708;0;1776;1184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;36;136;96;102;72;9689;4057;108;0;1121;4403;119;9689;4051;0;4764;0;0;874;0;331;151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;30;0;115;0;2707;43857;435;43857;230
