BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_Vraag_totaal;H02_Vraag_Ruimteverwarming;H03_Vraag_Tapwater;H04_Vraag_Ventilatie;H05_Vraag_Koude;H06_Vraag_Apparaten;H07_Vraag_perhectare;H08_Input_totaal;H09_Input_aardgas;H10_Input_duurzaamgas;H11_Input_elektriciteit;H12_Input_MTwarmte;H13_Input_LTwarmte;H14_Saldo_Omgevingswarmte;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;H19_waarde_hernieuwbaar_gas;A01_Aansl_aardgas;A02_Aansl_eWP;A03_Aansl_MT;A04_Aansl_LT;A05_Aansl_hWP_HG;A06_Aansl_HR_HG;A10_Aansl_LT_WKO;A11_Aansl_LT_LT15_30;A12_Aansl_LT_LT15_50;A13_Aansl_LT_LT15_70;A14_Aansl_LT_LT30_30;A15_Aansl_LT_LT30_50;A16_Aansl_LT_LT30_70;A17_Aansl_LT_TEO;A18_Aansl_LT_BuurtWKO;A19_Aansl_MT_Restwarmte;A20_Aansl_MT_Geothermie;A21_Aansl_MT_WijkWKK;A22_Aansl_MT_BioWKK;A23_Aansl_H2;nr_OrgEntity
BU03631000;BU03631000;Coenhaven/Mercuriushaven;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;4;229;1789;False;94;26;1;0;15;53;332;94;26;0;57;0;0;11;2600;0;0;0;0;233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126
BU03631001;BU03631001;Alfa-driehoek;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;2;48;486;False;107;39;1;0;16;51;472;107;38;0;56;0;0;12;1041;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127
BU03631105;BU03631105;Teleport;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;605;441;5493;False;94;32;2;0;15;45;2180;94;10;0;50;36;0;-1;3008;681380;94;124;0;0;0;1046;0;0;0;0;0;0;0;0;0;0;0;0;1046;0;0;0;0;138
BU03631306;BU03631306;Westergasfabriek;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;0;39;164;False;121;60;2;0;22;36;434;121;61;0;43;0;0;17;559;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149
BU03631307;BU03631307;Overbraker Binnenpolder;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;5;8;133;False;94;23;1;0;16;54;50;94;21;0;59;4;0;10;172;0;0;0;0;11;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;150
BU03633600;BU03633600;Woon- en Groengebied Sloterdijk;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;226;14;650;False;81;30;3;0;13;35;408;81;33;0;39;0;0;9;1191;0;0;0;0;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;235
BU03633601;BU03633601;Bedrijventerrein Sloterdijk I;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;14;91;1432;False;126;61;1;0;15;49;1307;126;18;0;54;66;0;-11;1439;507690;150;355;0;0;0;105;0;0;0;0;0;0;0;0;0;0;0;0;105;0;0;0;0;236
BU03636601;BU03636601;Oostzanerdijk;WK036366;Oostzanerwerf;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;134;46;226;False;65;34;6;0;6;19;199;65;40;0;21;0;0;3;508;0;0;0;0;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;365
BU03636602;BU03636602;Walvisbuurt;WK036366;Oostzanerwerf;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;546;7;579;False;42;21;7;0;1;13;343;42;31;0;13;0;0;-2;1002;0;0;0;0;553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;366
BU03636604;BU03636604;Noorder IJplas;WK036366;Oostzanerwerf;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;2;1;3;False;62;34;8;0;3;18;1;62;44;0;19;0;0;0;6;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;368
BU03637104;BU03637104;Cornelis Douwesterrein;WK036371;Noordelijke IJ-oevers West;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;0;59;613;False;92;26;1;0;13;52;176;92;25;0;57;0;0;10;871;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;392
