BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU03760101;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1893.36923;1815;78.3692308;0;0;0;8;2;20;8;149;4024;3639038;1324124;329;0;0;3191168.45;0;1913;0;0;0;0;2115
BU03760102;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;2567.85385;2235;332.853846;0;0;0;11;2;26;11;73;8659;7212878;2140354;247;0;0;6681309.27;0;2422;0;0;0;0;2116
BU03760103;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;8.66153846;1;7.66153846;0;0;0;10;10;39;10;1;49;28509;-17411;-354;0;0;27237.074;0;4;0;0;0;0;2117
BU03760104;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;911.938462;816;95.9384615;0;11;0;4;2;16;18;234;1616;1384571;362473;224;0;0;1428285.38;0;531.24;400.76;0;0;0;2118
BU03760105;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;354.569231;56;298.569231;0;0;0;9;1;37;9;88;1284;486500;-243769;-190;0;0;382058.556;0;61;0;0;0;0;2119
BU03760106;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1;1;0;0;0;0;15;3;26;15;0;5;2726;1306;285;0;0;2469.97957;0;1;0;0;0;0;2120
BU03760107;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;0;0;0;0;0;0;0;0;0;0;0;0;20102;0;0;0;0;0;0;0;0;0;0;0;2121
BU03760108;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;0.0769230769;0;0.0769230769;0;0;0;2;113;146;2;0;0;9799;1410;25612;0;0;11011.2673;0;2;0;0;0;0;2122
BU03760109;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1.73076923;1;0.730769231;0;0;0;11;10;31;11;0;9;16505;-963;-112;0;0;18506.4287;0;2;0;0;0;0;2123
BU04020101;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;3735.93077;1893;1842.93077;0;0;0;6;2;41;6;564;9284;7732367;685310;74;0;0;6177342.06;0;2439;0;0;0;0;5229
BU04020102;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;1736.10769;1522;214.107692;0;0;0;7;2;24;7;555;4027;3515617;1390162;345;0;0;3005196.12;0;1725;0;0;0;0;5230
BU04020103;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;1013.02308;836;177.023077;0;0;0;7;1;22;7;350;2636;2030716;716784;272;0;0;1776819.1;0;894;0;0;0;0;5231
BU04020104;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;1740.83846;936;804.838462;0;0;0;6;2;38;6;508;4072;3698920;653461;160;0;0;3009532.91;0;1199;0;0;0;0;5232
BU04020201;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;2208.23846;1530;678.238462;0;0;0;8;2;29;8;195;7274;5154786;1247317;171;0;0;4519073.04;0;1741;0;0;0;0;5233
BU04020202;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;1017.4;641;376.4;0;0;0;10;2;37;10;225;4060;2786952;527904;130;0;0;2461115.23;0;730;0;0;0;0;5234
BU04020203;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;1177.86154;471;706.861538;0;0;0;7;1;45;7;280;4117;2508329;-118271;-29;0;0;2007026.96;0;529;0;0;0;0;5235
BU04020204;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;849.923077;577;272.923077;0;0;0;9;2;28;9;62;2799;2174549;316555;113;0;0;1993429.84;0;634;0;0;0;0;5236
BU04020205;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;364.284615;286;78.2846154;0;0;0;10;2;30;10;97;1349;968874;199293;148;0;0;876213.421;0;310;0;0;0;0;5237
BU04020206;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;2443.33846;7;2436.33846;0;0;0;6;1;56;6;256;7929;4463976;-1444665;-182;0;0;3210700.18;0;109;0;0;0;0;5238
BU04020301;WK040203;Hilversum;Noord-Holland Zuid;Noord-Holland;;726.869231;16;710.869231;0;0;0;4;1;45;4;47;1179;1342651;-293727;-249;0;0;1065237.75;0;135;0;0;0;0;5239
BU04020302;WK040203;Hilversum;Noord-Holland Zuid;Noord-Holland;;623.746154;616;7.74615385;0;0;0;9;1;20;9;443;1609;1437634;677662;421;0;0;1289755.99;0;625;0;0;0;0;5240
