BU_CODE;WK_CODE;Gemeente;RES;Provincie;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;nr_OrgEntity
'BU03760101';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';1815;98;0;50922.9984;0;0;0;18373.0218;50922.9984;0;0;3510263.64;2115
'BU03760102';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';2235;187;0;95043.3324;0;0;0;23844.13;95043.3324;0;0;7893423.9;2116
'BU03760103';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';1;3;58.5599545;0;0;0;0;13.0402554;58.5599545;0;0;50239.0669;2117
'BU03760104';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';816;116;23724.1395;0;0;0;0;8857.856;23724.1395;0;0;1125185.47;2118
'BU03760105';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';56;5;2912.37631;0;0;0;0;709.076254;2912.37631;0;0;890073.014;2119
'BU03760106';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';1;0;57.882332;0;0;0;0;13.5260358;57.882332;0;0;2858.81886;2120
'BU03760107';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';0;0;0;0;0;0;0;0;0;0;0;;2121
'BU03760108';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';0;2;0;0;0;0;0;0;0;0;0;9228.75368;2122
'BU03760109';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';1;1;39.8692338;0;0;0;0;11.2982633;39.8692338;0;0;20624.4895;2123
'BU04020101';'WK040201';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1893;546;48513.0752;0;0;0;0;18767.9873;48513.0752;0;0;7013031.87;5229
'BU04020102';'WK040201';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1522;203;42235.1943;0;0;0;0;15772.1691;42235.1943;0;0;2647367.43;5230
'BU04020103';'WK040201';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';836;58;24984.5313;0;0;0;0;8989.04037;24984.5313;0;0;1751808.16;5231
'BU04020104';'WK040201';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';936;263;24113.2231;0;0;0;0;9330.96869;24113.2231;0;0;3273990.05;5232
'BU04020201';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1530;211;53873.3924;0;0;0;0;16985.6411;53873.3924;0;0;5158093.77;5233
'BU04020202';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';641;89;26602.4314;0;0;0;0;7827.88206;26602.4314;0;0;2919774.25;5234
'BU04020203';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';471;58;14473.1811;0;0;0;0;4892.22592;14473.1811;0;0;2701797.92;5235
'BU04020204';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';577;57;23918.9951;0;0;0;0;6752.33917;23918.9951;0;0;2481614.81;5236
'BU04020205';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';286;24;12109.0263;0;0;0;0;3416.44482;12109.0263;0;0;1019152.8;5237
'BU04020206';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';7;102;371.201843;0;0;0;0;91.5259527;371.201843;0;0;5666884.93;5238
'BU04020301';'WK040203';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';16;119;454.512276;0;0;0;0;161.4117;454.512276;0;0;1628186.12;5239
'BU04020302';'WK040203';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';616;9;0;19392.7736;0;0;0;6423.39172;19392.7736;0;0;1475347.56;5240
'BU04020303';'WK040203';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';845;80;23619.1773;0;0;0;0;8976.91851;23619.1773;0;0;1486019.3;5241
'BU04020304';'WK040203';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';3034;488;77694.8108;0;0;0;0;32065.9987;77694.8108;0;0;5615649.54;5242
'BU04020401';'WK040204';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1300;216;0;40484.6178;0;0;0;13460.5318;40484.6178;0;0;2874917.29;5243
'BU04020402';'WK040204';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';2307;156;0;67808.0478;0;0;0;23791.1381;67808.0478;0;0;5880415.65;5244
'BU04020403';'WK040204';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';810;127;0;29513.2317;0;0;0;8852.73951;29513.2317;0;0;2141412.58;5245
'BU04020404';'WK040204';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1620;256;0;49526.9875;0;0;0;16490.3081;49526.9875;0;0;4607493.97;5246
'BU04020405';'WK040204';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';2277;429;0;57466.5891;0;0;0;21626.8527;57466.5891;0;0;2496647.98;5247
'BU04020501';'WK040205';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1437;247;56110.7781;0;0;0;0;17414.7132;56110.7781;0;0;5300734.1;5248
'BU04020502';'WK040205';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';624;51;0;21980.3197;0;0;0;6095.46179;21980.3197;0;0;1653915.74;5249
'BU04020503';'WK040205';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';240;155;9104.89811;0;0;0;0;2821.81432;9104.89811;0;0;3349355.01;5250
'BU04020504';'WK040205';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';97;4;5225.0676;0;0;0;0;1245.54388;5225.0676;0;0;517264.416;5251
'BU04020505';'WK040205';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1933;209;47764.2833;0;0;0;0;19222.3441;47764.2833;0;0;2718953.76;5252
'BU04020506';'WK040205';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';0;2;0;0;0;0;0;0;0;0;0;50268.9533;5253
'BU04020601';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1200;111;36318.0494;0;0;0;0;13138.9544;36318.0494;0;0;2809238.69;5254
'BU04020602';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1066;47;30780.2314;0;0;0;0;11529.3354;30780.2314;0;0;2212516.7;5255
'BU04020603';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1916;142;54015.4693;0;0;0;0;20384.642;54015.4693;0;0;3491692.79;5256
'BU04020604';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';2251;84;61636.3587;0;0;0;0;24391.1309;61636.3587;0;0;3551259.96;5257
'BU04020605';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';2403;226;0;72876.8903;0;0;0;25040.034;72876.8903;0;0;6677814.94;5258
'BU04020606';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';204;4;6239.79404;0;0;0;0;2256.76818;6239.79404;0;0;359454.821;5259
'BU04020701';'WK040207';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';890;38;31019.7828;0;0;0;0;10359.4395;31019.7828;0;0;2322982.8;5260
'BU04020702';'WK040207';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';767;82;24615.7487;0;0;0;0;8820.42387;24615.7487;0;0;1572222.11;5261
'BU04020703';'WK040207';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';3684;276;0;89337.6817;0;0;0;34901.5488;89337.6817;0;0;7046604.27;5262
'BU04020704';'WK040207';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';9;2;471.756956;0;0;0;0;113.248489;471.756956;0;0;85951.8742;5263
'BU04020801';'WK040208';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1827;86;0;54132.8464;0;0;0;19109.7797;54132.8464;0;0;3794811.76;5264
'BU04020901';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';12;22;574.024295;0;0;0;0;139.357705;574.024295;0;0;442038.672;5265
