BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU03760101;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1893.36923;1815;78.3692308;0;28;0;0;2;13;37;689;4024;3554725;1239811;308;0;0;2210900.41;0;0;1913;0;0;0;2115
BU03760102;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;2567.85385;2235;332.853846;0;40;0;0;2;18;55;366;8659;9035471;3962947;458;0;0;5821878.09;0;0;2422;0;0;0;2116
BU03760103;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;8.66153846;1;7.66153846;0;35;0;0;10;34;59;6;49;54694;8774;178;0;0;39680.226;0;0;4;0;0;0;2117
BU03760104;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;911.938462;816;95.9384615;0;26;0;0;2;12;33;429;1616;1386468;364370;225;0;0;984602.465;0;0;932;0;0;0;2118
BU03760105;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;354.569231;56;298.569231;0;39;0;0;1;31;56;551;1284;1005929;275660;215;0;0;786034.475;0;0;61;0;0;0;2119
BU03760106;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1;1;0;0;57;0;0;3;15;77;0;5;18551;17131;3738;0;0;4164.99412;0;0;1;0;0;0;2120
BU03760107;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;0;0;0;0;0;0;0;0;0;0;0;0;20102;0;0;0;0;0;0;0;0;0;0;0;2121
BU03760108;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;0.0769230769;0;0.0769230769;0;6;0;0;113;132;9;0;0;22682;14293;259625;0;0;12127.658;0;0;2;0;0;0;2122
BU03760109;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1.73076923;1;0.730769231;0;38;0;0;10;24;59;1;9;31504;14036;1639;0;0;20676.3672;0;0;2;0;0;0;2123
BU04020101;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;3735.93077;1893;1842.93077;0;21;0;0;2;37;31;2916;9284;10240959;3193902;344;0;0;7907570.14;0;0;2439;0;0;0;5229
BU04020102;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;1736.10769;1522;214.107692;0;25;0;0;2;18;35;2774;4027;3546655;1421200;353;0;0;2594008.28;0;0;1725;0;0;0;5230
BU04020103;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;1013.02308;836;177.023077;0;26;0;0;1;16;37;1848;2636;2209156;895224;340;0;0;1646304.71;0;0;894;0;0;0;5231
BU04020104;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;1740.83846;936;804.838462;0;20;0;0;2;34;30;2539;4072;4737188;1691729;415;0;0;3714580.02;0;0;1199;0;0;0;5232
BU04020201;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;2208.23846;1530;678.238462;0;30;0;0;2;23;44;1073;7274;6469758;2562289;352;0;0;4891467.27;0;0;1741;0;0;0;5233
BU04020202;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;1017.4;641;376.4;0;34;0;0;2;30;51;1148;4060;3399181;1140133;281;0;0;2589018.43;0;0;730;0;0;0;5234
BU04020203;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;1177.86154;471;706.861538;0;27;0;0;1;41;42;1680;4117;3480582;853982;207;0;0;2743566.61;0;0;529;0;0;0;5235
BU04020204;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;849.923077;577;272.923077;0;34;0;0;2;22;48;331;2799;3072102;1214108;434;0;0;2226031.79;0;0;634;0;0;0;5236
BU04020205;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;364.284615;286;78.2846154;0;38;0;0;2;23;54;526;1349;1134949;365368;271;0;0;813852.083;0;0;310;0;0;0;5237
BU04020206;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;2443.33846;7;2436.33846;0;24;0;0;1;53;39;1664;7929;7585059;1676418;211;0;0;6168852.57;0;0;109;0;0;0;5238
BU04020301;WK040203;Hilversum;Noord-Holland Zuid;Noord-Holland;;726.869231;16;710.869231;0;15;0;0;1;43;22;259;1179;2336449;700071;594;0;0;1924690.22;0;0;135;0;0;0;5239
BU04020302;WK040203;Hilversum;Noord-Holland Zuid;Noord-Holland;;623.746154;616;7.74615385;0;31;0;0;1;13;42;2066;1609;1357772;597800;371;0;0;933370.85;0;0;625;0;0;0;5240
BU04020303;WK040203;Hilversum;Noord-Holland Zuid;Noord-Holland;;971.346154;845;126.346154;0;25;0;0;2;15;34;1317;2115;1996135;858678;406;0;0;1452244.78;0;0;925;0;0;0;5241
BU04020304;WK040203;Hilversum;Noord-Holland Zuid;Noord-Holland;;3908.41538;3034;874.415385;0;23;0;0;2;19;31;867;7827;7970522;2858023;365;0;0;5615198.46;0;0;3522;0;0;0;5242
BU04020401;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;1470.63846;1300;170.638462;0;29;0;0;2;18;40;2153;3947;3460097;1513678;384;0;0;2476239.98;0;0;1516;0;0;0;5243
BU04020402;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;2494.72308;2307;187.723077;0;29;0;0;1;16;39;1658;6165;5669111;2458832;399;0;0;3855319.91;0;0;2463;0;0;0;5244
BU04020403;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;852.346154;810;42.3461538;0;35;0;0;2;16;48;1261;2631;2333161;1054425;401;0;0;1642426.19;0;0;937;0;0;0;5245
BU04020404;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;1744.03846;1620;124.038462;0;30;0;0;2;15;41;1696;4574;4040383;1776257;388;0;0;2843011.79;0;0;1876;0;0;0;5246
BU04020405;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;2421.75385;2277;144.753846;0;25;0;0;2;13;34;1503;5051;4624685;1969863;390;0;0;3271697.28;0;0;2706;0;0;0;5247
BU04020501;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2060.36154;1437;623.361538;0;33;0;0;2;23;47;1117;6747;6467489;2689602;399;0;0;4814004.33;0;0;1684;0;0;0;5248
BU04020502;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;675.9;624;51.9;0;35;0;0;3;15;47;230;1896;1820348;697494;368;0;0;1245075.03;0;0;675;0;0;0;5249
BU04020503;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;1620.23846;240;1380.23846;0;24;0;0;1;48;34;1107;3449;4701218;1124742;326;0;0;3649614.57;0;0;395;0;0;0;5250
BU04020504;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;121.176923;97;24.1769231;0;50;0;0;2;19;70;269;566;510485;157809;279;0;0;386059.289;0;0;101;0;0;0;5251
BU04020505;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2147.09231;1933;214.092308;0;23;0;0;1;13;31;1568;4149;3952725;1717104;414;0;0;2910456.87;0;0;2142;0;0;0;5252
BU04020506;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2.78461538;0;2.78461538;0;9;0;0;8;65;12;7;2;49575;2323;1169;0;0;40383.4082;0;0;2;0;0;0;5253
BU04020601;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1559.46923;1200;359.469231;0;26;0;0;1;19;37;2086;3938;3622532;1496624;380;0;0;2674764.7;0;0;1311;0;0;0;5254
BU04020602;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1288.54615;1066;222.546154;0;26;0;0;1;18;36;2001;3092;2805499;1133758;367;0;0;2026699.36;0;0;1113;0;0;0;5255
BU04020603;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2268.59231;1916;352.592308;0;25;0;0;1;18;34;1656;4989;4616713;1782636;357;0;0;3245654.07;0;0;2058;0;0;0;5256
BU04020604;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2463.03846;2251;212.038462;0;25;0;0;1;15;34;1700;5379;4737893;1896572;353;0;0;3113644.09;0;0;2335;0;0;0;5257
BU04020605;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2858.4;2403;455.4;0;29;0;0;2;20;40;1503;7686;6860746;2727847;355;0;0;4812340.22;0;0;2629;0;0;0;5258
BU04020606;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;216.623077;204;12.6230769;0;28;0;0;2;12;36;430;415;438143;119445;288;0;0;265274.533;0;0;208;0;0;0;5259
BU04020701;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;1031.49231;890;141.492308;0;31;0;0;2;17;43;1342;2931;2731624;1183419;404;0;0;1970853.2;0;0;928;0;0;0;5260
BU04020702;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;811.992308;767;44.9923077;0;30;0;0;2;15;41;1454;2160;1968540;902987;418;0;0;1325782.73;0;0;849;0;0;0;5261
BU04020703;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;3926.90769;3684;242.907692;0;24;0;0;1;13;32;1347;7633;7455838;3336220;437;0;0;5090478.45;0;0;3960;0;0;0;5262
BU04020704;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;20.1307692;9;11.1307692;0;37;0;0;2;41;51;41;64;109159;47866;743;0;0;81720.2235;0;0;11;0;0;0;5263
BU04020801;WK040208;Hilversum;Noord-Holland Zuid;Noord-Holland;;1889.7;1827;62.7;0;29;0;0;2;14;39;715;4395;3805418;1381404;314;0;0;2369006.68;0;0;1913;0;0;0;5264
BU04020901;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;93.4538462;12;81.4538462;0;24;0;0;4;39;35;4;238;434555;19394;81;0;0;388224.454;0;0;34;0;0;0;5265
BU04020902;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;15.5769231;0;15.5769231;0;21;0;0;5;44;29;6;26;78880;15861;611;0;0;61705.9648;0;0;5;0;0;0;5266
