BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU03760101;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1893.36923;1815;78.3692308;0;28;0;0;2;7;37;689;4024;5002408;2687494;668;0;0;3658583.27;0;0;1913;0;0;0;2115
BU03760102;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;2567.85385;2235;332.853846;0;40;0;0;2;8;55;366;8659;11865710;6793186;785;0;0;8652118.06;0;0;2422;0;0;0;2116
BU03760103;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;8.66153846;1;7.66153846;0;35;0;0;10;18;59;6;49;60549;14629;297;0;0;45534.9989;0;0;4;0;0;0;2117
BU03760104;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;911.938462;816;95.9384615;0;26;0;0;2;9;33;429;1616;1747108;725010;449;0;0;1617303.22;0;0;932;0;0;0;2118
BU03760105;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;354.569231;56;298.569231;0;39;0;0;1;20;56;551;1284;1302439;572170;446;0;0;1082545.12;0;0;61;0;0;0;2119
BU03760106;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1;1;0;0;57;0;0;3;1;77;0;5;20271;18851;4114;0;0;5884.34175;0;0;1;0;0;0;2120
BU03760107;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;0;0;0;0;0;0;0;0;0;0;0;0;20102;0;0;0;0;0;0;0;0;0;0;0;2121
BU03760108;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;0.0769230769;0;0.0769230769;0;6;0;0;113;130;9;0;0;22667;14278;259353;0;0;12112.1071;0;0;2;0;0;0;2122
BU03760109;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1.73076923;1;0.730769231;0;38;0;0;10;10;59;1;9;33110;15642;1827;0;0;22282.2833;0;0;2;0;0;0;2123
BU04020101;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;3735.93077;1893;1842.93077;0;21;0;0;2;30;31;2916;9284;11780983;4733926;510;0;0;9447593.55;0;0;2439;0;0;0;5229
BU04020102;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;1736.10769;1522;214.107692;0;25;0;0;2;11;35;2774;4027;4687832;2562377;636;0;0;3735185.62;0;0;1725;0;0;0;5230
BU04020103;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;1013.02308;836;177.023077;0;26;0;0;1;9;37;1848;2636;2893401;1579469;599;0;0;2330549.43;0;0;894;0;0;0;5231
BU04020104;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;1740.83846;936;804.838462;0;20;0;0;2;27;30;2539;4072;5425007;2379548;584;0;0;4402398.39;0;0;1199;0;0;0;5232
BU04020201;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;2208.23846;1530;678.238462;0;30;0;0;2;13;44;1073;7274;8121052;4213583;579;0;0;6542761.72;0;0;1741;0;0;0;5233
BU04020202;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;1017.4;641;376.4;0;34;0;0;2;18;51;1148;4060;4287295;2028247;500;0;0;3477131.5;0;0;730;0;0;0;5234
