BU_CODE;WK_CODE;Gemeente;RES;Provincie;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;nr_OrgEntity
'BU03760101';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';1815;98;50495.1211;0;3323.88542;0;0;20478.0585;53819.0066;0;0;2845294.76;2115
'BU03760102';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';2235;187;98125.4405;0;0;0;0;27166.1553;98125.4405;0;0;7430217.53;2116
'BU03760103';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';1;3;58.5599545;0;0;0;0;13.0402554;58.5599545;0;0;46532.6812;2117
'BU03760104';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';816;116;23724.1395;0;0;0;0;8857.856;23724.1395;0;0;1125185.47;2118
'BU03760105';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';56;5;2853.53143;0;58.8320761;0;0;707.060254;2912.3635;0;0;434616.94;2119
'BU03760106';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';1;0;57.882332;0;0;0;0;13.5260358;57.882332;0;0;2858.81886;2120
'BU03760107';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';0;0;0;0;0;0;0;0;0;0;0;;2121
'BU03760108';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';0;2;0;0;0;0;0;0;0;0;0;9228.75368;2122
'BU03760109';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';1;1;39.8692338;0;0;0;0;11.2982633;39.8692338;0;0;20624.4895;2123
'BU04020101';'WK040201';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1893;546;21685.8603;0;25177.4359;0;0;17812.4739;46863.2962;0;0;6420959.52;5229
'BU04020102';'WK040201';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1522;203;30059.2205;0;11327.5108;0;0;15388.1211;41386.7312;0;0;2625725.22;5230
'BU04020103';'WK040201';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';836;58;20270.1403;0;4382.94697;0;0;8871.82005;24653.0873;0;0;1766103.47;5231
'BU04020104';'WK040201';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';936;263;9631.79795;0;13516.3853;0;0;8882.55989;23148.1833;0;0;3047561.46;5232
'BU04020201';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1530;211;45159.2398;0;8249.0356;0;0;16710.5579;53408.2754;0;0;4838918.45;5233
'BU04020202';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';641;89;25646.6033;0;885.798573;0;0;7799.20446;26532.4019;0;0;2867093.73;5234
'BU04020203';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';471;58;11153.1398;0;3182.46499;0;0;4743.66688;14335.6048;0;0;2301584.15;5235
'BU04020204';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';577;57;23918.9951;0;0;0;0;6752.33917;23918.9951;0;0;2481614.81;5236
'BU04020205';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';286;24;11631.4606;0;451.300849;0;0;3405.29634;12082.7614;0;0;1018005.38;5237
'BU04020206';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';7;102;371.201843;0;0;0;0;91.5259527;371.201843;0;0;3862984.28;5238
'BU04020301';'WK040203';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';16;119;454.512276;0;0;0;0;161.4117;454.512276;0;0;1628186.12;5239
'BU04020302';'WK040203';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';616;9;20250.869;0;0;0;0;7080.4666;20250.869;0;0;1200968.1;5240
'BU04020303';'WK040203';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';845;80;16677.7379;0;6478.84011;0;0;8720.08011;23156.578;0;0;1567629.81;5241
'BU04020304';'WK040203';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';3034;488;53850.8892;0;22470.8885;0;0;31221.0427;76321.7777;0;0;5572443.56;5242
'BU04020401';'WK040204';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1300;216;36257.5843;0;6002.99563;0;0;14561.5399;42260.5799;0;0;2793296.36;5243
'BU04020402';'WK040204';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';2307;156;71612.1586;0;0;0;0;25995.2309;71612.1586;0;0;4546661.17;5244
'BU04020403';'WK040204';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';810;127;30784.3871;0;0;0;0;9952.15503;30784.3871;0;0;2083480.6;5245
