BU_CODE;WK_CODE;Gemeente;RES;Provincie;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;nr_OrgEntity
'BU03760101';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';1815;98;54082.5789;0;0;0;0;20583.6666;54082.5789;0;0;2861827.46;2115
'BU03760102';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';2235;187;98125.4405;0;0;0;0;27166.1553;98125.4405;0;0;7430217.53;2116
'BU03760103';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';1;3;58.5599545;0;0;0;0;13.0402554;58.5599545;0;0;50239.0669;2117
'BU03760104';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';816;116;23724.1395;0;0;0;0;8857.856;23724.1395;0;0;1125185.47;2118
'BU03760105';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';56;5;2912.37631;0;0;0;0;709.076254;2912.37631;0;0;890073.014;2119
'BU03760106';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';1;0;57.882332;0;0;0;0;13.5260358;57.882332;0;0;2858.81886;2120
'BU03760107';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';0;0;0;0;0;0;0;0;0;0;0;;2121
'BU03760108';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';0;2;0;0;0;0;0;0;0;0;0;9228.75368;2122
'BU03760109';'WK037601';'Blaricum';'Noord-Holland Zuid';'Noord-Holland';1;1;39.8692338;0;0;0;0;11.2982633;39.8692338;0;0;20624.4895;2123
'BU04020101';'WK040201';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1893;546;28045.9014;0;19088.5739;0;0;18051.9243;47134.4753;0;0;6507726.83;5229
'BU04020102';'WK040201';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1522;203;14578.5952;0;25791.2451;0;0;14960.9005;40369.8403;0;0;2368526.61;5230
'BU04020103';'WK040201';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';836;58;24984.5313;0;0;0;0;8989.04037;24984.5313;0;0;1751808.16;5231
'BU04020104';'WK040201';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';936;263;24113.2231;0;0;0;0;9330.96869;24113.2231;0;0;3273990.05;5232
'BU04020201';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1530;211;48988.2868;0;4581.87197;0;0;16851.5872;53570.1588;0;0;5014668.33;5233
'BU04020202';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';641;89;26515.2548;0;82.9733808;0;0;7824.11214;26598.2282;0;0;2930846.8;5234
'BU04020203';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';471;58;14473.1811;0;0;0;0;4892.22592;14473.1811;0;0;2477879.4;5235
'BU04020204';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';577;57;23918.9951;0;0;0;0;6752.33917;23918.9951;0;0;2481614.81;5236
'BU04020205';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';286;24;12109.0263;0;0;0;0;3416.44482;12109.0263;0;0;1019152.8;5237
'BU04020206';'WK040202';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';7;102;371.201843;0;0;0;0;91.5259527;371.201843;0;0;4201112.09;5238
'BU04020301';'WK040203';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';16;119;454.512276;0;0;0;0;161.4117;454.512276;0;0;1628186.12;5239
'BU04020302';'WK040203';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';616;9;20250.869;0;0;0;0;7080.4666;20250.869;0;0;1200968.1;5240
'BU04020303';'WK040203';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';845;80;16820.3255;0;6340.46579;0;0;8725.07979;23160.7913;0;0;1498375.2;5241
'BU04020304';'WK040203';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';3034;488;55814.5302;0;20574.5183;0;0;31294.6973;76389.0485;0;0;5371321.99;5242
'BU04020401';'WK040204';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1300;216;36643.2369;0;5665.30567;0;0;14574.6339;42308.5426;0;0;2800922.57;5243
'BU04020402';'WK040204';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';2307;156;71612.1586;0;0;0;0;25995.2309;71612.1586;0;0;4546661.17;5244
'BU04020403';'WK040204';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';810;127;30784.3871;0;0;0;0;9952.15503;30784.3871;0;0;2083480.6;5245
'BU04020404';'WK040204';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1620;256;46139.0256;0;5418.51133;0;0;18100.6788;51557.5369;0;0;3287280.07;5246
'BU04020405';'WK040204';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';2277;429;44600.6837;0;15316.5867;0;0;23085.5194;59917.2704;0;0;3193892.9;5247
'BU04020501';'WK040205';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1437;247;53633.7423;0;2370.25817;0;0;17329.1441;56004.0005;0;0;5351910.14;5248
'BU04020502';'WK040205';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';624;51;22729.0371;0;0;0;0;7071.34691;22729.0371;0;0;1544427.53;5249
'BU04020503';'WK040205';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';240;155;8951.05915;0;151.19102;0;0;2816.44168;9102.25017;0;0;2242750.64;5250
'BU04020504';'WK040205';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';97;4;5225.0676;0;0;0;0;1245.54388;5225.0676;0;0;517264.416;5251
'BU04020505';'WK040205';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1933;209;23297.9005;0;22578.7449;0;0;18466.0921;45876.6453;0;0;2479096.21;5252
'BU04020506';'WK040205';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';0;2;0;0;0;0;0;0;0;0;0;50268.9533;5253
'BU04020601';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1200;111;30014.8576;0;5850.94301;0;0;12945.3176;35865.8006;0;0;2778795.25;5254
'BU04020602';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1066;47;25963.5975;0;4551.33649;0;0;11382.4093;30514.934;0;0;2117928.49;5255
'BU04020603';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1916;142;45078.0703;0;8350.02387;0;0;20105.1336;53428.0941;0;0;3477114.91;5256
'BU04020604';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';2251;84;59920.7672;0;1596.46766;0;0;24343.5432;61517.2348;0;0;3566232.73;5257
