BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU03760101;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1893.36923;1815;78.3692308;0;0;0;2;2;14;21;391;4024;3506808;1191894;296;0;0;2657992.74;0;0;0;0;1913;0;2115
BU03760102;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;2567.85385;2235;332.853846;0;0;0;4;2;19;29;193;8659;7755700;2683176;310;0;0;6724739.57;0;0;0;0;2422;0;2116
BU03760103;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;8.66153846;1;7.66153846;0;0;0;4;10;32;23;2;49;47302;1382;28;0;0;45492.8022;0;0;0;0;4;0;2117
BU03760104;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;911.938462;816;95.9384615;0;11;0;1;2;13;25;325;1616;1263788;241690;150;0;0;1019981.24;0;0;400.76;0;531.24;0;2118
BU03760105;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;354.569231;56;298.569231;0;0;0;4;1;31;27;265;1284;792371;62102;48;0;0;688271.271;0;0;0;0;61;0;2119
BU03760106;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1;1;0;0;0;0;6;3;16;40;0;5;2839;1419;310;0;0;2372.74859;0;0;0;0;1;0;2120
BU03760107;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;0;0;0;0;0;0;0;0;0;0;0;0;20102;0;0;0;0;0;0;0;0;0;0;0;2121
BU03760108;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;0.0769230769;0;0.0769230769;0;0;0;1;113;138;4;0;0;8413;24;436;0;0;9201.05616;0;0;0;0;2;0;2122
BU03760109;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1.73076923;1;0.730769231;0;0;0;4;10;23;27;0;9;18362;894;104;0;0;19942.3047;0;0;0;0;2;0;2123
BU04020101;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;3735.93077;1893;1842.93077;0;0;0;2;2;37;15;1411;9284;8202764;1155707;124;0;0;6178500.68;0;0;0;0;2439;0;5229
BU04020102;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;1736.10769;1522;214.107692;0;0;0;2;2;18;19;1506;4027;3324944;1199489;298;0;0;2454339.17;0;0;0;0;1725;0;5230
BU04020103;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;1013.02308;836;177.023077;0;0;0;2;1;16;20;999;2636;2031951;718019;272;0;0;1593477.04;0;0;0;0;894;0;5231
BU04020104;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;1740.83846;936;804.838462;0;0;0;2;2;34;15;1270;4072;3838950;793491;195;0;0;2918829.98;0;0;0;0;1199;0;5232
BU04020201;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;2208.23846;1530;678.238462;0;0;0;3;2;23;22;537;7274;5541374;1633905;225;0;0;4564528.75;0;0;0;0;1741;0;5233
BU04020202;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;1017.4;641;376.4;0;0;0;3;2;30;24;540;4060;3039148;780100;192;0;0;2573540.07;0;0;0;0;730;0;5234
BU04020203;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;1177.86154;471;706.861538;0;0;0;3;1;40;18;720;4117;2897810;271210;66;0;0;2309546.56;0;0;0;0;529;0;5235
BU04020204;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;849.923077;577;272.923077;0;0;0;3;2;22;23;158;2799;2506734;648740;232;0;0;2199639.76;0;0;0;0;634;0;5236
BU04020205;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;364.284615;286;78.2846154;0;0;0;4;2;23;28;273;1349;1060284;290703;215;0;0;906136.627;0;0;0;0;310;0;5237
BU04020206;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;2443.33846;7;2436.33846;0;0;0;3;1;52;14;597;7929;5797268;-111373;-14;0;0;4594067.01;0;0;0;0;109;0;5238
BU04020301;WK040203;Hilversum;Noord-Holland Zuid;Noord-Holland;;726.869231;16;710.869231;0;0;0;2;1;43;9;106;1179;1681155;44777;38;0;0;1389353.23;0;0;0;0;135;0;5239
BU04020302;WK040203;Hilversum;Noord-Holland Zuid;Noord-Holland;;623.746154;616;7.74615385;0;0;0;3;1;14;24;1181;1609;1391893;631921;393;0;0;1112175.28;0;0;0;0;625;0;5240
BU04020303;WK040203;Hilversum;Noord-Holland Zuid;Noord-Holland;;971.346154;845;126.346154;0;0;0;2;2;15;19;736;2115;1809865;672408;318;0;0;1365218.34;0;0;0;0;925;0;5241
BU04020304;WK040203;Hilversum;Noord-Holland Zuid;Noord-Holland;;3908.41538;3034;874.415385;0;0;0;2;2;19;17;475;7827;6931089;1818590;232;0;0;5099418.27;0;0;0;0;3522;0;5242
BU04020401;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;1470.63846;1300;170.638462;0;0;0;3;2;18;23;1238;3947;3311556;1365137;346;0;0;2576006.85;0;0;0;0;1516;0;5243
BU04020402;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;2494.72308;2307;187.723077;0;0;0;3;1;16;23;978;6165;5358238;2147959;348;0;0;4216415.88;0;0;0;0;2463;0;5244
BU04020403;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;852.346154;810;42.3461538;0;0;0;3;2;17;27;709;2631;2328881;1050145;399;0;0;1918282.87;0;0;0;0;937;0;5245
BU04020404;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;1744.03846;1620;124.038462;0;0;0;3;2;16;23;952;4574;3829257;1565131;342;0;0;2963679.55;0;0;0;0;1876;0;5246
BU04020405;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;2421.75385;2277;144.753846;0;0;0;2;2;14;19;840;5051;4316486;1661664;329;0;0;3087214.74;0;0;0;0;2706;0;5247
BU04020501;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2060.36154;1437;623.361538;0;0;0;3;2;23;24;570;6747;5592634;1814747;269;0;0;4683357.51;0;0;0;0;1684;0;5248
BU04020502;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;675.9;624;51.9;0;0;0;3;3;16;25;122;1896;1686047;563193;297;0;0;1407161.95;0;0;0;0;675;0;5249
BU04020503;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;1620.23846;240;1380.23846;0;0;0;3;1;48;15;488;3449;3517421;-59055;-17;0;0;2699662.04;0;0;0;0;395;0;5250
BU04020504;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;121.176923;97;24.1769231;0;0;0;5;2;20;35;134;566;498516;145840;258;0;0;465590.085;0;0;0;0;101;0;5251
BU04020505;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2147.09231;1933;214.092308;0;0;0;2;1;14;18;911;4149;3553360;1317739;318;0;0;2544429.25;0;0;0;0;2142;0;5252
BU04020506;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2.78461538;0;2.78461538;0;0;0;1;8;65;5;3;2;46628;-624;-314;0;0;49585.6728;0;0;0;0;2;0;5253
BU04020601;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1559.46923;1200;359.469231;0;0;0;2;1;19;19;1071;3938;3232543;1106635;281;0;0;2540027.28;0;0;0;0;1311;0;5254
BU04020602;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1288.54615;1066;222.546154;0;0;0;2;1;18;19;1056;3092;2597869;926128;300;0;0;2016286.12;0;0;0;0;1113;0;5255
BU04020603;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2268.59231;1916;352.592308;0;0;0;2;1;18;19;925;4989;4240459;1406382;282;0;0;3197076.41;0;0;0;0;2058;0;5256
BU04020604;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2463.03846;2251;212.038462;0;0;0;2;1;15;20;1000;5379;4404412;1563091;291;0;0;3293311.19;0;0;0;0;2335;0;5257
BU04020605;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2858.4;2403;455.4;0;3;0;2;2;20;23;864;7686;6226770;2093871;272;0;0;4942474.89;0;0;262.9;0;2366.1;0;5258
BU04020606;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;216.623077;204;12.6230769;0;0;0;3;2;13;22;263;415;417053;98355;237;0;0;334954.444;0;0;0;0;208;0;5259
BU04020701;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;1031.49231;890;141.492308;0;0;0;3;2;17;24;749;2931;2568902;1020697;348;0;0;2124109.92;0;0;0;0;928;0;5260
BU04020702;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;811.992308;767;44.9923077;0;0;0;3;2;16;23;816;2160;1845769;780216;361;0;0;1463410.34;0;0;0;0;849;0;5261
