BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU03760101;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1893.36923;1815;78.3692308;0;0;0;0;2;12;29;540;4024;3708824;1393910;346;0;0;2861827.46;0;0;0;0;0;1913;2115
BU03760102;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;2567.85385;2235;332.853846;0;0;0;0;2;16;41;273;8659;8453102;3380578;390;0;0;7430217.53;0;0;0;0;0;2422;2116
BU03760103;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;8.66153846;1;7.66153846;0;0;0;0;10;29;34;4;49;51909;5989;122;0;0;50239.0669;0;0;0;0;0;4;2117
BU03760104;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;911.938462;816;95.9384615;0;11;0;0;2;12;29;377;1616;1323082;300984;186;0;0;1125185.47;0;0;400.76;0;0;531.24;2118
BU03760105;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;354.569231;56;298.569231;0;0;0;0;1;27;39;383;1284;983737;253468;197;0;0;890073.014;0;0;0;0;0;61;2119
BU03760106;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1;1;0;0;0;0;0;3;12;58;0;5;3324;1904;415;0;0;2858.81886;0;0;0;0;0;1;2120
BU03760107;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;0;0;0;0;0;0;0;0;0;0;0;0;20102;0;0;0;0;0;0;0;0;0;0;0;2121
BU03760108;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;0.0769230769;0;0.0769230769;0;0;0;0;113;144;6;0;0;8441;52;945;0;0;9228.75368;0;0;0;0;0;2;2122
BU03760109;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1.73076923;1;0.730769231;0;0;0;0;10;20;38;1;9;19043;1575;184;0;0;20624.4895;0;0;0;0;0;2;2123
BU04020101;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;3735.93077;1893;1842.93077;0;0;0;0;2;35;22;2069;9284;9006940;1959883;211;0;0;7013031.87;0;0;0;0;0;2439;5229
