BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas
BU03760101;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1893.36923;1815;78.3692308;38;0;0;0;2;12;38;707;0;2314914;0;0;3864484.93;2548058.56;1461050.66;1913;0;0;0;0;0
BU03760102;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;2567.85385;2235;332.853846;60;0;0;0;2;16;60;400;0;5072524;0;0;7569548.25;3210011.93;4035054.45;2422;0;0;0;0;0
BU03760103;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;8.66153846;1;7.66153846;102;0;0;0;10;29;102;11;0;45920;0;0;4441.38014;1497.04444;44180.8323;4;0;0;0;0;0
BU03760104;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;911.938462;816;95.9384615;21;13;0;0;2;12;34;442;0;1022098;0;0;1507868.81;1131837.16;684749.252;531.24;0;400.76;0;0;0
BU03760105;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;354.569231;56;298.569231;65;0;0;0;1;27;65;639;0;730269;0;0;219827.759;82044.3519;628960.695;61;0;0;0;0;0
BU03760106;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1;1;0;82;0;0;0;3;12;82;0;0;1420;0;0;4582.49369;1479.15556;951.545712;1;0;0;0;0;0
BU03760107;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;0;0;0;0;0;0;0;0;0;0;0;0;20102;0;0;0;0;0;0;0;0;0;0;0
BU03760108;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;0.0769230769;0;0.0769230769;13;0;0;0;113;144;13;0;0;8389;0;0;0;0;9173.1623;2;0;0;0;0;0
BU03760109;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1.73076923;1;0.730769231;88;0;0;0;10;20;88;1;0;17468;0;0;3561.45145;1346.34844;19040.935;2;0;0;0;0;0
BU04020101;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;3735.93077;1893;1842.93077;44;0;0;0;2;35;44;4138;0;7047057;0;0;3654187.24;2326774.39;4968984.03;2439;0;0;0;0;0
BU04020102;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;1736.10769;1522;214.107692;41;0;0;0;2;17;41;3250;0;2125455;0;0;3255707.82;1934713.07;1247258.1;1725;0;0;0;0;0
BU04020103;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;1013.02308;836;177.023077;47;0;0;0;1;14;47;2348;0;1313932;0;0;1948207.66;1093079.7;872715.537;894;0;0;0;0;0
BU04020104;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;1740.83846;936;804.838462;42;0;0;0;2;32;42;3555;0;3045459;0;0;1866300.03;1152993.19;2101740.68;1199;0;0;0;0;0
BU04020201;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;2208.23846;1530;678.238462;59;0;0;0;2;20;59;1439;0;3907469;0;0;4234673.48;2023317.25;2921054.9;1741;0;0;0;0;0
BU04020202;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;1017.4;641;376.4;71;0;0;0;2;27;71;1599;0;2259048;0;0;2106756.54;916580.034;1786137.38;730;0;0;0;0;0
BU04020203;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;1177.86154;471;706.861538;63;0;0;0;1;38;63;2520;0;2626600;0;0;1119164.34;595004.997;2023464.13;529;0;0;0;0;0
BU04020204;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;849.923077;577;272.923077;59;0;0;0;2;19;59;406;0;1857994;0;0;1809232.55;795677.075;1547078.62;634;0;0;0;0;0
BU04020205;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;364.284615;286;78.2846154;66;0;0;0;2;20;66;643;0;769581;0;0;929509.636;402338.082;613847.397;310;0;0;0;0;0
BU04020206;WK040202;Hilversum;Noord-Holland Zuid;Noord-Holland;;2443.33846;7;2436.33846;58;0;0;0;1;50;58;2475;0;5908641;0;0;30382.3253;10324.7511;4665598.17;109;0;0;0;0;0
BU04020301;WK040203;Hilversum;Noord-Holland Zuid;Noord-Holland;;726.869231;16;710.869231;29;0;0;0;1;42;29;341;0;1636378;0;0;37724.9884;19395.7364;1331768.98;135;0;0;0;0;0
BU04020302;WK040203;Hilversum;Noord-Holland Zuid;Noord-Holland;;623.746154;616;7.74615385;46;0;0;0;1;12;46;2263;0;759972;0;0;1586445.85;848430.559;478632.273;625;0;0;0;0;0
BU04020303;WK040203;Hilversum;Noord-Holland Zuid;Noord-Holland;;971.346154;845;126.346154;39;0;0;0;2;13;39;1511;0;1137457;0;0;1803196.06;1089437.12;689722.344;925;0;0;0;0;0
BU04020304;WK040203;Hilversum;Noord-Holland Zuid;Noord-Holland;;3908.41538;3034;874.415385;36;0;0;0;2;17;36;1006;0;5112499;0;0;5794073.78;3968891.38;3261699.69;3522;0;0;0;0;0
BU04020401;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;1470.63846;1300;170.638462;48;0;0;0;2;16;48;2584;0;1946419;0;0;3418788.53;1772430.99;1206152.65;1516;0;0;0;0;0
BU04020402;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;2494.72308;2307;187.723077;44;0;0;0;1;14;44;1870;0;3210279;0;0;5493061.85;3149061.06;2060913.88;2463;0;0;0;0;0
BU04020403;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;852.346154;810;42.3461538;55;0;0;0;2;14;55;1445;0;1278736;0;0;2500632.8;1170462.44;865664.11;937;0;0;0;0;0
BU04020404;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;1744.03846;1620;124.038462;47;0;0;0;2;14;47;1945;0;2264126;0;0;4119293.98;2179754.92;1394025.38;1876;0;0;0;0;0
BU04020405;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;2421.75385;2277;144.753846;37;0;0;0;2;12;37;1636;0;2654822;0;0;4665855.44;2871834.66;1419879.01;2706;0;0;0;0;0
BU04020501;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2060.36154;1437;623.361538;59;0;0;0;2;21;59;1402;0;3777887;0;0;4462550.82;2046693.33;2863563.43;1684;0;0;0;0;0
BU04020502;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;675.9;624;51.9;50;0;0;0;3;13;50;244;0;1122854;0;0;1665679.35;861685.461;842490.428;675;0;0;0;0;0
BU04020503;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;1620.23846;240;1380.23846;38;0;0;0;1;45;38;1237;0;3576476;0;0;718807.235;332963.554;2735220.56;395;0;0;0;0;0
BU04020504;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;121.176923;97;24.1769231;84;0;0;0;2;15;84;322;0;352676;0;0;394396.88;144497.506;319785.455;101;0;0;0;0;0
BU04020505;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2147.09231;1933;214.092308;35;0;0;0;1;12;35;1771;0;2235621;0;0;3557850.72;2357513.67;1222057.49;2142;0;0;0;0;0
BU04020506;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2.78461538;0;2.78461538;13;0;0;0;8;65;13;8;0;47252;0;0;0;0;50163.0643;2;0;0;0;0;0
BU04020601;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1559.46923;1200;359.469231;45;0;0;0;1;17;45;2537;0;2125908;0;0;2848713.91;1597876.69;1426525.28;1311;0;0;0;0;0
BU04020602;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1288.54615;1066;222.546154;43;0;0;0;1;16;43;2391;0;1671741;0;0;2347066.54;1407951.97;1085043.9;1113;0;0;0;0;0
BU04020603;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2268.59231;1916;352.592308;39;0;0;0;1;16;39;1899;0;2834077;0;0;4054839.63;2511577.85;1780410.35;2058;0;0;0;0;0
BU04020604;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2463.03846;2251;212.038462;39;0;0;0;1;13;39;1950;0;2841321;0;0;4464948.29;3014542.72;1724386.67;2335;0;0;0;0;0
