BU_CODE;WK_CODE;Gemeente;RES;Provincie;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_Elektriciteit;Vraag_Warmte_totaal;CO2_uitstoot;Maatschappelijke_kosten,
BU07430000;WK074300;Asten;Metropoolregio Eindhoven;Noord-Brabant;4242;572;0;0;0;60206.2234;24344.7596;0;12874987.3,
BU07430001;WK074300;Asten;Metropoolregio Eindhoven;Noord-Brabant;967;17;0;0;0;17832.2711;7486.35395;0;3285259.16,
BU07430002;WK074300;Asten;Metropoolregio Eindhoven;Noord-Brabant;205;23;0;0;0;4120.68042;1863.43466;0;1005635.89,
BU07430008;WK074300;Asten;Metropoolregio Eindhoven;Noord-Brabant;58;0;0;0;0;1181.76639;543.129272;0;345892.942,
BU07430009;WK074300;Asten;Metropoolregio Eindhoven;Noord-Brabant;77;10;0;0;0;1558.05125;710.220375;0;610237.382,
BU07430100;WK074301;Asten;Metropoolregio Eindhoven;Noord-Brabant;602;32;0;0;0;10650.6358;4710.03772;0;1823179.51,
BU07430109;WK074301;Asten;Metropoolregio Eindhoven;Noord-Brabant;286;27;0;0;0;5795.51203;2679.36451;0;6464789.42,
BU07430200;WK074302;Asten;Metropoolregio Eindhoven;Noord-Brabant;229;8;0;0;0;4429.29857;1955.96785;0;668061.07,
BU07430209;WK074302;Asten;Metropoolregio Eindhoven;Noord-Brabant;92;8;0;0;0;1831.89699;851.900991;0;599277.662,
BU07430809;WK074308;Asten;Metropoolregio Eindhoven;Noord-Brabant;50;2;0;0;0;1034.10375;483.553994;0;1011815.87,
BU07430909;WK074309;Asten;Metropoolregio Eindhoven;Noord-Brabant;17;2;0;0;0;342.990488;155.808408;0;183699.63,
BU07530001;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;1022;223;0;0;0;14925.1968;5424.64887;0;3160344.95,
BU07530002;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;851;79;0;0;0;13971.4459;4998.26093;0;1765676.22,
BU07530003;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;512;7;0;0;0;9338.39018;3701.74634;0;1079143.28,
BU07530004;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;776;32;0;0;0;13189.7414;5071.37959;0;1496648.74,
BU07530005;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;88;5;0;0;0;1952.30618;983.189216;0;312099.717,
BU07530006;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;214;29;0;0;0;3864.2569;1508.37226;0;482886.992,
BU07530007;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;1354;70;0;0;0;24826.2962;10008.2856;0;3157815.8,
BU07530008;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;1682;192;0;0;0;27939.605;10161.1371;0;3529239.96,
BU07530009;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;1713;190;0;0;0;29869.0434;11615.5979;0;4210850.03,
BU07530010;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;39;285;0;0;0;727.021238;301.649558;0;4504273.16,
BU07530011;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;13;204;0;0;0;244.689644;103.562124;0;2720583.03,
BU07530012;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;0;4;0;0;0;0;0;0;772428.054,
BU07530013;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;1246;14;0;0;0;23539.6611;9937.49986;0;2262844.99,
BU07530014;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;1453;36;0;0;0;27128.5813;11789.7196;0;2991252.92,
BU07530015;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;727;84;0;0;0;14728.5106;6761.7717;0;8349358.52,
BU07530016;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;273;11;0;0;0;5326.57739;2401.12331;0;666047.895,
BU07530017;WK075300;Best;Metropoolregio Eindhoven;Noord-Brabant;558;5;0;0;0;9974.75689;3831.89417;0;1082732.44,
BU07620000;WK076200;Deurne;Metropoolregio Eindhoven;Noord-Brabant;3189;429;0;0;0;42606.8637;17201.5202;0;9057113.9,
BU07620001;WK076200;Deurne;Metropoolregio Eindhoven;Noord-Brabant;1119;46;0;0;0;15867.6381;6793.89302;0;3574786.67,
BU07620002;WK076200;Deurne;Metropoolregio Eindhoven;Noord-Brabant;753;25;0;0;0;10770.9094;4590.39223;0;2043542.03,
BU07620003;WK076200;Deurne;Metropoolregio Eindhoven;Noord-Brabant;397;13;0;0;0;7687.23009;3452.12513;0;1519950.26,
BU07620004;WK076200;Deurne;Metropoolregio Eindhoven;Noord-Brabant;1776;27;0;0;0;31471.332;12295.979;0;3625163.54,
BU07620005;WK076200;Deurne;Metropoolregio Eindhoven;Noord-Brabant;1953;24;0;0;0;35608.3276;14433.4737;0;3875672.52,
BU07620006;WK076200;Deurne;Metropoolregio Eindhoven;Noord-Brabant;297;143;0;0;0;5842.47201;2657.53849;0;3261597.35,
BU07620007;WK076200;Deurne;Metropoolregio Eindhoven;Noord-Brabant;156;4;0;0;0;3152.97323;1455.27707;0;384083.029,
BU07620009;WK076200;Deurne;Metropoolregio Eindhoven;Noord-Brabant;1140;87;0;0;0;23083.3795;10693.3656;0;7248614.69,
BU07620100;WK076201;Deurne;Metropoolregio Eindhoven;Noord-Brabant;437;20;0;0;0;7405.54473;3261.67521;0;1227679.09,
BU07620109;WK076201;Deurne;Metropoolregio Eindhoven;Noord-Brabant;90;100;0;0;0;1836.37446;853.381896;0;618628.683,
BU07620200;WK076202;Deurne;Metropoolregio Eindhoven;Noord-Brabant;1059;56;0;0;0;16255.2234;6891.15769;0;3166186.88,
BU07620209;WK076202;Deurne;Metropoolregio Eindhoven;Noord-Brabant;282;18;0;0;0;5694.94134;2601.88286;0;1500697.61,
BU07620300;WK076203;Deurne;Metropoolregio Eindhoven;Noord-Brabant;566;25;0;0;0;10327.7726;4519.42627;0;1680109.65,
BU07620309;WK076203;Deurne;Metropoolregio Eindhoven;Noord-Brabant;193;6;0;0;0;3849.83461;1744.79701;0;1096928.38,
BU07620400;WK076204;Deurne;Metropoolregio Eindhoven;Noord-Brabant;301;15;0;0;0;5460.30151;2391.53039;0;1996200.37,
BU07620409;WK076204;Deurne;Metropoolregio Eindhoven;Noord-Brabant;82;12;0;0;0;1616.10841;721.260492;0;889174.733,
BU07700000;WK077000;Eersel;Metropoolregio Eindhoven;Noord-Brabant;1460;228;0;0;0;17286.1766;7073.75421;0;4573397.36,
BU07700001;WK077000;Eersel;Metropoolregio Eindhoven;Noord-Brabant;419;9;0;0;0;7540.27496;3249.42824;0;1048199.83,
BU07700002;WK077000;Eersel;Metropoolregio Eindhoven;Noord-Brabant;798;161;0;0;0;13663.0186;5243.35867;0;1756246.67,
BU07700003;WK077000;Eersel;Metropoolregio Eindhoven;Noord-Brabant;714;66;0;0;0;13047.8058;5341.34221;0;1424180.2,
