bron_naam;Label;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
newasco van houten b v   heemstede;21;4.62949;52.3463;1999;1999;2;0.7;0.3;30;50;250;;0.324677601;LT
lamme textielbeheer bv  nederhorst den berg;41;5.04662;52.2731;1999;1999;2;0.7;0.3;30;50;250;;0.0109774737;LT
martinez chocolade bv;151;4.83918;52.2807;1999;1999;24;0.7;0.3;30;50;250;;0.0170997171;LT
brouwerij  t ij bv;152;4.92647;52.3667;1999;1999;24;0.7;0.3;30;50;250;;0.119061599;LT
dutch cocoa bv;154;4.75981;52.4095;1999;1999;24;0.7;0.3;30;50;250;;0.00566677632;LT
expalkan v  bv;155;4.91842;52.3773;1999;1999;24;0.7;0.3;30;50;250;;0.131028474;LT
green egg bv;156;4.90097;52.3798;1999;1999;24;0.7;0.3;30;50;250;;0.0486883421;LT
heartland sweeteners europe bv;157;4.75425;52.4036;1999;1999;24;0.7;0.3;30;50;250;;0.00269348026;LT
klas doner production bv;158;4.89457;52.3824;1999;1999;24;0.7;0.3;30;50;250;;0.203297411;LT
lovechock bv;159;4.90411;52.3909;1999;1999;24;0.7;0.3;30;50;250;;0.132435467;LT
marleen kookt bv;160;4.87555;52.3798;1999;1999;24;0.7;0.3;30;50;250;;0.394600826;LT
udkvm bv;161;4.78026;52.3905;1999;1999;24;0.7;0.3;30;50;250;;0.000120986842;LT
winclove bv;162;4.90797;52.3967;1999;1999;24;0.7;0.3;30;50;250;;0.180513789;LT
chocoladefabriek     de beemster     bv;185;4.90261;52.5534;1999;1999;24;0.7;0.3;30;50;250;;0.0104491513;LT
a f  stam bv;267;4.95607;52.3409;1999;1999;24;0.7;0.3;30;50;250;;0.0382623553;LT
freek schilder vissnacks bv;278;5.08077;52.5069;1999;1999;24;0.7;0.3;30;50;250;;0.0265591374;LT
smilde bakery bv;280;5.04057;52.5157;1999;1999;24;0.7;0.3;30;50;250;;0.0175680559;LT
holland paling bv;331;4.68165;52.4135;1999;1999;24;0.7;0.3;30;50;250;;0.00153993421;LT
otelli bv;332;4.66363;52.3989;1999;1999;24;0.7;0.3;30;50;250;;0.003007125;LT
a l  hoogesteger fresh specialist bv;333;4.7384;52.3799;1999;1999;24;0.7;0.3;30;50;250;;0.00991905263;LT
cargill meats holland bv;334;4.74911;52.3035;1999;1999;24;0.7;0.3;30;50;250;;0.00524780921;LT
kaaskeuken bv;336;4.62661;52.2546;1999;1999;24;0.7;0.3;30;50;250;;0.000246546053;LT
mccain foods holland bv;337;4.7118;52.2917;1999;1999;24;0.7;0.3;30;50;250;;0.0113852368;LT
solina netherlands bv;338;4.64693;52.2689;1999;1999;24;0.7;0.3;30;50;250;;0.00401740132;LT
van maanen verkoop bv;351;4.62084;52.3539;1999;1999;24;0.7;0.3;30;50;250;;0.106061816;LT
adriaan goede bv;411;4.90722;52.4239;1999;1999;24;0.7;0.3;30;50;250;;0.0426976382;LT
royaan bv;501;4.8635;52.4328;1999;1999;24;0.7;0.3;30;50;250;;0.00810780921;LT
van der zee vlees bv;514;4.9278;52.3282;1999;1999;24;0.7;0.3;30;50;250;;0.0102814934;LT
hesseling vlees bv;518;4.99724;52.5219;1999;1999;24;0.7;0.3;30;50;250;;0.000214967105;LT
uitsnijderij dao bv;519;4.988;52.5024;1999;1999;24;0.7;0.3;30;50;250;;7.56907895E-05;LT
bakels senior nv;657;5.02707;52.3147;1999;1999;24;0.7;0.3;30;50;250;;0.167257023;LT
bracamonte daily foods bv;658;5.02209;52.3139;1999;1999;24;0.7;0.3;30;50;250;;0.00659804605;LT
adm cocoa bv;678;4.80651;52.4885;1999;1999;24;0.7;0.3;30;50;250;;0.0347826053;LT
cargill bv;679;4.79552;52.4966;1999;1999;24;0.7;0.3;30;50;250;;0.00498860526;LT
aak netherlands bv;680;4.80723;52.4773;1999;1999;24;0.7;0.3;30;50;250;;0.0285393026;LT
ayal kaas bv;681;4.81277;52.4293;1999;1999;24;0.7;0.3;30;50;250;;0.000827927632;LT
bonbonatelier n  limmen bv;682;4.80128;52.4295;1999;1999;24;0.7;0.3;30;50;250;;0.000185296053;LT
cargill bv;683;4.81653;52.4638;1999;1999;24;0.7;0.3;30;50;250;;0.00528523026;LT
danisco zaandam bv;684;4.82222;52.4472;1999;1999;24;0.7;0.3;30;50;250;;0.0423205263;LT
dp zaandam bv;685;4.82799;52.4392;1999;1999;24;0.7;0.3;30;50;250;;0.0437213816;LT
duyvis production bv;686;4.81639;52.4702;1999;1999;24;0.7;0.3;30;50;250;;0.00261953618;LT
frites uit zuyd bv;687;4.83082;52.4206;1999;1999;24;0.7;0.3;30;50;250;;0.00159689145;LT
hansel salades en sauzen bv;688;4.84776;52.4188;1999;1999;24;0.7;0.3;30;50;250;;0.000285296053;LT
ioi loders croklaan oils bv;689;4.8093;52.4842;1999;1999;24;0.7;0.3;30;50;250;;0.00156197039;LT
jan schoemaker bv;690;4.82672;52.4716;1999;1999;24;0.7;0.3;30;50;250;;0.00300877632;LT
loders croklaan bv;691;4.8093;52.4842;1999;1999;24;0.7;0.3;30;50;250;;0.00156197039;LT
meneba wormerveer bv;692;4.79303;52.5021;1999;1999;24;0.7;0.3;30;50;250;;0.0110928026;LT
stepan specialty products bv;693;4.80821;52.4679;1999;1999;24;0.7;0.3;30;50;250;;0.00812623684;LT
tate   lyle netherlands bv;694;4.81243;52.4655;1999;1999;24;0.7;0.3;30;50;250;;0.00995447697;LT
twincon bv;695;4.80763;52.4701;1999;1999;24;0.7;0.3;30;50;250;;0.0213827237;LT
vers vlees voor hond en kat lotgering bv;696;4.81572;52.4569;1999;1999;24;0.7;0.3;30;50;250;;0.0415033717;LT
albert heijn bv;1278;4.74648;52.2682;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.00110979;LT
albert heijn bv;1279;4.79481;52.2746;1999;1999;0.485872099;0.7;0.3;30;50;250;;0.499483301;LT
hoogvliet bv;1280;4.76466;52.2533;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.01009339;LT
hoogvliet bv;1281;4.78773;52.2783;1999;1999;0.242936049;0.7;0.3;30;50;250;;0.00306496136;LT
zaal supermarkten bv;1282;4.76243;52.2644;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.00466636;LT
albert heijn bv;1388;4.86013;52.3033;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00548879;LT
albert heijn bv;1389;4.8395;52.2889;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.07736686;LT
albert heijn bv;1390;4.86997;52.2888;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00062071;LT
albert heijn bv;1391;4.82651;52.2819;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.12836713;LT
albert heijn bv;1392;4.86604;52.318;1999;1999;0.113370123;0.7;0.3;30;50;250;;0;LT
albert heijn bv;1393;4.87535;52.312;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.10124043;LT
albert heijn bv;1394;4.85149;52.2813;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00622697;LT
coop supermarkten bv;1395;4.86227;52.2796;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.00622697;LT
deen winkels bv;1396;4.87486;52.3021;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00548879;LT
jumbo supermarkten bv;1397;4.86924;52.289;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.00062071;LT
albert heijn bv;1400;4.85529;52.3641;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00399392;LT
albert heijn bv;1401;4.9397;52.3974;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.00029411;LT
albert heijn bv;1402;4.89614;52.4225;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00105435;LT
albert heijn bv;1403;4.93991;52.3502;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.00524473;LT
albert heijn bv;1404;4.82669;52.355;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.0001551;LT
albert heijn bv;1405;4.83755;52.3638;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.0013181;LT
albert heijn bv;1406;4.93978;52.3623;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00261378;LT
albert heijn bv;1407;4.85602;52.3817;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.02516567;LT
albert heijn bv;1409;4.91238;52.3623;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00709382;LT
albert heijn bv;1410;4.92436;52.3664;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.00253999;LT
albert heijn bv;1411;4.89396;52.3748;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00884304;LT
albert heijn bv;1412;4.8704;52.3666;1999;1999;0.242936049;0.7;0.3;30;50;250;;0;LT
albert heijn bv;1417;4.86964;52.3537;1999;1999;0.113370123;0.7;0.3;30;50;250;;0;LT
albert heijn bv;1419;4.86411;52.3622;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00039063;LT
albert heijn bv;1420;4.87963;52.3572;1999;1999;0.485872099;0.7;0.3;30;50;250;;0;LT
albert heijn bv;1421;4.87852;52.3311;1999;1999;1.13370154;0.7;0.3;30;50;250;;1.00431459;LT
albert heijn bv;1422;4.95513;52.3156;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00270151;LT
albert heijn bv;1425;4.87767;52.3488;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00796507;LT
albert heijn bv;1426;4.8919;52.351;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.0023182;LT
albert heijn bv;1427;4.89389;52.3739;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00884304;LT
albert heijn bv;1428;4.93171;52.363;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00282912;LT
albert heijn bv;1429;4.92008;52.3548;1999;1999;0.113370123;0.7;0.3;30;50;250;;0;LT
albert heijn bv;1430;4.88394;52.3739;1999;1999;0.113370123;0.7;0.3;30;50;250;;0;LT
albert heijn bv;1431;4.86389;52.3458;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00259649;LT
albert heijn bv;1433;4.8029;52.3595;1999;1999;0.485872099;0.7;0.3;30;50;250;;0;LT
albert heijn bv;1436;4.84029;52.349;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.0001961;LT
albert heijn bv;1440;4.88916;52.3672;1999;1999;0.242936049;0.7;0.3;30;50;250;;0;LT
albert heijn bv;1441;4.86219;52.3597;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00039063;LT
albert heijn bv;1444;4.87781;52.3917;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00146129;LT
albert heijn bv;1446;4.8613;52.3748;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.00456834;LT
albert heijn bv;1447;4.81091;52.3458;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00057976;LT
albert heijn bv;1448;4.89975;52.3612;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00568881;LT
albert heijn bv;1449;4.87605;52.3836;1999;1999;0.113370123;0.7;0.3;30;50;250;;0;LT
albert heijn bv;1451;4.8914;52.3442;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00469255;LT
albert heijn bv;1452;4.87473;52.3628;1999;1999;0.242936049;0.7;0.3;30;50;250;;0;LT
albert heijn bv;1453;4.9066;52.3434;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.01053529;LT
albert heijn bv;1454;4.84682;52.3786;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.0023039;LT
albert heijn bv;1455;4.89304;52.417;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00105435;LT
albert heijn bv;1458;4.89518;52.346;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.01155601;LT
albert heijn bv;1459;4.89021;52.3546;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.01029698;LT
aldi;1461;4.85996;52.3257;1999;1999;0.048587222;0.7;0.3;30;50;250;;0;LT
biotoop van swindenstraat bv;1462;4.92589;52.3622;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.00282912;LT
brasserie van dam bv;1464;4.87073;52.3557;1999;1999;0.113370123;0.7;0.3;30;50;250;;0;LT
coop supermarkten bv;1465;4.78542;52.3554;1999;1999;0.113370123;0.7;0.3;30;50;250;;0;LT
coop supermarkten bv;1466;4.88969;52.354;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.01029698;LT
de avondmarkt;1467;4.87645;52.3831;1999;1999;0.048587222;0.7;0.3;30;50;250;;0;LT
deen winkels bv;1469;4.89505;52.3435;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00469255;LT
deka supermarkten bv;1470;4.95193;52.3968;1999;1999;0.048587222;0.7;0.3;30;50;250;;0;LT
deka supermarkten bv;1471;4.81893;52.3764;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.0013558;LT
detailconsult supermarkten bv;1472;4.84758;52.378;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.0023039;LT
detailconsult supermarkten bv;1473;4.90466;52.347;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.01053529;LT
geelhoed eetwinkel bv;1477;4.93156;52.3777;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00377944;LT
haducto bv;1478;4.88403;52.3849;1999;1999;0.242936049;0.7;0.3;30;50;250;;0;LT
jumbo supermarkten bv;1480;4.85515;52.3588;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00262045;LT
jumbo supermarkten bv;1482;4.93578;52.3991;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.00029411;LT
kooistra supermarkt stiens bv;1483;4.85515;52.3588;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00262045;LT
kwb wittenburg bv;1484;4.91982;52.37;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00272978;LT
lidl nederland gmbh;1486;4.83987;52.3491;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.0001961;LT
lidl nederland gmbh;1487;4.79345;52.3567;1999;1999;0.113370123;0.7;0.3;30;50;250;;0;LT
lidl nederland gmbh;1488;4.92478;52.3505;1999;1999;0.113370123;0.7;0.3;30;50;250;;0;LT
lidl nederland gmbh;1489;4.91699;52.4078;1999;1999;0.242936049;0.7;0.3;30;50;250;;0;LT
lidl nederland gmbh;1490;4.87715;52.3645;1999;1999;0.048587222;0.7;0.3;30;50;250;;0;LT
lidl nederland gmbh;1491;4.85504;52.3587;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.00262045;LT
lidl nederland gmbh;1492;4.94067;52.3614;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00261378;LT
marqt bv;1494;4.8979;52.3654;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00568881;LT
marqt bv;1495;4.86602;52.346;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00259649;LT
marqt bv;1497;4.8851;52.3704;1999;1999;0.113370123;0.7;0.3;30;50;250;;0;LT
pasteuning wijn   catering bv;1500;4.87782;52.3578;1999;1999;0.048587222;0.7;0.3;30;50;250;;0;LT
sean bv;1501;4.8681;52.3245;1999;1999;0.113370123;0.7;0.3;30;50;250;;0;LT
slooten supermarkt bv;1502;4.91702;52.4078;1999;1999;0.113370123;0.7;0.3;30;50;250;;0;LT
stationsfoodstore bv;1506;4.91867;52.3467;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00492821;LT
stationsfoodstore bv;1507;4.948;52.3131;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00020643;LT
super west bv;1509;4.85789;52.3715;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00456834;LT
supermarkt peperkamp bv;1510;4.92381;52.3505;1999;1999;0.242936049;0.7;0.3;30;50;250;;0;LT
supermarkt reigersbos bv;1511;4.97612;52.2945;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.0004451;LT
supermarkt verboom bv;1512;4.98755;52.2969;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.0004451;LT
vomar voordeelmarkt bv;1515;4.84611;52.3793;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.02184399;LT
vomar voordeelmarkt bv;1517;4.95555;52.315;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00270151;LT
vomar voordeelmarkt bv;1518;4.96326;52.2999;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00275108;LT
vomar voordeelmarkt bv;1519;4.92381;52.3505;1999;1999;0.242936049;0.7;0.3;30;50;250;;0;LT
warea bv;1520;4.95539;52.3928;1999;1999;0.485872099;0.7;0.3;30;50;250;;0;LT
albert heijn bv;1691;4.66067;52.4826;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00164528;LT
vomar voordeelmarkt bv;1697;4.651;52.4889;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00164528;LT
nijenhuis supermarkt;1701;5.26521;52.2868;1999;1999;0.113370123;0.7;0.3;30;50;250;;0.134493029;LT
supermarkt ton blaricum bv;1702;5.24368;52.2735;1999;1999;0.485872099;0.7;0.3;30;50;250;;0.0314853948;LT
albert heijn bv;1703;4.60883;52.3907;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.10601444;LT
p  hulsbosch vof;1704;4.57513;52.3196;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.01353809;LT
stach bv;1705;4.60754;52.388;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.10601444;LT
zwetsloot retail bv;1706;4.5996;52.3207;1999;1999;0.113370123;0.7;0.3;30;50;250;;0.277174562;LT
albert heijn bv;1896;4.96343;52.3424;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.00005006;LT
aldi;1897;4.95714;52.3335;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00004568;LT
deen winkels bv;1898;4.96214;52.3418;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00005006;LT
super vlaanderen;1900;4.95714;52.3335;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00004568;LT
deen winkels bv;1959;5.07225;52.4937;1999;1999;0.048587222;0.7;0.3;30;50;250;;0;LT
deen winkels bv;1960;5.07004;52.4993;1999;1999;0.242936049;0.7;0.3;30;50;250;;0;LT
deen winkels bv;1961;5.05305;52.4978;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.00162755;LT
deen winkels bv;1962;5.05298;52.5072;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.00162755;LT
albert heijn bv;2149;5.02221;52.3349;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.00035098;LT
albert heijn bv;2150;5.18369;52.2682;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00300275;LT
albert heijn bv;2151;5.16595;52.2716;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00327001;LT
albert heijn bv;2152;5.16275;52.2962;1999;1999;0.048587222;0.7;0.3;30;50;250;;0.476187242;LT
albert heijn bv;2153;5.16094;52.2758;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.00122662;LT
albert heijn bv;2154;5.17161;52.2884;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00054272;LT
bv nettorama verbruikersmarkten;2155;5.16605;52.2745;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.00327001;LT
deen winkels bv;2156;5.16881;52.2666;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00712276;LT
supermarkt holts bv;2157;5.14913;52.2846;1999;1999;0.048587222;0.7;0.3;30;50;250;;0.174308938;LT
vomar voordeelmarkt bv;2158;5.16439;52.2779;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00122662;LT
albert heijn bv;2223;4.63576;52.3845;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00015908;LT
albert heijn bv;2224;4.63092;52.3764;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00076076;LT
albert heijn bv;2225;4.64514;52.3984;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.00038727;LT
deka supermarkten bv;2227;4.65007;52.409;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.05322096;LT
deka supermarkten bv;2228;4.63795;52.4083;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.00689566;LT
deka supermarkten bv;2229;4.64729;52.3796;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00548003;LT
deka supermarkten bv;2230;4.60422;52.3833;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.00435763;LT
deka supermarkten bv;2231;4.66124;52.3781;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00221827;LT
deka supermarkten bv;2232;4.64566;52.4016;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00038727;LT
deka supermarkten bv;2234;4.6423;52.3717;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.02084995;LT
deka supermarkten bv;2235;4.65268;52.4159;1999;1999;0.113370123;0.7;0.3;30;50;250;;0;LT
deka supermarkten bv;2236;4.63223;52.3806;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00076076;LT
deka supermarkten bv;2238;4.6293;52.3938;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00142157;LT
jumbo haarlem;2239;4.65384;52.3519;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.02421366;LT
plus3;2242;4.64856;52.4171;1999;1999;0.113370123;0.7;0.3;30;50;250;;0;LT
stationsfoodstore bv;2243;4.63968;52.3884;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.34930913;LT
supermarkt van der wijden bv;2244;4.63167;52.4004;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.00142157;LT
vof bouwens ravestein supermarkten   slijterijen;2245;4.6469;52.417;1999;1999;0.485872099;0.7;0.3;30;50;250;;0;LT
vomar voordeelmarkt bv;2246;4.64817;52.3647;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00254623;LT
vomar voordeelmarkt bv;2247;4.64904;52.391;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.00041646;LT
vomar voordeelmarkt bv;2249;4.66371;52.3553;1999;1999;0.242936049;0.7;0.3;30;50;250;;0.75735575;LT
vomar voordeelmarkt bv;2250;4.63844;52.3732;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.02084995;LT
