bron_naam;Label;x_coord;y_coord;ingebruik;uitgebruik;Categorie_rel;MWth_max;bron_vol;bron_cap;T_bron;P_ow_max;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor
Newasco Van Houten B V   HEEMSTEDE;21;4.62949;52.3463;1999;1999;4;2;0.7;0.3;30;2000;50;250;0;0.32358647
Lamme Textielbeheer BV  NEDERHORST DEN BERG;41;5.04662;52.2731;1999;1999;4;2;0.7;0.3;30;2000;50;250;0;0.00630734211
Martinez Chocolade BV;151;4.83918;52.2807;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.0171072829
Brouwerij  t IJ BV;152;4.92647;52.3667;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.119085349
Cargill BV;153;4.76966;52.411;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0
Dutch Cocoa BV;154;4.75981;52.4095;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.00566677632
Expalkan V  BV;155;4.91842;52.3773;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.131057059
Green Egg BV;156;4.90097;52.3798;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.0484151974
Heartland Sweeteners Europe BV;157;4.75425;52.4036;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.00269348026
Klas Doner Production BV;158;4.89457;52.3824;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.116762961
Lovechock BV;159;4.90411;52.3909;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.122057214
Marleen Kookt BV;160;4.87555;52.3798;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.209848691
Udkvm BV;161;4.78026;52.3905;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.000120986842
Winclove BV;162;4.90797;52.3967;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.073183102
Chocoladefabriek     De Beemster     BV;185;4.90261;52.5534;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.0104491513
Co1peratieve Zuivelonderneming Cono BA;186;4.87435;52.5567;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0
A F  Stam BV;267;4.95607;52.3409;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.0382943947
Freek Schilder Vissnacks BV;278;5.08077;52.5069;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.000907539474
Platvis Holland BV;279;5.03914;52.5156;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0
Smilde Bakery BV;280;5.04057;52.5157;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.0172235164
Holland Paling BV;331;4.68165;52.4135;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.00324822368
Otelli BV;332;4.66363;52.3989;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.003007125
A L  Hoogesteger Fresh Specialist BV;333;4.7384;52.3799;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.00991905263
Cargill Meats Holland BV;334;4.74911;52.3035;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.00524780921
Gepo Vleeswaren BV;335;4.63473;52.254;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0
Kaaskeuken BV;336;4.62661;52.2546;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.000246546053
Mccain Foods Holland BV;337;4.7118;52.2917;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.0113852368
Solina Netherlands BV;338;4.64693;52.2689;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.00401740132
Van Maanen Verkoop BV;351;4.62084;52.3539;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.0812427368
Jan Veerman Vis BV;392;5.24473;52.3061;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0
Adriaan Goede BV;411;4.90722;52.4239;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.00991165132
Royaan BV;501;4.8635;52.4328;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.00810780921
Van der Zee Vlees BV;514;4.9278;52.3282;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.0103100789
Hesseling Vlees BV;518;4.99724;52.5219;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.000214967105
