bron_naam;Label;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
Textielreiniging Het Springendal B V   OUD OOTMARSUM;11;6.91739;52.4313;1999;1999;2;0.7;0.3;30;50;250;0;0.769742684;LT
CleanLease  ENSCHEDE;16;6.88246;52.2385;1999;1999;2;0.7;0.3;30;50;250;0;1.00055707;LT
Textielreiniging Het Springendal B V   VROOMSHOOP;39;6.56658;52.449;1999;1999;2;0.7;0.3;30;50;250;0;0.264142105;LT
Bolletje BV;130;6.64472;52.3656;1999;1999;24;0.7;0.3;30;50;250;0;0.0683789605;LT
Neuteboom Coffeeroasters BV;131;6.64556;52.3774;1999;1999;24;0.7;0.3;30;50;250;0;0.0809268289;LT
Th S  van der Laan International BV;132;6.65113;52.3287;1999;1999;24;0.7;0.3;30;50;250;0;0.0245075329;LT
Heupink   Bloemen Tabak BV;268;6.9118;52.4117;1999;1999;24;0.7;0.3;30;50;250;0;0.0221080395;LT
Bonfait BV;269;7.02024;52.3825;1999;1999;24;0.7;0.3;30;50;250;0;0.0403044605;LT
Ben en Jerry s Hellendoorn BV;366;6.45658;52.3868;1999;1999;24;0.7;0.3;30;50;250;0;0.0162295066;LT
De Zuivelhoeve Produktie BV;376;6.80682;52.234;1999;1999;24;0.7;0.3;30;50;250;0;0.00106970395;LT
United Soft Drinks BV;381;6.5846;52.242;1999;1999;24;0.7;0.3;30;50;250;0;0.0117991908;LT
Alldra BV;534;6.52111;52.3154;1999;1999;24;0.7;0.3;30;50;250;0;0.00886857237;LT
Enkco BV;535;6.42389;52.284;1999;1999;24;0.7;0.3;30;50;250;0;0.00929013158;LT
Enkco BV;536;6.39319;52.2758;1999;1999;24;0.7;0.3;30;50;250;0;0.00766593421;LT
O E  Loonproduktie BV;596;6.72362;52.4202;1999;1999;24;0.7;0.3;30;50;250;0;0.0539331579;LT
Co0peratieve Aank Ver;597;6.50257;52.461;1999;1999;24;0.7;0.3;30;50;250;0;0.00758851974;LT
Albert Heijn BV;1310;6.65069;52.3483;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00006303;LT
Albert Heijn BV;1311;6.66172;52.3568;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00035638;LT
Aldi;1312;6.67742;52.3662;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
BV Nettorama Verbruikersmarkten;1313;6.68526;52.3704;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00295361;LT
Deka Supermarkten BV;1314;6.64391;52.3463;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00006303;LT
Detailconsult Supermarkten BV;1315;6.67746;52.3789;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00063154;LT
Franchise Handelsmaatschappij BV;1316;6.67875;52.3789;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00063154;LT
Plus Cornelis Almelo BV;1317;6.6502;52.3384;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00551479;LT
Plus Retail BV;1318;6.679;52.3657;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Plus Wemekamp;1319;6.66702;52.3686;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00289226;LT
Supermarkt Schelfhorst Almelo BV;1320;6.67875;52.3789;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00063154;LT
Supermarkt Windmolenbroek Almelo BV;1321;6.63015;52.3359;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00009457;LT
Albert Heijn BV;1712;6.75626;52.3;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0008844;LT
BV Nettorama Verbruikersmarkten;1713;6.74344;52.2956;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.0008844;LT
Emt0 Supermarkten BV;1901;7.0024;52.3742;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00201464;LT
Plus Jan ter Steege BV;1902;7.00107;52.3724;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00201464;LT
Supermarkt Grimberg BV;1903;6.8984;52.41;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0.769742684;LT
Tensundern Supermarkt BV;1904;7.03406;52.4025;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00836787;LT
Albert Heijn BV;2062;6.89306;52.2392;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00055707;LT
Albert Heijn BV;2063;6.90076;52.1935;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00039131;LT
Albert Heijn BV;2064;6.85919;52.2289;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.57436678;LT
Albert Heijn BV;2065;6.86152;52.213;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.02070267;LT
Albert Heijn BV;2066;6.92765;52.2197;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00540657;LT
Albert Heijn BV;2067;6.95052;52.2161;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0.333194941;LT
Albert Heijn BV;2068;6.89835;52.2167;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00042992;LT
Albert Heijn BV;2069;6.97126;52.2152;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00129253;LT
Albert Heijn Kamphuis Enschede BV;2070;6.85537;52.1939;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0.701417941;LT
Aldi;2071;6.88237;52.1867;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.02370613;LT
BV Nettorama Verbruikersmarkten;2072;6.89271;52.2036;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0.654850893;LT
Coop Campus UT;2073;6.85131;52.2435;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.54134873;LT
