bron_naam;Label;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
locatie Boeldershoek Twence;262;6.78419;52.2343;1999;2100;200;0.8;0.3;70;150;175;3.9;0.999943582;HT
Groen Recycling Twente BV;231;6.60523;52.2472;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.974359105;HT
Akzo Nobel Chemicals BV Hengelo;261;6.79425;52.2467;1999;2100;86.5;0.8;0.3;70;225;275;0.000142361111;0.999914701;HT
Galvano Hengelo BV;263;6.76716;52.2479;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.960629053;HT
Elementis Specialties Netherlands BV;127;6.67903;52.257;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.950308316;HT
Urenco BV;619;6.69351;52.3361;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.951305026;HT
Enrichment Technology Nederland BV;7;6.68683;52.3378;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.941547789;HT
Van Merksteijn International;9;6.61701;52.3661;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.992800605;HT
Ovako Twente BV;10;6.61422;52.3687;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.966790763;HT
Zwanenberg Food Group BV;8;6.6353;52.3726;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.966092947;HT
