BU_CODE;WK_CODE;Gemeente;RES;Provincie;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten
BU00030001;WK000300;Appingedam;Groningen;Groningen;1337;162;62204.1054;0;0;0;0;14620.8986;62204.1054;3477376.55;353338.382;3070289.2
BU00030002;WK000300;Appingedam;Groningen;Groningen;2970;391;114990.437;0;0;0;0;31499.4024;114990.437;6428274.24;761235.557;5909395.36
BU00030007;WK000300;Appingedam;Groningen;Groningen;119;17;6421.35439;0;0;0;0;1343.72481;6421.35439;358970.956;32473.3495;1194512.1
BU00030008;WK000300;Appingedam;Groningen;Groningen;39;19;2409.80074;0;0;0;0;434.05128;2409.80074;134714.333;10489.5726;1273912.35
BU00030009;WK000300;Appingedam;Groningen;Groningen;62;10;3956.32108;0;0;0;0;699.475234;3956.32108;221168.973;16903.9848;731078.561
BU00050000;WK000500;Het Hogeland;Groningen;Groningen;3497;346;150211.942;0;0;0;0;37745.3206;150211.942;8397250.96;912178.582;7669077.96
BU00050001;WK000500;Het Hogeland;Groningen;Groningen;315;18;14818.1075;0;0;0;0;3504.89282;14818.1075;828372.006;84701.5766;2449076.31
BU00050002;WK000500;Het Hogeland;Groningen;Groningen;388;21;20614.8891;0;0;0;0;4344.77559;20614.8891;1152427.67;104998.743;1137100.34
BU00050003;WK000500;Het Hogeland;Groningen;Groningen;42;6;2724.15987;0;0;0;0;475.03088;2724.15987;152287.853;11479.9129;745466.783
BU00050004;WK000500;Het Hogeland;Groningen;Groningen;235;22;0;12887.9516;0;0;0;2309.92367;12887.9516;0;55823.1554;618191.125
BU00050005;WK000500;Het Hogeland;Groningen;Groningen;32;4;2032.93792;0;0;0;0;361.46272;2032.93792;113646.689;8735.34907;560221.527
BU00050006;WK000500;Het Hogeland;Groningen;Groningen;57;4;3484.32024;0;0;0;0;640.776501;3484.32024;194782.859;15485.4321;185753.16
BU00050007;WK000500;Het Hogeland;Groningen;Groningen;43;3;2687.01622;0;0;0;0;488.343402;2687.01622;150211.423;11801.6322;492062.215
BU00090000;WK000900;Groningen;Groningen;Groningen;1823;206;77685.1676;0;0;0;0;19748.1433;77685.1676;4342809.5;477246.797;4277724.32
BU00090001;WK000900;Groningen;Groningen;Groningen;185;13;10015.9524;0;0;0;0;2068.76339;10015.9524;559918.641;49995.1153;542345.296
BU00090002;WK000900;Groningen;Groningen;Groningen;179;11;10336.8811;0;0;0;0;1992.06926;10336.8811;577859.415;48141.6738;611315.288
BU00090003;WK000900;Groningen;Groningen;Groningen;58;3;3523.44933;0;0;0;0;642.135751;3523.44933;196970.28;15518.2806;220359.436
BU00090005;WK000900;Groningen;Groningen;Groningen;26;3;1704.57915;0;0;0;0;293.57424;1704.57915;95290.5523;7094.7108;499495.611
BU00090009;WK000900;Groningen;Groningen;Groningen;166;9;9770.9254;0;0;0;0;1872.01242;9770.9254;546220.971;45240.3;2772348.79
BU00090100;WK000901;Groningen;Groningen;Groningen;295;14;15865.3125;0;0;0;0;3261.23647;15865.3125;886913.575;78813.2147;903526.674
BU00090101;WK000901;Groningen;Groningen;Groningen;40;5;2483.60022;0;0;0;0;443.956405;2483.60022;138839.922;10728.9465;199331.31
BU00090102;WK000901;Groningen;Groningen;Groningen;142;5;7822.13972;0;0;0;0;1560.71665;7822.13972;437278.617;37717.3191;432831.64
BU00090104;WK000901;Groningen;Groningen;Groningen;24;2;1498.77995;0;0;0;0;268.05293;1498.77995;83785.8245;6477.9458;186725.269
BU00090106;WK000901;Groningen;Groningen;Groningen;21;3;1349.34721;0;0;0;0;238.124735;1349.34721;75432.1331;5754.68111;99968.9471
BU00090109;WK000901;Groningen;Groningen;Groningen;60;7;3737.95116;0;0;0;0;664.6932;3737.95116;208961.508;16063.419;1428251.42
BU00100000;WK001000;Delfzijl;Groningen;Groningen;603;310;0;19177.531;0;0;0;5288.07609;19177.531;0;127795.172;2521083.59
BU00100001;WK001000;Delfzijl;Groningen;Groningen;1120;239;51530.2117;0;0;0;0;11994.5409;51530.2117;2880677.23;289868.073;3478867.95
BU00100002;WK001000;Delfzijl;Groningen;Groningen;2975;342;110823.238;0;0;0;0;31255.9397;110823.238;6195316.66;755351.877;5296384.22
BU00100003;WK001000;Delfzijl;Groningen;Groningen;1904;323;0;79757.6878;0;0;0;17902.2062;79757.6878;0;432636.651;3199279.53
BU00100004;WK001000;Delfzijl;Groningen;Groningen;634;12;28751.9957;0;0;0;0;7151.84469;28751.9957;1607313.78;172836.247;1455445.87
BU00100005;WK001000;Delfzijl;Groningen;Groningen;1201;40;47180.5082;0;0;0;0;13202.2618;47180.5082;2637517.12;319054.661;2497570.45
BU00100103;WK001001;Delfzijl;Groningen;Groningen;162;12;9746.32851;0;0;0;0;1799.14267;9746.32851;544845.939;43479.2812;477786.592
BU00100104;WK001001;Delfzijl;Groningen;Groningen;30;5;1937.19351;0;0;0;0;344.10913;1937.19351;108294.32;8315.97065;147870.343
BU00100107;WK001001;Delfzijl;Groningen;Groningen;92;17;5809.58325;0;0;0;0;1034.0389;5809.58325;324771.306;24989.2733;1649469.46
BU00100108;WK001001;Delfzijl;Groningen;Groningen;1;55;68.66959;0;0;0;0;11.49424;68.66959;3838.8145;277.777467;1206685.09
BU00100109;WK001001;Delfzijl;Groningen;Groningen;1;4;59.4371809;0;0;0;0;10.73824;59.4371809;3322.69804;259.507467;116359.488
BU00100200;WK001002;Delfzijl;Groningen;Groningen;412;18;21883.4669;0;0;0;0;4583.35514;21883.4669;1223344.57;110764.416;1280803.63
