BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU03760101;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1893.36923;1815;78.3692308;25;0;8;0;2;12;33;614;1415;1908597;-406317;-287;2602531.83;470443.325;1168306.08;1412;17;0;484;0;0;2115
BU03760102;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;2567.85385;2235;332.853846;46;0;1;0;2;16;47;313;2070;4857150;-215374;-104;6573796.64;608337.28;3846682.66;2315;99;0;8;0;0;2116
BU03760103;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;8.66153846;1;7.66153846;8;0;0;6;10;35;14;1;45;37966;-7954;-175;3775.10278;283.136667;36592.3398;1;3;0;0;0;0;2117
BU03760104;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;911.938462;816;95.9384615;14;11;3;0;2;12;28;364;569;965412;-56686;-100;1045294.74;209276.165;658660.684;371.64;57.57;400.76;179;0;0;2118
BU03760105;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;BioWKK;354.569231;56;298.569231;0;58;0;0;1;27;58;570;1284;142756;-587513;-458;0;12834.5608;62158.744;0;0;61;0;0;0;2119
BU03760106;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1;1;0;68;0;0;0;3;12;68;0;1;1366;-54;-71;3822.94428;279.753333;900.916204;1;0;0;0;0;0;2120
BU03760107;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;0;0;0;0;0;0;0;0;0;0;0;0;20102;0;0;0;0;0;0;0;0;0;0;0;2121
BU03760108;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;0.0769230769;0;0.0769230769;10;0;0;0;113;144;10;0;0;8373;-16;-1609;0;0;9160.15042;2;0;0;0;0;0;2122
BU03760109;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1.73076923;1;0.730769231;32;0;42;0;10;19;74;1;6;15585;-1883;-342;3050.56852;254.635467;17379.73;1;0;0;1;0;0;2123
BU04020101;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;BioWKK;3735.93077;1893;1842.93077;0;36;0;0;2;34;36;3386;9284;2686307;-4360750;-470;0;397961.733;1217083.24;0;0;2439;0;0;0;5229
